EGID,GBAUJ,GKODN,GKODE,TMPIDX,TSN,HBLD,CBLD,HHTR,THKM8,THK15,PRT,GEBF,GAREA,HPTYP,ISHP,ISRSD,ISRTF,QRTnew
11516199,2001.0,46.882073778973506,8.630809642920509,3,81,0.14792,14.333333333333332,0.16512000000000002,45.0,25,7.193793869334602,172.0,86.0,1,0,1,0,4.763023999999999
11516200,2001.0,46.88206806941818,8.630927642725341,3,81,0.14792,14.333333333333332,0.16512000000000002,45.0,25,7.864904505537074,172.0,86.0,1,0,1,0,4.763023999999999
11527095,2001.0,46.87523033667716,8.64537335009702,3,81,0.10664,17.22222222222222,0.1190399999999999,45.0,25,4.889480567726326,124.0,62.0,1,0,1,0,3.433808
160017315,2009.0,46.90370389911735,8.647692618209993,3,79,0.10148,9.833333333333332,0.1132799999999999,45.0,25,5.50801155346011,118.0,59.0,0,1,1,0,3.2676559999999997
190007273,2002.0,46.87640266532358,8.653313827807427,3,81,0.15652,15.166666666666664,0.17472,45.0,25,7.979552794867665,182.0,91.0,1,0,1,0,5.039943999999999
190008459,2002.0,46.87534726685956,8.64876306835249,3,81,0.25456,24.666666666666664,0.2841599999999999,45.0,25,12.250678066409993,296.0,148.0,1,0,1,0,8.196831999999999
190008525,2002.0,46.87509142376421,8.652040689210137,3,81,0.45752,73.8888888888889,0.51072,45.0,25,16.544283088055966,532.0,266.0,1,0,1,0,14.732143999999998
190008556,2002.0,46.87483428701726,8.639713611901486,3,81,0.1823199999999999,29.44444444444445,0.2035199999999999,45.0,25,8.379477351664702,212.0,106.0,0,0,1,0,5.870703999999996
190008557,2002.0,46.87488654652853,8.63961250242142,3,81,0.1823199999999999,29.44444444444445,0.2035199999999999,45.0,25,6.615707286318809,212.0,106.0,1,1,1,0,5.870703999999996
190008565,2005.0,46.87997913133787,8.63305342170223,3,81,0.129,12.5,0.14400000000000002,45.0,25,6.1756565358835385,150.0,75.0,1,0,1,0,4.1537999999999995
190008566,2005.0,46.880010633571175,8.633130402386271,3,81,0.129,12.5,0.14400000000000002,45.0,25,7.2693305457266675,150.0,75.0,1,0,1,0,4.1537999999999995
190008571,2003.0,46.88010939351646,8.633375294478068,3,81,0.129,4.166666666666667,0.14400000000000002,45.0,25,9.13328609024452,150.0,75.0,1,0,1,0,4.1537999999999995
190008572,2004.0,46.88014083175101,8.633452352842585,3,81,0.129,12.5,0.14400000000000002,45.0,25,6.465559531656478,150.0,75.0,0,0,1,0,4.1537999999999995
190008580,2003.0,46.876292044896964,8.643382954751607,3,81,0.32852,31.83333333333333,0.36672,45.0,25,15.567577142080893,382.0,191.0,1,0,1,0,10.578343999999998
190008587,2004.0,46.90254902248974,8.6449912970757,3,79,0.31218,30.25,0.3484799999999999,45.0,25,17.191572285893276,363.0,121.0,1,0,1,0,10.052195999999999
190008624,2002.0,46.87647465224742,8.653023308748956,3,81,0.1978,31.94444444444445,0.2207999999999999,45.0,25,7.09714192396314,230.0,115.0,1,0,1,0,6.36916
190008625,2003.0,46.9011954422585,8.652543568112197,3,79,0.2863799999999999,46.25,0.3196799999999999,45.0,25,13.085326986184663,333.0,111.0,1,0,1,0,9.221435999999997
190018499,2004.0,46.875783870184925,8.64446227298402,3,81,0.14964,24.16666666666667,0.16704000000000002,45.0,25,5.573287929988693,174.0,87.0,0,0,1,0,4.818408
190022134,2005.0,46.891025454577246,8.630251785330925,3,79,0.22876,36.944444444444436,0.25536,45.0,25,10.401765151699882,266.0,133.0,0,0,1,0,7.366071999999999
190027705,2004.0,46.871321066545974,8.636426565728666,3,81,0.172,27.777777777777786,0.1919999999999999,45.0,25,7.362543595545349,200.0,100.0,0,0,1,0,5.538399999999999
190027745,2003.0,46.88208714507683,8.641760067276792,3,81,0.6501600000000001,105.0,0.7257600000000001,45.0,25,23.11828228885657,756.0,189.0,1,1,1,0,20.935152000000002
190027746,2003.0,46.88206999794817,8.641434025486964,3,81,0.8127,78.75,0.9072,45.0,25,43.463833771225396,945.0,189.0,1,0,1,0,26.16894
190027747,2003.0,46.876992323715754,8.64337323601505,3,81,0.22876,22.166666666666664,0.25536,45.0,25,11.359318337679632,266.0,133.0,1,0,1,0,7.366071999999999
190027748,2003.0,46.882859089885336,8.64516460925743,3,81,0.4919199999999999,79.44444444444444,0.5491199999999999,45.0,25,19.37006659080784,572.0,143.0,1,0,1,0,15.839823999999997
190027767,2003.0,46.875429088650215,8.646114791558679,3,81,0.22704,22.0,0.25344,45.0,25,11.770708914933861,264.0,88.0,0,0,1,0,7.310688
190027785,2003.0,46.875367034227885,8.646060856607379,3,81,0.22446,36.25,0.25056,45.0,25,8.744175939273244,261.0,87.0,1,0,1,0,7.227611999999999
190027786,2003.0,46.875303157966364,8.646006500442914,3,81,0.22446,21.75,0.25056,45.0,25,11.123497807053923,261.0,87.0,0,0,1,0,7.227611999999999
190027787,2003.0,46.879577210172044,8.640879517043299,3,81,0.21672,35.0,0.2419199999999999,45.0,25,8.295032469482187,252.0,126.0,1,0,1,0,6.978383999999999
190040492,1950.0,46.89893219350774,8.650897329143291,3,79,0.31806,15.5,0.19902,65.0,25,8.285202511210121,186.0,93.0,0,0,1,0,10.241532
190040856,2005.0,46.87647904488348,8.652136978042659,3,81,0.1634,15.833333333333332,0.1823999999999999,45.0,25,7.915503340931663,190.0,95.0,1,0,1,0,5.261479999999999
190042218,1950.0,46.88024172080817,8.645226958901452,3,81,0.56772,46.111111111111114,0.35524,65.0,25,10.675700696237344,332.0,166.0,0,0,1,0,18.280583999999998
190044727,2005.0,46.8998207634835,8.654000525492867,3,79,0.0911599999999999,8.833333333333332,0.1017599999999999,45.0,25,4.2428404043753165,106.0,53.0,1,0,1,0,2.9353519999999964
190044888,2006.0,46.882535214294606,8.634998558247277,3,81,0.1376,13.333333333333332,0.1536,45.0,25,7.8113486632759965,160.0,80.0,1,0,1,0,4.43072
190045901,1940.0,46.88207651950241,8.643631748880651,3,81,0.1060199999999999,8.61111111111111,0.06634,65.0,25,2.1041280376758125,62.0,31.0,1,0,1,0,3.413843999999997
190046081,2004.0,46.880482801144616,8.643901587620338,3,81,2.00896,324.4444444444445,2.24256,45.0,25,80.93858664504269,2336.0,584.0,1,0,1,0,64.688512
190046240,1950.0,46.885805448057184,8.640476432547723,3,79,0.2975399999999999,4.833333333333334,0.1861799999999999,65.0,25,10.730372181953683,174.0,58.0,1,0,1,0,9.580787999999998
190048986,2005.0,46.895761858932964,8.630990644530552,3,79,0.2838,45.83333333333334,0.3167999999999999,45.0,25,10.284786692959713,330.0,110.0,1,0,1,0,9.138359999999999
190048987,2005.0,46.87947044703647,8.640125267074858,3,81,0.29928,48.33333333333334,0.33408000000000004,45.0,25,12.352782138790042,348.0,174.0,1,1,1,0,9.636816
190050068,1920.0,46.880526502659976,8.643098704148152,3,81,0.26676,21.66666666666667,0.1669199999999999,65.0,25,5.870801821212923,156.0,78.0,1,1,1,0,8.589671999999998
190050256,2005.0,46.88420697519763,8.640991658954496,3,81,0.5761999999999999,55.83333333333333,0.6432,45.0,25,32.98784674465158,670.0,335.0,0,0,1,0,18.553639999999994
190054952,2005.0,46.882096727320054,8.630459118098722,3,81,0.33798,32.75,0.3772799999999999,45.0,25,16.97161426662067,393.0,131.0,1,0,1,0,10.882956
190054960,2005.0,46.87311098241137,8.646002936086207,3,81,0.16856,27.222222222222232,0.18816,45.0,25,7.568778221413869,196.0,98.0,1,1,1,0,5.427631999999999
