BFS_NUMMER,NAME,KANTONSNUM,KANTON,URB_TYPE,MNT_TYPE,9_CAT,POP
1,Aeugst am Albis,1,ZH,Periurban,Midlands,Midlands-Periurban,2014
2,Affoltern am Albis,1,ZH,Urban,Midlands,Midlands-Urban,12289
3,Bonstetten,1,ZH,Periurban,Midlands,Midlands-Periurban,5610
4,Hausen am Albis,1,ZH,Periurban,Midlands,Midlands-Periurban,3801
5,Hedingen,1,ZH,Urban,Midlands,Midlands-Urban,3795
6,Kappel am Albis,1,ZH,Periurban,Midlands,Midlands-Periurban,1245
7,Knonau,1,ZH,Periurban,Midlands,Midlands-Periurban,2369
8,Maschwanden,1,ZH,Periurban,Midlands,Midlands-Periurban,641
9,Mettmenstetten,1,ZH,Periurban,Midlands,Midlands-Periurban,5380
10,Obfelden,1,ZH,Periurban,Midlands,Midlands-Periurban,5779
11,Ottenbach,1,ZH,Periurban,Midlands,Midlands-Periurban,2704
12,Rifferswil,1,ZH,Periurban,Midlands,Midlands-Periurban,1148
13,Stallikon,1,ZH,Periurban,Midlands,Midlands-Periurban,3783
14,Wettswil am Albis,1,ZH,Periurban,Midlands,Midlands-Periurban,5281
21,Adlikon,1,ZH,Periurban,Midlands,Midlands-Periurban,693
22,Benken (ZH),1,ZH,Periurban,Midlands,Midlands-Periurban,856
23,Berg am Irchel,1,ZH,Periurban,Midlands,Midlands-Periurban,595
24,Buch am Irchel,1,ZH,Periurban,Midlands,Midlands-Periurban,1022
25,Dachsen,1,ZH,Periurban,Midlands,Midlands-Periurban,1917
26,Dorf,1,ZH,Periurban,Midlands,Midlands-Periurban,666
27,Feuerthalen,1,ZH,Urban,Midlands,Midlands-Urban,3697
28,Flaach,1,ZH,Periurban,Midlands,Midlands-Periurban,1430
29,Flurlingen,1,ZH,Urban,Midlands,Midlands-Urban,1552
30,Andelfingen,1,ZH,Periurban,Midlands,Midlands-Periurban,2232
31,Henggart,1,ZH,Periurban,Midlands,Midlands-Periurban,2293
32,Humlikon,1,ZH,Periurban,Midlands,Midlands-Periurban,484
33,Kleinandelfingen,1,ZH,Periurban,Midlands,Midlands-Periurban,2104
34,Laufen-Uhwiesen,1,ZH,Periurban,Midlands,Midlands-Periurban,1779
35,Marthalen,1,ZH,Periurban,Midlands,Midlands-Periurban,1933
37,Ossingen,1,ZH,Periurban,Midlands,Midlands-Periurban,1724
38,Rheinau,1,ZH,Periurban,Midlands,Midlands-Periurban,1287
39,Thalheim an der Thur,1,ZH,Periurban,Midlands,Midlands-Periurban,949
40,Trüllikon,1,ZH,Periurban,Midlands,Midlands-Periurban,1055
41,Truttikon,1,ZH,Periurban,Midlands,Midlands-Periurban,449
43,Volken,1,ZH,Periurban,Midlands,Midlands-Periurban,383
51,Bachenbülach,1,ZH,Urban,Midlands,Midlands-Urban,4188
52,Bassersdorf,1,ZH,Urban,Midlands,Midlands-Urban,11924
53,Bülach,1,ZH,Urban,Midlands,Midlands-Urban,21998
