,0
0,6227.750561642175
1,6358.560411717349
2,5983.312509198565
3,6216.619612940305
4,6222.588834155502
5,6121.912740358043
6,5922.970293158862
7,6046.434029158953
8,6356.443971737022
9,5546.201095674445
10,4777.784187834303
11,3670.4874285147453
12,3705.216465615945
13,5085.336538332474
14,5606.516672714397
15,6304.5736158699365
16,5981.5032865043595
17,6006.325769527479
18,6240.531401900142
19,6213.44870349876
20,6157.611420627483
21,5868.16836863383
22,5643.075747438241
23,5804.616251000258
24,6311.364705417316
25,6325.847958666247
26,5897.417560392283
27,5701.424641437973
28,5844.77105265896
29,5738.837648376302
30,5623.06513707426
31,5736.989224741723
32,5564.98554701946
33,4416.526852739085
34,3766.571945219852
35,2498.959134179741
36,3486.4317871307317
37,2212.3597802745917
38,4900.999297103217
39,6311.046745510681
40,5936.535347254548
41,5705.530893250562
42,5706.097540247586
43,5269.147421819742
44,5572.068221626969
45,5899.618444976117
46,5552.731153959608
47,5761.835961129816
48,4985.084593803396
49,5064.112956397927
50,5358.158230953873
51,4780.675629890164
52,4392.232372782987
53,4535.424235048715
54,4261.56965282858
55,4316.702542049121
56,5562.846251579335
57,5416.329837760079
58,5182.576925393912
59,3730.4673980751436
60,3188.943197547185
61,2708.341923687348
62,4280.753415919232
63,4907.945834656488
64,5886.915652766484
65,5970.702230430581
66,6189.354760531702
67,5993.372234942893
68,6230.347116645138
69,5694.533395189479
70,5531.685074633284
71,4582.0292633992
72,6183.069499555798
73,6162.287525185977
74,6317.616510850485
75,6053.953969779097
76,5998.232864158391
77,5985.591594230569
78,6201.223093597367
79,5983.415898434804
80,2456.7328633247007
81,4090.3558662151727
82,2474.699815370417
83,1780.0807183090735
84,2332.6200684671758
85,1866.1956666809247
86,2661.56395306584
87,4661.540219913577
88,2376.1738193124697
89,3085.4298323543444
90,2214.5059547238357
91,2271.2853631389044
92,919.2512724659344
93,1203.585554047892
94,553.1036051256833
95,3094.7385193299206
96,851.2713141759242
97,6109.008209626981
98,6224.233593294959
99,6017.197271900843
100,6056.827251301184
101,5722.081324439204
102,3144.041993004297
103,4892.5394237963965
104,6480.1256646211405
105,2618.658907492245
106,1461.677398007751
107,1548.9533733207998
108,1199.9998304487
109,1532.171324196995
110,2752.7085071496185
111,4948.812032191736
112,6371.314898344182
113,6106.541826909307
114,6232.435554513979
115,6159.294419249272
116,6437.3651447331795
117,6092.185467003803
118,6028.925598642938
119,6209.927269192215
120,4282.252619676399
121,4405.4517711693015
122,4014.2859075217166
123,4044.215922367334
124,3945.658815064724
125,2429.2578985681985
126,2585.3575388797517
127,6341.433730459108
128,7687.687242979939
129,7393.179769127735
130,7385.598515327774
131,5534.174996265845
132,5701.396747623517
133,5333.601999370372
134,5527.464507906059
135,4126.744027208674
136,6689.30362232526
137,6846.364883033184
138,7041.532160861699
139,6887.752481531335
140,7108.117596872974
141,6383.61108282587
142,5762.174013581505
143,5392.723621417785
144,5958.360330424557
145,5858.071288378856
146,5061.588264808675
147,5532.762706346087
148,4890.459750798911
149,4981.93095167127
150,5256.167690768426
151,7304.558277481354
152,7714.498198905367
153,7164.963815192752
