Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.762346296546014,0.5458360205406739,2.189966371819714,2.189972826677439
DSM (Up),-0.762346296546014,-0.5458360205406739,-2.189966371819714,-2.189972826677409
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931625604554129,0.18792246455242584,2.238410133032869e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.12132965967560777
Gas CC-Syn,0.0,0.0,0.0,0.0001287639030676366
Gas Other,8.812404693965946e-05,3.439150066963335e-06,1.1688397685496956e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.33422685150711,1.9957150879352374,2.2730865215871727,2.078882967581192
HP Shift (Up),-1.0243545304977084,-1.695409014194052,-2.0310413107666743,-1.899321374924252
Hydro Dam,18.067255764213336,18.07189213402105,17.652129417655033,17.980628054618553
Hydro RoR,17.280814415829667,17.959817369038213,19.259650552398437,19.418838035001023
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,3.371744527323716e-07,4.2488417562756674e-07,1.615253093111267e-07,7.790447943593466e-08
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.941257656700003,14.486898860786289,4.963966737344295,0.0
Oil,1.5517918554750935e-06,5.037524392502146e-07,2.0925329017120338e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7468894753896413,6.822790168484522,6.8300840830388285
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986382202968996,19.20985096661399,29.481672293173695,31.99819176094745
Pump,2.969994544365703,4.801531821574656,7.127042643432283,7.83286404159208
Pump (Load),-0.07288144458332305,-1.5854508136510745,-3.5158942349409337,-4.314977243327499
Waste,1.7269044324435014,0.4539592152209793,0.06945162646922926,0.9562740531509977
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760430958119434,3.0965489634308168,3.0901802084268333,3.0717883698572566
Exports,-46.685872833927306,-59.67989232024938,-61.02662672180415,-57.7200798235286
Imports,47.26161709349184,42.20005734820718,41.9786935950871,42.06306261442394
Imports (Net),0.5757442595645363,-17.4798349720422,-19.047933126717048,-15.657017209104644
Load (Net),58.65393731312191,37.19704137556556,26.75046080891495,26.51762948715647
Load (Total),61.440179842999996,62.250330781,66.145103479,68.417693701
