,0
0,-6677.640815704903
1,-6908.247976802902
2,-6963.69920665031
3,-7134.300917833034
4,-7277.930919076674
5,-7351.005485379126
6,-7450.132326467778
7,-7773.839125686433
8,-7702.379271982689
9,-6299.992774013339
10,-5739.929958371014
11,-5869.304473925826
12,-6128.908596562002
13,-5488.087873083216
14,-5714.168462501894
15,-7332.0223485977995
16,-7189.128727199149
17,-7116.828595013105
18,-7291.266648718243
19,-7756.796662204486
20,-7968.112211506568
21,-7999.877794336747
22,-7201.325295626474
23,-7356.981822191762
24,-7349.520994651047
25,-7377.522669102844
26,-7375.601443292845
27,-7483.920976383057
28,-7623.98650952291
29,-7701.623633599742
30,-7703.86458638184
31,-7946.917304559752
32,-7581.416087117775
33,-7549.822628786666
34,-6174.037932357997
35,-6299.9995250987495
36,-7480.726199243242
37,-7724.7256790614565
38,-7616.502380346584
39,-7676.731089282133
40,-7749.445202076744
41,-7692.337824618815
42,-7999.705675353742
43,-7999.785179037024
44,-7999.973245992351
45,-7662.210792635909
46,-7634.111522281674
47,-7576.474779725771
48,-6917.218523307542
49,-6492.672703425378
50,-6669.88550817039
51,-6570.275314640807
52,-6574.638727887277
53,-6627.950800028177
54,-6576.869904655678
55,-6814.7873287984385
56,-6463.955912752019
57,-4239.9001733297555
58,-4644.49656909134
59,-4429.81983115097
60,-4195.329772807844
61,-4646.862536091206
62,-6337.506873179416
63,-6443.05290987799
64,-7999.997893307162
65,-7218.969422075411
66,-7320.548072268728
67,-7404.422248161062
68,-7511.548589931443
69,-7525.505936459085
70,-7508.805917667158
71,-6570.777171826401
72,-6504.1776418309655
73,-6736.407004518648
74,-6983.223796954066
75,-6874.644492817009
76,-7236.33058130857
77,-7240.298372270494
78,-7313.121346673202
79,-6937.849463250697
80,-4993.1993762691845
81,-4993.473558566383
82,-5333.518244632078
83,-6811.979182927187
84,-6501.798506182647
85,-5278.442160338497
86,-4902.27870563144
87,-6856.895819946092
88,-7999.871210732801
89,-7999.966892371647
90,-7999.978045818508
91,-7622.252732339992
92,-7897.102046736009
93,-8113.945431701354
94,-8159.4058549840065
95,-7522.867971753425
96,-8607.61824973676
97,-7152.618452509361
98,-7231.725091013992
99,-7247.446352909725
100,-7327.780125904405
101,-7275.0452337903835
102,-7680.312798288292
103,-7857.56044777625
104,-7014.740644238094
105,-6220.623434029121
106,-6255.01060549818
107,-5971.877010659887
108,-6655.12906763133
109,-6232.195907950114
110,-6936.692441776554
111,-7515.379695965255
112,-7760.498580951127
113,-7838.619566526511
114,-7909.865071182487
115,-7457.864064089256
116,-6800.48201455388
117,-6798.138982459544
118,-6983.940581482517
119,-7156.462612263338
120,-7062.601134256209
121,-6631.726684871672
122,-6707.799819585914
123,-6883.792952945892
124,-6991.778223358349
125,-7053.158785781823
126,-7039.733217886029
127,-6315.25527410967
128,-6415.408313443268
129,-6401.23360535762
130,-6194.315081861535
131,-6223.703902238302
132,-6411.9627649474805
133,-6473.769343661517
134,-6311.15911076114
135,-6409.685134398275
136,-6456.450384679433
137,-6425.31270491469
138,-6276.963370795969
139,-6148.767730064038
140,-6291.792307410629
141,-6332.497077823215
142,-6606.304319464256
143,-6734.188928183745
144,-6749.126217963884
145,-6735.765087538319
146,-6443.087818527248
147,-6469.950069333807
148,-6456.93282556981
149,-6543.05883016147
150,-6673.225483113835
151,-6168.894268515997
152,-6196.90024083606
153,-4099.065490862707
154,-4068.5660098440167
155,-4399.173012459552
156,-4600.6835323381665
157,-4445.394586923527
158,-4478.990923429653
159,-6475.779830583768
160,-6593.16782608192
161,-7944.6272204517745
162,-7372.216083123635
163,-7999.3980801793095
164,-7999.90231632772
165,-7999.988049203033
166,-7999.994679886111
167,-7095.041586873114
168,-6675.950580200135
169,-6731.466924255212
170,-6669.958138609522
171,-6299.750345046526
172,-6938.221160948168
173,-7788.209575478039
174,-7764.314415901624
175,-7803.940910420846
176,-7709.146721286051
177,-6299.9950312867395
178,-4381.922145404306
179,-4103.9435994044825
180,-4142.426511225964
181,-5778.007135008056
182,-6506.032419913135
183,-6303.203400823388
184,-7761.129397708543
185,-7848.260641597888
186,-7877.490508552221
