Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7640670335571362,0.5455384649823052,2.1899011634391714,2.1899383835995656
DSM (Up),-0.7640670335571362,-0.545538464982304,-2.1899011634391714,-2.1899383835995576
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930899466884097,0.18856437608131627,6.8303013420503956e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.1292903881963739
Gas CC-Syn,0.0,0.0,0.0,0.0
Gas Other,9.606283242936114e-05,8.750870288433657e-06,3.5219784984747806e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.06723608825543,18.072553244571612,17.683393858023113,17.984464868130438
Hydro RoR,17.28079030973393,17.95905430478312,19.252824338979096,19.417855175395083
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,7.349832347678255e-07,1.0683161402637833e-06,4.7084439271353833e-07,3.771668515819901e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.90329918237279,14.487482937849464,4.998479342369276,0.0
Oil,1.7611379443562364e-06,1.252586986731273e-06,6.605537775919701e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.740434509726459,6.7955625044515156,6.807524599439107
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986325870907505,19.19395802155421,29.36381163151555,31.861888446041757
Pump,2.9736704390982505,4.89145054569964,7.247016640592188,7.919071869440245
Pump (Load),-0.07725503252836013,-1.6827414650445942,-3.6675751414258966,-4.416955581143275
Waste,1.7263377271346267,0.45605237784694386,0.07928772095999051,0.9664585796088766
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760154290816458,3.096477632778421,3.089093896067091,3.070365766766657
Exports,-46.26973911449289,-58.9574468775439,-60.117746130322864,-56.96372512814523
Imports,47.19469931638155,42.46867026728671,42.86806823453634,43.568836024320035
Imports (Net),0.9249602018886525,-16.488776610257194,-17.249677895786522,-13.394889103825188
Load (Net),58.65394506300108,37.88364572694091,28.34375863696584,28.605294858752487
Load (Total),61.440179193,62.914515891,67.592226669,70.345073671
