Month,Switzerland,Germany,Italy,France,Austria
1,68.02626882392074,88.84008753442333,66.26973863790923,40.07328237622085,78.84749228565013
2,58.752470165563146,75.93597339112222,59.58356848780475,30.87746529550048,53.139382376249905
3,29.040814255496727,35.400217226650206,29.580568524051706,19.608350587409337,28.70958702864634
4,14.379957620242676,15.272553317540476,14.935813483027406,14.115014152864266,12.399436838303892
5,10.89318533593281,10.942245744554691,12.051736475157524,11.793797017576662,10.604412521575986
6,10.8829796388565,10.64204998269823,12.644194364162948,12.349546102922204,11.20578806558643
7,10.907765951620794,11.549438057088055,13.002334021960248,11.478724394929744,11.353889008443215
8,13.73975801519193,13.552748424123045,15.641475925520776,13.933997834346908,13.01138011877122
9,20.261191056542277,19.87822624028206,21.805396998660534,18.9754347272839,20.30608504431886
10,40.25041111362066,53.780419208326805,41.318562877969725,23.16674865105289,49.225520983385216
11,57.29510918145908,63.78407900011033,58.66534284802001,33.267821987178614,66.9066690581069
12,68.2493028575524,105.0423389547285,61.03073501536869,27.801390201810328,93.15214124168617
