Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010457090775324245,-0.1271969665574896,0.0,0.0,0.0,0.07127974832986142,0.0,0.0,0.0,0.0,0.0,0.0,5.496475450032249,1.321109341650571,0.0,0.0,0.0,8.003080442734007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5662789811518172,-7.592996976472e-06,0.22698631064045605,0.0,0.799519541692359,-6.794174787464239,6.717835137919778,-0.07633964954446128,8.489042458307642,9.288562000000002
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010189999657010148,-0.058782980897272304,0.0,0.0,0.0,0.1425592047019584,0.0,0.0,0.0,0.0,0.0,0.0,5.451654885444259,1.3211093126281215,0.0,0.0,0.0,8.01092845554091e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5634882619719284,-7.758830396917e-06,0.2254864744403709,0.0,0.5781995552326773,-6.974086397631484,6.8014196973762235,-0.17266670025526037,8.483030444767323,9.06123
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009745352821706972,-0.054198756272499454,0.0,0.0,0.0,0.1799995215697086,0.0,0.0,0.0,0.0,0.0,0.0,5.399350452891111,1.321109332188542,0.0,0.0,0.0,7.990044501038717e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561247839792729,-7.6793922065046e-06,0.22398705761013957,0.0,0.9563095484398721,-7.0161230938827455,6.3944486786686,-0.6216744152141455,8.019558451560128,8.975868
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01789957793935479,-0.04507517588589016,0.0,0.0,0.0,0.1799995200335405,0.0,0.0,0.0,0.0,0.0,0.0,5.350838180595504,1.3211093322366039,0.0,0.0,0.0,7.967046529919478e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.559591324198789,-7.6570437285062e-06,0.2238869126531592,0.0,0.6024794036582628,-7.188131891910155,6.625423730741555,-0.5627081611685999,8.045533596341736,8.648012999999999
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04285679451165773,-0.049823024682517515,0.0,0.0,0.0,0.1799995179965342,0.0,0.0,0.0,0.0,0.0,0.0,5.2641231356162335,1.3211093244387604,0.0,0.0,0.0,7.95119265161941e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555171228978084,-7.6595875569633e-06,0.22388697782475928,0.0,0.529759494024383,-7.355443045261159,6.55034161846282,-0.8051014267983392,7.732560505975616,8.262319999999999
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008004679878478227,-0.08800061935088424,0.0,0.0,0.0,0.1799995166423281,0.0,0.0,0.0,0.0,0.0,0.0,5.231455574924977,1.321109283085665,0.0,0.0,0.0,7.89500611933641e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5535169848496728,-7.7595753720314e-06,0.2238868282335521,0.0,0.55575941091152,-7.401322230997487,6.460151798534169,-0.9411704324633183,7.481589589088481,8.037349
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007777609631689213,-0.18362183088371692,0.0,0.0,0.0,0.17999951569076691,0.0,0.0,0.0,0.0,0.0,0.0,5.203228985327884,1.3211092722414755,0.0,0.0,0.0,7.895092724861984e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5515431504042798,-7.7975338656068e-06,0.22388683756838482,0.0,0.6802895036841557,-7.407892253475285,6.308391110095376,-1.0995011433799091,7.197414496315845,7.877704
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009116134694568489,-0.07577037956351124,0.0,0.0,0.0,0.1799995171350648,0.0,0.0,0.0,0.0,0.0,0.0,5.202244085819281,1.3211092816150738,0.0,0.0,0.0,7.905576100313717e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5515957298834657,-7.7808630050288e-06,0.22388691363091673,0.0,0.500739515025313,-7.46457091082009,6.45908566859999,-1.0054852422201002,7.398483484974686,7.899222999999999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007904949434447208,-0.07387071749153634,0.0,0.0,0.0,0.1799995153742123,0.0,0.0,0.0,0.0,0.0,0.0,5.042885537659903,1.3211092478009614,0.0,0.0,0.0,7.773496661700462e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41946921924132413,0.0,0.0,0.0,0.3217440920752098,1.542044989592869,-7.8019663772552e-06,0.22388689070112408,0.0,0.405399737167922,-7.605946353740555,6.444203510351401,-1.1617428433891546,7.0750949515155455,8.221708000000001
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08757525951801427,-0.26349252348079344,0.0,0.0,0.0,0.1799995442880851,0.0,0.0,0.0,0.0,0.0,0.0,2.983228427952858,1.3211086023135434,0.0,0.0,0.0,7.766114808564423e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5359391618830558,0.0,0.0,0.0,1.725493346515741,0.6176496556900062,-1.14564031912114e-05,0.22388260730039372,0.0,0.3594297135277003,-6.136413680955684,6.0735187333766625,-0.06289494757902139,5.087044778073503,8.707907
