,0
0,-6057.671679549503
1,-6273.5760260677935
2,-6169.2456057013105
3,-6365.327747268955
4,-6463.325038987479
5,-6473.079570976979
6,-6430.402583640057
7,-6522.204266058903
8,-7350.933807955561
9,-5807.37065099199
10,-5737.170088117054
11,-5801.44427201095
12,-5919.571576346175
13,-4838.828316825581
14,-5485.495471059537
15,-7280.1611136228275
16,-7008.933556630867
17,-6990.770942265492
18,-7259.252994304999
19,-7698.130429110861
20,-7917.794268311904
21,-7951.988198284107
22,-6480.83977930667
23,-7110.585218163909
24,-6745.282192276907
25,-6773.024383019903
26,-6770.252581858094
27,-6872.745997807233
28,-6965.526154248522
29,-7017.65253047487
30,-7127.398470438837
31,-7254.523575068787
32,-7831.472355394964
33,-7294.914482604321
34,-5315.32399548232
35,-6299.997854562985
36,-7135.913472441722
37,-7045.455369918109
38,-7082.41558715879
39,-7728.754196488266
40,-7792.327105211141
41,-7887.935417346651
42,-7999.906234986515
43,-7999.947077256728
44,-7999.977413619929
45,-7606.126714854982
46,-7601.690513804035
47,-7064.625791498316
48,-6867.580398687226
49,-6234.173955466944
50,-6402.09762482747
51,-6315.900007573284
52,-6327.914150819128
53,-6383.121817529531
54,-6329.308148583024
55,-7030.490746078315
56,-6209.546634271933
57,-4002.998942043784
58,-4338.379390646635
59,-4113.102144902513
60,-3938.626856642914
61,-4387.202346125757
62,-6087.8474625416175
63,-6140.285236880284
64,-7999.998517838598
65,-7326.188778034955
66,-7390.670498118478
67,-7405.788154823152
68,-7648.999429870708
69,-7653.036333673689
70,-7731.169894699996
71,-6504.551804525253
72,-6054.169224329245
73,-6139.148143489222
74,-6559.97814779704
75,-6435.1464186594985
76,-6390.09238900958
77,-6363.4097505482805
78,-6536.05645443404
79,-6343.860745819315
80,-4777.344088572485
81,-4596.302465430777
82,-4666.6931296915
83,-5672.0540213024315
84,-5272.208542469255
85,-4959.024833481212
86,-4491.202035911957
87,-6417.915040782194
88,-7450.915152630899
89,-7880.207433081913
90,-7999.731859912732
91,-7986.7900500322885
92,-7999.856979722972
93,-7767.873228903784
94,-8155.227799447068
95,-8012.918679392656
96,-8526.512120468738
97,-6237.941929058631
98,-6368.844520484117
99,-6280.793298381469
100,-6534.8156807109335
101,-6445.686055866574
102,-7165.40822050475
103,-7778.919602896902
104,-6209.992791173106
105,-5491.854731618793
106,-5563.9700336117485
107,-5351.250196779742
108,-5350.163208169172
109,-5295.428063224902
110,-6426.535457965861
111,-7780.57147173341
112,-7723.902105572598
113,-7804.937165493633
114,-7813.139514936878
115,-7127.960908725777
116,-6790.470156863157
117,-6053.562337339008
118,-6059.684576336135
119,-6262.629625391501
120,-7071.183746968008
121,-6460.403376286104
122,-6573.7024930661855
123,-6764.026703726793
124,-6881.554710930275
125,-7125.130478620847
126,-7108.793969236864
127,-6643.712886677374
128,-6437.753892667145
129,-6272.929295692388
130,-5963.858068911666
131,-6009.808708771855
132,-6069.564406601056
133,-6236.865972244771
134,-6005.209292372636
135,-6130.886021800667
136,-6108.23522875258
137,-6180.131590965743
138,-6044.0686060324115
139,-6154.94482910588
140,-6249.192073685459
141,-6158.717384155552
142,-6296.18729599166
143,-6457.996039942494
144,-6625.920198470003
145,-6613.9623723270115
146,-6297.337128982557
147,-6112.445366138831
148,-6058.642756403811
149,-6206.428903941348
150,-6294.911655375798
151,-6036.8902690254
152,-6018.1967066914285
153,-4107.717710413764
154,-3787.1570952057295
155,-4026.0361344627086
156,-4119.512654980025
157,-4218.201102171898
158,-4483.887523959394
159,-6210.890274956664
160,-6560.810932468515
161,-7626.744677616967
162,-7410.827117225812
163,-7693.407843655243
164,-7619.806207182538
165,-7999.992256869856
166,-7999.994823253124
167,-7095.037611892179
168,-5756.516273061201
169,-5661.401347365592
170,-5568.530882916731
171,-5511.870470709679
172,-6965.607548695127
173,-7168.063330558691
174,-6951.869785514964
175,-7323.6031185879765
176,-7114.237656966036
177,-6237.401194039684
178,-4271.986430263175
179,-3879.9677408420266
180,-3923.834172503099
181,-4554.036776034145
182,-6197.653696304245
183,-6098.708368196417
184,-6601.4851623815175
185,-6771.61083235506
186,-7257.446810380501
187,-7580.476314560292
188,-7802.95207600496
189,-7992.710399431921
190,-7998.307953351461
191,-7597.181598792479
192,-6608.113496289192
193,-6557.31599092823
194,-6530.761673036956
195,-6610.591275154987
196,-6661.946078581761
197,-6675.549778575161
198,-6717.296550621279
199,-6838.410093823909
200,-6299.9895728650745
201,-4411.622539542148
202,-4138.96854217001
203,-3837.917045965736
204,-3981.5230277591695
205,-4464.05293258302
206,-4250.679477507214
207,-5948.089413549432
208,-6592.660475142177
209,-6566.871711795124
210,-6775.179859371721
211,-7159.850901734391
212,-7381.0324280307495
213,-7721.385556680852
214,-7999.686392740369
215,-7999.961734184668
216,-6779.630158406
217,-7013.237291161859
218,-7170.372375183655
219,-7600.337617414492
220,-7912.1549754148855
221,-7999.937662674751
222,-7999.982213157513
223,-7999.8706053962605
224,-7405.221124066798
225,-5401.698324983679
226,-4302.445256374234
227,-4168.0614490280295
228,-4063.461897381778
229,-4068.7469245407187
230,-4118.316158864392
231,-6146.781607317954
232,-6274.382322784062
233,-6314.021882417813
234,-5998.6850529220055
235,-6487.272354896767
236,-6313.201043067065
237,-6311.071834869204
238,-6575.319504753499
239,-6447.659937958018
240,-3983.804774405198
241,-3929.840486298007
242,-3877.5247049245822
243,-3853.4577134975484
244,-3948.029480543454
245,-3908.757398706427
246,-5917.376068761199
247,-6397.186783690622
248,-3143.8669903290993
249,-4160.678624983007
250,-4237.7523603092695
251,-4774.298244184913
252,-4997.957397742437
253,-4799.514009854038
254,-5033.2056544962925
255,-3650.6715096877206
256,-3224.2219790803806
257,-3301.45876378527
258,-3139.7251760548006
259,-3059.813077265633
260,-3277.6868439172085
261,-3720.6394229306293
262,-3947.799737669894
263,-4197.194338668984
264,-2941.765607460471
265,-3129.287670973845
266,-3073.085475752553
267,-3073.005988852735
268,-2870.6937816156174
269,-3002.301384315292
270,-2941.5579210528954
271,-2826.29217492387
272,-2644.97676484979
273,-3394.7449387466877
274,-4205.037575114805
275,-4118.379024359785
276,-4260.9810224630355
277,-4129.998546243597
278,-4169.935674643453
279,-3855.971621925461
280,-3436.038337280863
281,-3514.9897451375423
282,-3409.3149931943985
283,-3354.2931014569804
284,-3487.801466001929
285,-4242.754673376854
286,-4687.968207783304
287,-4688.656007654052
288,-2931.495229655051
289,-3100.2105162762887
290,-3508.536103887585
291,-3792.2622269341527
292,-4349.479846662249
293,-4293.915986423318
294,-4056.7787414086088
295,-3494.1120203641367
296,-1699.9997943565052
297,-3653.7503112000095
298,-4400.502328627469
299,-4637.004038022873
300,-4981.650831058343
301,-4736.566439317728
302,-4194.402492992933
303,-4512.390438385862
304,-3840.4536474412885
305,-3765.06365940955
306,-3844.297630655175
307,-4054.803386152898
308,-4105.644334161905
309,-4021.123021908092
310,-3472.140440783859
311,-3561.2976864540797
312,-5990.819606708528
313,-5970.906333687312
314,-6059.047761383791
315,-6096.661474773113
316,-6213.2668242007385
317,-6043.615316007197
318,-6289.392232876973
319,-6685.2504985802125
320,-6550.501343367218
321,-6422.994489696763
322,-6559.9822911391
323,-6607.122199235275
324,-6513.598503219153
325,-6617.714520602181
326,-6449.489825251365
327,-6184.143952062243
328,-6614.232022478839
329,-6665.879520767437
330,-6587.952446086442
331,-6580.085461280994
332,-6616.558656974996
333,-6785.534091012564
334,-7129.783866477719
335,-7177.977921724721
336,-6145.563893913406
337,-6004.77205595826
338,-6209.426387285266
339,-6305.968747818713
340,-6228.768029151156
341,-6293.779808930929
342,-6401.484017911209
343,-6282.4171918623015
344,-6454.811032979387
345,-6156.222465150523
346,-5140.720754251049
347,-4250.733657872254
348,-4419.195517565099
349,-5993.618227392459
350,-6610.266390328662
351,-6284.799928219359
352,-7959.858517580379
353,-7996.61114563224
354,-7752.92286079758
355,-6868.202676371125
356,-7129.275962893684
357,-7356.942637962367
358,-7523.945951670803
359,-7551.2209730962695
360,-6428.790549550839
361,-6439.124181983276
362,-6479.588488215493
363,-6557.491485265226
364,-6735.045840798144
365,-6855.424217768201
366,-7166.489639264737
367,-7820.63990025262
368,-6570.56298864947
369,-6706.082044898878
370,-5789.368390009335
371,-4773.536562322126
372,-4835.468115112046
373,-5099.830783381771
374,-6830.446690723086
375,-6711.33108989027
376,-7997.127600588659
377,-7999.815160457646
378,-6199.024976772685
379,-6619.40824674489
380,-7213.515759948657
381,-7393.784431487216
382,-6483.188044635401
383,-6472.387462190731
384,-5708.666605545283
385,-5645.9190459406245
386,-5650.724754897794
387,-5651.175298600861
388,-6590.183362052368
389,-6880.0407465110675
390,-6927.985379102541
391,-6764.016406491982
392,-5226.877435614737
393,-5742.703148131136
394,-4895.840623410838
395,-4514.876766768285
396,-4579.058572815832
397,-4377.619291911083
398,-6033.4848204507125
399,-5692.5387601803795
400,-5256.355328653373
401,-5628.877837210962
402,-5694.953484901903
403,-5645.408598588785
404,-5670.536014798159
405,-5169.268264558202
406,-5535.256504417586
407,-3844.103770467669
408,-4404.754057332371
409,-3870.2747619227293
410,-3078.39695823663
411,-3120.548455848909
412,-3137.106751708174
413,-2852.232146136251
414,-4488.057457601338
415,-4252.67071515882
416,-4191.737700058421
417,-4380.147222905119
418,-4258.515292986738
419,-4637.157215423513
420,-4772.464550905612
421,-4733.817420184613
422,-4525.368845245983
423,-4117.1135689191615
424,-3484.0035914119694
425,-3238.974813180437
426,-4158.599426121635
427,-4237.012863098857
428,-4304.504733770071
429,-3258.7436498064094
430,-2715.2349017461447
431,-2799.362288262384
432,-2983.7615368903043
433,-3038.212374097796
434,-3046.1526271994617
435,-3052.2858686549043
436,-3105.72105438753
