Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.764062244403236,0.5456318846033081,2.1899025952032587,2.1899286118517454
DSM (Up),-0.764062244403236,-0.5456318846033081,-2.1899025952032587,-2.189928611851733
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930862479164539,0.19466117084336712,5.903400347613749e-06,0.0
Gas CC-CCS,0.0,0.0,0.1022444567108447,0.7336143874476329
Gas CC-Syn,0.0,0.0,0.0,0.0039643160523353226
Gas Other,0.00010123113824896881,8.259787127985841e-06,3.0463446898159606e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.067226926402494,18.07481599446671,17.740711700143066,17.990494312215613
Hydro RoR,17.28078204469274,17.959227862984783,19.259614898876244,19.423089884791132
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,7.737679169092781e-07,9.077168147586883e-07,2.946154317307998e-07,5.388198257224492e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.903293117093078,14.508563089637407,5.050453060605336,0.0
Oil,1.870296820793052e-06,1.116068651851055e-06,5.556604293730664e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.731604578305204,6.79311939238439,6.801616123145909
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598630829574081,19.188570500653967,29.427033171625588,31.985848742951678
Pump,2.973664355927248,4.940796001447788,7.0998021093863235,7.8909872770571265
Pump (Load),-0.07725284060276688,-1.7289947810193322,-3.4839166166629645,-4.366042840713897
Waste,1.7263238704046304,0.46460591000771,0.09614229854438384,0.9821494945681093
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760110869062754,3.096470643573028,3.0894950099490894,3.070872511111115
Exports,-46.26973753937441,-56.56472656021206,-57.29985115835347,-54.33223377588272
Imports,47.19473975527542,43.54634932148224,46.22990484165148,47.77469863004405
Imports (Net),0.9250022159010034,-13.018377238729812,-11.069946316701984,-6.557535145838665
Load (Net),58.65394712473528,41.395304188467804,34.79511443504093,36.1007210737913
Load (Total),61.440179062999995,66.41194991100001,74.104762009,77.959058451
