Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007198081443669933,-0.13162591612346392,0.0,0.0,0.0,0.13305952301850646,3.3212826612779997e-07,0.0,0.0,0.0,0.0,0.0,5.632296369467657,1.3211109877762501,0.0,0.0,0.0,6.458368539175492e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.577207682471444,-6.4190869603809e-06,0.22698992293260165,0.0,0.799519585740874,-6.406108596975402,7.095290493146294,0.6891818961708914,9.455412414259126,10.254932
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006546639725404525,-0.21790660356108218,0.0,0.0,0.0,0.2261190836752321,3.240218792153e-07,0.0,0.0,0.0,0.0,0.0,5.5998483983778025,1.3211109151923832,0.0,0.0,0.0,6.386557322217208e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5757580614385946,-6.432765387324e-06,0.22549078035115652,0.0,0.5781995880011227,-6.514262968383297,7.226832259947739,0.7125692915644423,9.449530411998875,10.02773
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00530896337305559,-0.1070406865417682,0.0,0.0,0.0,0.25619932320782735,3.179465293378e-07,0.0,0.0,0.0,0.0,0.0,5.580011910203733,1.3211109682837971,0.0,0.0,0.0,6.39167672412301e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5709307348097656,-6.3395945995701e-06,0.22399143595807858,0.0,0.956309588460694,-6.632111854519995,6.767933684480472,0.13582182996047687,8.986328411539308,9.942638
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038995228637413895,-0.08833993675507827,0.0,0.0,0.0,0.2561993146696082,3.1802798420590004e-07,0.0,0.0,0.0,0.0,0.0,5.579007967241292,1.321110971548141,0.0,0.0,0.0,6.372348148811023e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5680318339908597,-6.3376500865952e-06,0.2238913480280606,0.0,0.6024794457530955,-6.824904070818952,6.976812670118351,0.15190859929939962,9.015703554246906,9.618183
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033595165372458783,-0.07557820409616553,0.0,0.0,0.0,0.25619931513043737,3.1936711958989996e-07,0.0,0.0,0.0,0.0,0.0,5.498817822215375,1.3211109733706743,0.0,0.0,0.0,6.34708038509966e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5644003205045351,-6.3184658168985e-06,0.2238914251353,0.0,0.5297595325010185,-6.995983698965632,6.908649043461228,-0.0873346555044036,8.704860467498982,9.234620000000001
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003159478539732677,-0.08432081613643663,0.0,0.0,0.0,0.2561993158173973,3.202128416486e-07,0.0,0.0,0.0,0.0,0.0,5.448453772099426,1.3211109743850056,0.0,0.0,0.0,6.30002172154279e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5621647839128008,-6.3116506026638005e-06,0.22389149148646945,0.0,0.5557594536115227,-7.078415407605415,6.8031119920852765,-0.27530341552013854,8.455349546388478,9.011109000000001
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030930658853444305,-0.08394320250754934,0.0,0.0,0.0,0.2561993161149748,3.205449642689e-07,0.0,0.0,0.0,0.0,0.0,5.403354652773541,1.3211109763575513,0.0,0.0,0.0,6.293357278406134e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.559968477781245,-6.312824812883701e-06,0.223891551831115,0.0,0.6802895346400935,-7.130988771270309,6.620564437168196,-0.5104243341021137,8.173244465359906,8.853534
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031345654516901,-0.07991527395371224,0.0,0.0,0.0,0.2561993179270858,3.206547085753e-07,0.0,0.0,0.0,0.0,0.0,5.419995019135212,1.3211109861169072,0.0,0.0,0.0,6.301525132231754e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5609542615074679,-6.3090768063927e-06,0.2238916071527607,0.0,0.5007395438380979,-7.133489529370674,6.806348537261076,-0.3271409921095974,8.378223456161903,8.878963
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029520210295274018,-0.06632245230805732,0.0,0.0,0.0,0.2561993152461036,3.190748365894e-07,0.0,0.0,0.0,0.0,0.0,5.250870305434966,1.321111006856596,0.0,0.0,0.0,6.335853416777552e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4189194219709037,0.0,0.0,0.0,0.32175511872458173,1.5522459729314764,-6.3571690857037e-06,0.2238916315025746,0.0,0.4053997278726415,-7.277429345408785,6.792741396369709,-0.48468794903907564,8.056253731431873,9.202328
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0749411273002949,-0.4856786788648103,0.0,0.0,0.0,0.2561994110011988,3.444403499615e-07,0.0,0.0,0.0,0.0,0.0,3.15501057286782,1.3211105999840476,0.0,0.0,0.0,6.353191906048582e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5341791586428477,0.0,0.0,0.0,1.725530986849957,0.8562813676323874,-8.7270292974662e-06,0.2238893899299229,0.0,0.359429782262622,-5.8183840370886095,6.4743857932161735,0.6560017561275645,6.057747072244576,9.676887000000002
