,0
0,-6985.762828760779
1,-7104.471201939862
2,-7138.769242582832
3,-7310.72047050593
4,-7557.561717021971
5,-7738.033878050475
6,-7810.935744009773
7,-7910.150200196715
8,-7617.8164667505125
9,-6299.995188785098
10,-5705.287207782354
11,-5815.713415315839
12,-5985.31746666919
13,-5601.585748683667
14,-5908.0041680911
15,-7332.803692215763
16,-7159.380080344077
17,-7069.850386908226
18,-7269.13474544848
19,-7742.770187730366
20,-7998.354120906758
21,-7995.369150617758
22,-7316.476683059869
23,-7424.802283615054
24,-7475.676555207358
25,-7518.080180251739
26,-7521.657010417987
27,-7693.7545099076515
28,-7828.289759449206
29,-7832.388788588385
30,-7781.117156801376
31,-7838.589059648499
32,-7715.568610812124
33,-7686.8752077148465
34,-6245.021835248137
35,-6299.999433557997
36,-7576.619161728812
37,-7773.555593718661
38,-7684.423038819883
39,-7540.900850531167
40,-7720.277660527626
41,-7889.273267865421
42,-7999.852427381623
43,-7999.942032670201
44,-7999.936568014415
45,-7665.802721265698
46,-7638.753248003186
47,-7673.200214303218
48,-6866.256971444118
49,-6545.505765895865
50,-6720.155006982871
51,-6627.711478258398
52,-6632.008955583361
53,-6690.1979050152095
54,-6684.5754648516295
55,-6762.977080938018
56,-6636.66618289195
57,-4314.169054371858
58,-4570.482917074292
59,-4502.588240547445
60,-4311.116367004185
61,-5458.924009968346
62,-6405.276738827377
63,-6520.272714017038
64,-7999.99174477941
65,-7207.890771680316
66,-7242.835195019505
67,-7388.098382119978
68,-7546.141172552332
69,-7454.2246266297025
70,-7360.137946924267
71,-6510.8809635923935
72,-6588.22450084811
73,-6764.926320049435
74,-7055.544004240154
75,-7359.369920875262
76,-7297.835000543253
77,-7287.99636230899
78,-7325.106497643337
79,-7039.085517468646
80,-5315.391437664136
81,-5127.689735869939
82,-5430.236780306639
83,-6952.284675868223
84,-6688.132633781082
85,-5594.670335920748
86,-5342.451759384455
87,-7013.451833881162
88,-7999.920929665594
89,-7999.968958056625
90,-7999.97600453997
91,-7376.948437792755
92,-7829.304115492578
93,-7953.84888293833
94,-8071.444868248444
95,-7707.295916152799
96,-8610.449839270923
97,-7250.165647566273
98,-7326.206727329838
99,-7350.253653118041
100,-7448.2323182089785
101,-7425.730283352192
102,-7348.32394175406
103,-7914.638096833855
104,-7137.336039379404
105,-6289.853144508289
106,-6228.386516669954
107,-6757.211016733498
108,-7032.7053326673595
109,-6576.552316477993
110,-7038.3045474956925
111,-7682.452961221138
112,-7650.196631573332
113,-7763.890878036162
114,-7758.7967954506985
115,-7267.892807788097
116,-6843.982481385997
117,-7043.876874263757
118,-7167.944950945993
119,-7217.323454331318
120,-7005.5513980826845
121,-6635.167297429652
122,-6699.678492007262
123,-6870.163481120412
124,-6978.133849609721
125,-7001.809878508923
126,-6988.116625440829
127,-6350.666763758249
128,-6457.3658481029115
129,-6431.478123348405
130,-6252.034097366007
131,-6287.105762269077
132,-6467.482783492604
133,-6535.608864579076
134,-6377.160274188707
135,-6489.935562750753
136,-6501.636113582186
137,-6484.30339051868
138,-6350.662718116861
139,-6240.363931999978
140,-6405.986518337676
141,-6487.802825223569
142,-6646.38866002321
143,-6735.069342749878
144,-6782.004736549263
145,-6769.724663830656
146,-6574.343654353382
147,-6535.144680354664
148,-6552.916831225199
149,-6644.78697267563
150,-6740.529418277545
151,-6195.840425800357
152,-6176.676353853584
153,-4139.296474122682
154,-4205.14616451259
155,-4292.134417765954
156,-4544.442897826305
157,-4706.89895756945
158,-4676.816265498468
159,-6653.305059177762
160,-6666.990447722453
161,-7727.448234260419
162,-7282.674666113216
163,-7892.4751453513545
164,-7999.231098938281
165,-7999.991114343935
166,-7999.9922047036425
167,-7095.047744969471
168,-6862.936267788172
169,-6734.30051280194
170,-6544.17360587419
171,-6737.457097925774
172,-7219.502685491956
173,-7999.844088713975
174,-7967.184942285986
175,-7867.2129295108425
176,-7772.808136805967
177,-6299.981874378255
178,-4464.4307974805815
179,-4160.317038157407
180,-4232.971383847327
181,-6374.844688798029
182,-6567.871333525216
183,-6408.666826444418
184,-7776.49340621141
185,-7699.938624258138
186,-7794.3726090110595
187,-7270.277501132952
188,-7579.58003765648
189,-7630.446172091962
190,-7870.60189433071
191,-7818.674283661681
192,-7335.45011800054
193,-7352.378841490093
194,-7356.4470230695815
195,-7439.807746192677
196,-7469.348897297405
197,-7482.397092172894
198,-7521.129901287757
199,-7383.188133682135
200,-6299.99449986852
201,-4634.1437867095565
202,-4419.16192772296
203,-4164.736680040704
204,-4367.295068468181
205,-4721.144023005452
206,-5931.463763659733
207,-6323.223150833826
208,-7245.141246947431
209,-7791.999969430945
210,-7773.438735731564
211,-7811.808996577343
212,-7436.548967240067
213,-7757.343788835326
214,-7999.913494486619
215,-7999.970106166007
216,-7999.915289056771
217,-7999.966555508461
218,-7999.97994387249
219,-7999.986406483798
220,-7999.989107965627
221,-7999.991204978694
222,-7999.99155394852
223,-7969.475107161815
224,-7659.252929276547
225,-6136.043270734768
226,-4492.223104137
227,-4383.945137235118
228,-4372.519076318798
229,-4329.188336505407
230,-4726.004455578484
231,-6862.403322748393
232,-6939.101531837918
233,-6908.2558182305975
234,-6763.896412111204
235,-6993.575406280309
236,-6816.842116623026
237,-6908.510285974539
238,-6993.250867407649
239,-7036.472262242603
240,-4369.263637624336
241,-4387.373869875721
242,-4398.002193006009
243,-4407.934077179041
244,-4525.062711349386
245,-4506.414401534948
246,-5567.724170370037
247,-6414.380936053158
248,-3777.1632542794478
249,-4256.928096999937
250,-4694.011287964155
251,-5288.334720217545
252,-5347.516389742607
253,-5182.655914734609
254,-5724.4638281018815
255,-4019.7584313579346
256,-3799.803898106866
257,-3802.444591841124
258,-3685.9810352804852
259,-3604.6955129606413
260,-3742.2494698169194
261,-4117.604126599431
262,-4292.227496575068
263,-4429.31253833709
264,-4100.389936907895
265,-3374.6139631620745
266,-3392.345543663068
267,-3410.4598710930723
268,-3629.459226320381
269,-4040.1388662094287
270,-3782.183153983062
271,-3287.137841723617
272,-3479.740600080904
273,-4367.641239821927
274,-4594.030108332825
275,-4532.526534133856
276,-4633.384069178237
277,-4653.44286165847
278,-4593.658139481714
279,-4683.925217253017
280,-3709.701972174641
281,-3680.7084056689723
282,-3864.9173978738972
283,-4228.611064182494
284,-4575.653564828581
285,-4653.431430903043
286,-4458.727472166604
287,-4418.4412818808505
288,-4300.703556721028
289,-4310.224034333904
290,-4332.752244130414
291,-4405.344010633717
292,-4419.796679438495
293,-4424.136637140038
294,-4519.360204928218
295,-4460.523247166634
296,-1810.2672212627617
297,-3945.236148485496
298,-4650.734073923807
299,-5998.8822060262355
300,-7745.811998054831
301,-6724.8053630527165
302,-5035.242386267927
303,-4689.1872064363315
304,-3852.562211241382
305,-3757.420298207633
306,-3750.64351371274
307,-4005.2926310737976
308,-4040.721539526716
309,-4109.06902794854
310,-3603.761344982915
311,-3727.020281522203
312,-6729.318219653098
313,-6515.885477997952
314,-6485.768244085927
315,-6488.595690423763
316,-6646.472496632247
317,-6426.656085548486
318,-6798.131938099248
319,-6731.081967056453
320,-6765.927954817898
321,-6722.453083688368
322,-6642.32428579875
323,-6923.230449052068
324,-6848.161343847346
325,-7261.731059830111
326,-6844.689559970375
327,-6827.956014459276
328,-6627.365986582882
329,-6619.427158951825
330,-6431.469578975086
331,-6392.784262855576
332,-6378.629905040134
333,-6715.578564724956
334,-6949.875044411239
335,-6999.361802239155
336,-6563.531350264967
337,-6347.1422752212575
338,-6460.84514487476
339,-6491.553343925399
340,-6461.141193936073
341,-6525.672589061416
342,-6625.245573873793
343,-6417.4739165059
344,-6635.3073633347885
