Month,Switzerland,Germany,Italy,France,Austria
1,66.87363518172685,88.80056171687758,66.20736123926216,39.65548339865233,78.68573565140149
2,56.875595980205404,75.646858700963,58.847532184027465,30.34624021890609,52.686622372204944
3,26.804488300832578,32.59405446405069,27.25897858650391,19.323645361573853,26.821324293677957
4,13.90149084941766,14.93992020878197,14.392673567158084,13.861651133726719,12.072210862984727
5,10.690649587032997,10.864244741192953,11.848482429701125,11.76723470538118,10.501142162698173
6,10.710510641744797,10.614339040614734,12.367930682628346,12.297130025145133,11.122248254970593
7,10.844160553709907,11.511199007673058,12.956422975624251,11.464559341337306,11.311238585168256
8,13.683360205702996,13.510447539658403,15.599812186650082,13.91254822615476,12.971229096546878
9,20.142619312778937,19.738998020972346,21.67166341716293,18.88528973960507,20.164767606459325
10,38.99042275567071,53.15602636333599,39.85082386902867,22.60757792922798,48.06816047055516
11,54.20453537999948,62.60973558522333,56.78168418400595,32.233412187248376,65.10830101565669
12,67.58791426459051,103.72454721093023,60.126278306950425,26.609529208345155,91.25995699802675
