Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,994338523.4834456,610437598.0726366,374755731.9163785
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481667444.9769053,295702028.27043647
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,46984819.17934431
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946188986.0,487559648.69943076,169440681.73289624,78216267.51518531
Fixed Operation,0.0,540663164.7759305,457619326.9401368,250243681.91912702
Trading,-65912735.24040681,-508277281.990187,-155057861.45115396,-46556774.500148915
