,0
0,-7189.96939551972
1,-7270.600831164646
2,-7186.408940765884
3,-7451.242590883534
4,-7625.422614893379
5,-7786.338083843085
6,-7727.584585171502
7,-7784.1700393189385
8,-7478.2858277177975
9,-6299.96439747131
10,-5693.419689925958
11,-5818.320376584602
12,-6030.1839001876515
13,-5598.2169061723525
14,-5871.868888544901
15,-7123.353622534078
16,-6803.9599607579485
17,-6702.383991388449
18,-7091.80345991431
19,-7444.249853372531
20,-7626.1084146807
21,-7602.945624942986
22,-7045.9814637453055
23,-7158.681359876147
24,-7254.905075794413
25,-7308.746112665225
26,-7351.5000485667
27,-7530.951026556395
28,-7735.145270518416
29,-7774.500316483614
30,-7797.4842102368075
31,-7991.268538600059
32,-7955.244795767977
33,-7958.83441946121
34,-6299.986203095305
35,-6299.997864268772
36,-7608.570457406503
37,-7874.611901913028
38,-7754.212952558949
39,-7606.888004014886
40,-7485.8429546303905
41,-7359.13075447962
42,-7621.752653448332
43,-7602.687045461099
44,-7701.8576580536355
45,-7236.345776899364
46,-7234.462011347847
47,-7343.230835076098
48,-6732.153716156155
49,-6617.196124725036
50,-6793.561776655986
51,-6704.640385132144
52,-6700.499013604562
53,-6754.853835570496
54,-6702.894847596831
55,-6617.435876466161
56,-6529.217549830835
57,-4331.922875044062
58,-4445.877505874931
59,-4468.071606617693
60,-4292.270296887883
61,-5951.976883093694
62,-6450.446857927318
63,-6577.607764690278
64,-7750.873984827142
65,-6820.0456788010015
66,-6719.224003398415
67,-6680.4354753644475
68,-6882.382124503198
69,-6849.263659979741
70,-7190.939514940277
71,-6821.730286041683
72,-6702.133375415612
73,-7134.650395896715
74,-7280.883888981849
75,-7249.300307082315
76,-7140.0564878035275
77,-7143.012742763216
78,-7538.874405592778
79,-7106.295702324715
80,-5159.597248657398
81,-5052.892242043211
82,-5563.283728258541
83,-6824.82654695329
84,-6673.957616372083
85,-5766.344116211741
86,-6246.984683890946
87,-7137.601237594664
88,-7530.259273710663
89,-7745.165561677422
90,-7717.879135530654
91,-7212.698737566578
92,-7364.257590459034
93,-7345.501736994034
94,-7430.120681680639
95,-7361.901902140935
96,-8499.663442093048
97,-7330.939025515282
98,-7505.136979575816
99,-7536.239568530908
100,-7669.189838745282
101,-7648.835988037882
102,-7610.822646987917
103,-7292.839837646547
104,-6917.500412363718
105,-6056.157633369141
106,-6254.8343523279
107,-6878.99638504135
108,-7427.569299966899
109,-6760.581924746178
110,-7126.202732951467
111,-7458.453481926323
112,-7441.7466868458805
113,-7459.513235744975
114,-7517.091520572292
115,-6978.150815266616
116,-6790.429401203583
117,-6711.688501081624
118,-6968.224224068549
119,-7194.257711741278
120,-6873.614414762824
121,-6497.7034339979455
122,-6554.061721639039
123,-6704.875406500598
124,-6801.2163583441725
125,-6838.0145946432995
126,-6832.6258981713
127,-6442.983586978668
128,-6539.449365044622
129,-6521.991198901135
130,-6284.140226224844
131,-6316.173486516557
132,-6466.497293001962
133,-6563.545361152872
134,-6419.597161104863
135,-6530.863561547085
136,-6554.219322021092
137,-6551.56157016968
138,-6423.759804513173
139,-6251.710037578586
140,-6354.384306415435
141,-6409.984458484819
142,-6564.392269566651
143,-6619.897927963428
144,-6600.580886757451
145,-6634.778680504137
146,-6478.19420113237
147,-6610.895002464563
148,-6573.189528620729
149,-6660.084388598485
150,-6757.799677149538
151,-6228.774987626009
152,-6213.55127280467
153,-4226.181425923997
154,-4154.138834890263
