Month,Switzerland,Germany,Italy,France,Austria
1,67.44023118610397,88.81579150371897,66.20509138146541,39.647134572661585,78.70940302691955
2,57.88439842451131,75.67980901778623,58.85025760823847,30.367103837744295,52.698235323415766
3,27.15918732574399,32.87841945890899,27.52714558448588,19.352113663303033,26.962077719153267
4,14.011525884526117,15.1078097285009,14.585943256022986,13.982139687153985,12.215982030748494
5,10.677606240538006,10.862967597101541,11.893581799215431,11.75096519371374,10.51789375038469
6,10.743664993817557,10.619371112125663,12.414166477991616,12.30889378034826,11.134451200380422
7,10.850785515669033,11.516084564412681,12.965454524349688,11.46492767059862,11.316939529288279
8,13.660816917096689,13.514900551110674,15.606496506755331,13.903009845310162,12.976111129305874
9,20.122554241717737,19.738419067705077,21.676195883213833,18.88669268253906,20.1655260772988
10,39.09702728142416,53.19179884151893,39.977532007722345,22.673474622673293,48.136626713849495
11,55.07486241395439,62.64661567870904,56.965261482356276,32.253087779408574,65.22639613678483
12,65.66835601010273,103.82795244479532,60.185172714743715,26.969090007195295,91.38739184392304
