Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7639805580298881,0.5457222720146158,2.189919520014949,2.1899261653088695
DSM (Up),-0.7639805580298881,-0.5457222720146149,-2.189919520014949,-2.189926165308879
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930935640495169,0.18783814733432452,3.075907322219037e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.0
Gas CC-Syn,0.0,0.0,0.0,0.0
Gas Other,0.00010165204433218447,7.22319274790154e-06,1.5777671848412165e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.06724133353297,18.072204031379364,17.66628076041186,17.980083843040227
Hydro RoR,17.28079802440508,17.958232840385612,19.250057589800907,19.413703255233578
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,9.342095199243295e-07,7.816563633383895e-07,1.273935240378348e-07,7.267145707386454e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.903274692953577,14.47328898556795,4.959405126770551,0.0
Oil,1.6812321180491058e-06,1.0338701255187616e-06,2.619548736807433e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7411547848296753,6.8030212776633965,6.811369781351446
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598633671823967,19.190315859340412,29.328878498337748,31.812512354755047
Pump,2.9736929426015717,4.888686360726303,7.276439205505616,7.9368833236689555
Pump (Load),-0.0772845875463438,-1.6820816813973076,-3.695440851928932,-4.443809914569787
Waste,1.7263452308006557,0.4540422544375712,0.07221833320061269,0.9576224146528598
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760090214118078,3.0964453870520448,3.0891037088519067,3.0718787153943254
Exports,-46.27789369173215,-59.72638865212968,-61.0133605347349,-57.849572487321645
Imports,47.20285760453825,41.93811518391951,41.91590960058818,42.127393682118786
Imports (Net),0.9249639128060922,-17.788273468210164,-19.097450934146714,-15.722178805202866
Load (Net),58.653943329034846,36.563943189777866,26.431513964146948,26.12230267949919
Load (Total),61.44017790299999,61.59185922099999,65.652517449,67.818063531
