Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04539555534106032,-0.0022269004526376114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.151057496859715,1.3211084509238613,0.0,0.0,0.0,8.464239906572873e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5921106432384187,-9.1820109222679e-06,0.226981496604162,0.0,0.7995194519632461,-7.18996939551972,6.3148645071345,-0.8751048883852199,7.459312548036754,8.258832
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028160427084563712,-0.03134869381494269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1514357167878355,1.3211083082802229,0.0,0.0,0.0,8.438108542900006e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5524657970784836,-9.3193928659755e-06,0.22548168207756006,0.0,0.5781994539479394,-7.2706008311646455,6.476597582594538,-0.7940032485701076,7.453290546052061,8.031490000000002
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006619289613467824,-0.15364749714786752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.127522901623265,1.3211083118223221,0.0,0.0,0.0,8.372417695696728e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.518028273111177,-9.3001180324886e-06,0.22398232589383735,0.0,0.9563094507236255,-7.186408940765884,6.132333309338542,-1.0540756314273412,6.989528549276375,7.945838
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018043920839751796,-0.01910772770762495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.081985003401854,1.321108318300534,0.0,0.0,0.0,8.346730640371194e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5483859762099406,-9.2829444695315e-06,0.22388216771805933,0.0,0.6024792615144406,-7.451242590883534,6.304807608214284,-1.1464349826692506,7.011613738485559,7.614092999999999
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03170551791695076,-0.022958059298175546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.001938034258313,1.3211083132779193,0.0,0.0,0.0,8.3288701448423e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5441978654424822,-9.281506827566e-06,0.2238822867984921,0.0,0.5297593763252633,-7.625422614893379,6.222148686916955,-1.4032739279764246,6.696590623674736,7.226349999999999
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12838175600657312,-0.009462469463664724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.963255666368822,1.3211083065209628,0.0,0.0,0.0,8.267844021187903e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5402562313724064,-9.279855271127299e-06,0.2238824098377345,0.0,0.5557592720020473,-7.786338083843085,6.063325316097684,-1.723012767745401,6.444399727997953,7.000159000000001
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001470030975075857,-0.06419971355895811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.917713595060174,1.321108284179233,0.0,0.0,0.0,8.262758886201912e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5389190673761062,-9.3536553903195e-06,0.2238822736414828,0.0,0.6802893870685467,-7.727584585171502,5.946575138503001,-1.7810094466685005,6.157874612931453,6.838164
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0651124487214893,-0.030422776182321146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91935825242167,1.3211082943282795,0.0,0.0,0.0,8.269182016203477e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53938130630001,-9.3321802279868e-06,0.22388244890419504,0.0,0.5007394023118755,-7.784170039318938,6.100833119065223,-1.6833369202537143,6.355073597688122,6.855812999999999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012976183236291315,-0.2390846825179218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.560944879703598,1.3211083101972347,0.0,0.0,0.0,8.208298390038696e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42064880667474963,0.0,0.0,0.0,0.32172642246238353,1.26918826146593,-9.350734792264901e-06,0.22388222883772196,0.0,0.4053998805525407,-7.478285827717796,6.370681641416,-1.1076041863017971,6.029722890310327,7.177498000000001
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12031941455070977,-0.16558849569565337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9572251729237524,1.3211075160426093,0.0,0.0,0.0,8.242885330395375e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5396585955904643,0.0,0.0,0.0,1.7278165702271155,0.5432076094208611,-1.365327029519e-05,0.22387368592007342,0.0,0.3594294328062615,-6.29996439747131,5.348395756861308,-0.9515686406100021,4.0485624013761585,7.675467
