Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,993976384.8955328,610215276.3938984,374619245.6912517
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481893956.83753616,295841086.9037619
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,46100232.65130974
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944925638.0,488445006.1536776,170229041.43936428,77051954.44406885
Fixed Operation,0.0,540501490.1066973,457619326.9401368,249903724.81825316
Trading,-44359430.76467639,-493951220.75176185,-148914092.97632557,-39644193.26525355
