,0
0,-6688.040859992773
1,-6876.43323045477
2,-6968.861285211013
3,-7140.459965402108
4,-7296.5908170589355
5,-7442.244419825132
6,-7672.404363854203
7,-7889.059663945347
8,-7700.2537457996
9,-6299.991363922976
10,-5722.858182233567
11,-5881.292854524266
12,-6145.866391739782
13,-5369.922784190695
14,-5537.936080075249
15,-7414.233667280051
16,-7187.102335494652
17,-7110.658504463931
18,-7299.282786704734
19,-7774.627419097205
20,-7999.772870765708
21,-7999.930988865042
22,-7273.893878029391
23,-7397.1208182529435
24,-7347.562151966646
25,-7378.27954589662
26,-7385.758954682625
27,-7508.174251834387
28,-7675.690585893557
29,-7743.543156320472
30,-7867.58859718316
31,-7957.507907147157
32,-7616.318217918974
33,-7542.929879956044
34,-6171.639386700086
35,-6299.999508647376
36,-7499.209471371063
37,-7681.172767173262
38,-7605.87652766803
39,-7678.626962905511
40,-7736.1195625808305
41,-7756.350431870091
42,-7999.852410467562
43,-7999.955712277628
44,-7999.979848095
45,-7672.146012442332
46,-7644.877498987571
47,-7687.809918796305
48,-6915.335722911265
49,-6481.732629246194
50,-6655.42912473795
51,-6556.1407353654195
52,-6562.49719156089
53,-6619.841394397767
54,-6641.040073500079
55,-6810.220943232697
56,-6641.385436248168
57,-4250.892370201344
58,-4644.895871229723
59,-4435.859406934772
60,-4205.384612054165
61,-4656.561187430692
62,-6333.181736166258
63,-6452.550299996458
64,-7999.997658731636
65,-7274.954042896504
66,-7376.845567791314
67,-7390.5655163187
68,-7500.510111178075
69,-7526.706020278627
70,-7514.052225837509
71,-6571.450527056141
72,-6467.277248249078
73,-6658.187424079586
74,-6897.325741823346
75,-6813.929310351247
76,-7214.666344449004
77,-7212.564484189834
78,-7258.0158512936105
79,-6907.319291866479
80,-5099.120884953911
81,-5120.692567119628
82,-5263.431354805862
83,-6815.625590492607
84,-6515.103658539984
85,-5337.6305939139065
86,-4902.792663121876
87,-6863.004298062998
88,-7999.9619032813425
89,-7999.98077728208
90,-7999.983905032406
91,-7646.60738230296
92,-7864.517543882056
93,-8039.551884403012
94,-8138.574219176796
95,-7746.773986166142
96,-8618.256676322957
97,-7118.624723392075
98,-7222.155318493933
99,-7236.449095468595
100,-7310.204405917076
101,-7249.507836346004
102,-7673.413293530066
103,-7896.5656716861795
104,-6992.447934637382
105,-6207.7192526027475
106,-6180.439224258392
107,-5964.06012250297
108,-6453.186524631001
109,-5883.853984357992
110,-6880.70580473633
111,-7614.005406522281
112,-7669.541919872845
113,-7733.3055813459305
114,-7838.736042863965
115,-7494.268231980449
116,-6861.941055461366
117,-6965.921885354364
118,-7087.396971655776
119,-7197.410737538531
120,-7031.957398092314
121,-6650.876552325848
122,-6720.4867316091
123,-6892.55575193301
124,-6999.256145362112
125,-7034.151105886278
126,-7020.958544805251
127,-6329.403368333431
128,-6411.922549870091
129,-6414.493285531698
130,-6193.689039322402
131,-6225.0632407576395
132,-6416.810573494043
133,-6475.246128812447
134,-6307.347498778026
135,-6396.782694205081
136,-6426.210608081685
137,-6426.546535071982
138,-6275.713860805896
139,-6175.877092906287
140,-6365.3543747932135
141,-6445.335272004861
142,-6649.172832135325
143,-6738.33572831543
144,-6776.903336640457
145,-6774.25674450481
146,-6484.342681866627
147,-6520.047957853123
148,-6459.729644061781
149,-6577.824653802998
150,-6647.616550356481
151,-6166.230230743075
152,-6191.575333813205
153,-4100.482331907425
154,-4074.2867705593467
155,-4353.288153263783
156,-4585.899255149166
157,-4469.543815388501
158,-4476.401825908354
159,-6564.566234847844
160,-6681.6033995777325
161,-7866.888595495716
162,-7342.240354622563
163,-7943.918235201468
164,-7999.762123345185
165,-7999.992093490512
166,-7999.99364239265
167,-7095.043153913761
168,-6805.608462644163
169,-6904.174192152742
170,-6440.378098176945
171,-6299.708283229688
172,-6945.428323498357
173,-7811.083926352096
174,-7861.533639632984
175,-7848.553992746507
176,-7877.4344596272285
177,-6299.992864410675
178,-4425.687008418258
179,-4148.7980100241275
180,-4176.720419311269
181,-5740.216869586398
182,-6485.677449406245
183,-6286.427764338811
184,-7846.845404290398
185,-7970.839476601181
186,-7859.467218812623
187,-7480.067825533564
188,-7614.137417109338
189,-7672.1583764410825
190,-7750.670114537016
191,-7684.2231264792845
192,-7321.516438441472
193,-7322.672333197595
194,-7319.301293514024
195,-7404.40512423907
196,-7442.352729834968
197,-7454.767877920265
198,-7490.317216567464
199,-7310.230214267332
200,-6299.993869153239
201,-4609.413660698551
202,-4316.011969358288
203,-4116.156802796185
204,-4301.182933384336
205,-4671.034663096778
206,-5181.330393140264
207,-6229.991424452368
208,-7162.800281079751
209,-7759.043655907642
210,-7788.856601023757
211,-7819.529948338976
212,-7326.612841400384
213,-7635.2051404556205
214,-7997.912557008055
215,-7999.966607649557
216,-7637.401703868671
217,-7999.8333089788475
218,-7999.967124180998
219,-7999.982817356358
220,-7999.987451898682
221,-7999.990417675728
222,-7999.993333117123
223,-7999.987845774533
224,-7646.778861070545
225,-5944.1591076057275
226,-4437.6684383083175
227,-4326.104750596053
228,-4313.2675111048475
229,-4262.576957036537
230,-4360.830761466324
231,-6788.7996002563605
232,-6746.031402819177
233,-6709.737792433817
234,-6605.073646544557
235,-6908.025607290694
236,-6883.834745215021
237,-6735.8885167640965
238,-6987.529308278217
239,-6980.372724556251
240,-4276.626818631783
241,-4278.442111007288
242,-4278.705395603878
243,-4281.512350304345
244,-4391.929755132826
245,-4366.334531641414
246,-5626.096329045411
247,-6439.026509849999
248,-3640.6118941657014
249,-4247.7264347439705
250,-4686.90357453422
251,-5094.020787255199
252,-5243.144718247039
253,-5081.414143422795
254,-5625.449202764929
255,-3868.685960769827
256,-3645.299774226145
257,-3647.5035579316063
258,-3532.3883084584468
259,-3455.2349398895776
260,-3601.6706505938423
261,-4061.8238514550912
262,-4239.2084364391385
263,-4383.502859280537
264,-3848.87002383113
265,-3257.4407100696344
266,-3279.623991445297
267,-3287.999392027492
268,-3315.2678207469007
269,-3823.127308156039
270,-3738.1701054932173
271,-3363.917402926998
272,-3400.474003284009
273,-4179.069012863448
274,-4505.159159739583
275,-4467.998225826677
276,-4614.18437596066
277,-4531.5571730664615
278,-4537.132499275824
279,-4535.445607425562
280,-3363.1225751454917
281,-3429.5647167554807
282,-3672.95406450453
283,-4373.963220938306
284,-4654.910391604148
285,-4659.985084777489
286,-4534.318420101006
287,-4539.665367667216
288,-4295.24934979104
289,-4297.431487977734
290,-4312.439786441776
291,-4315.503689253195
292,-4346.575522130385
293,-4402.84438631012
294,-4449.9739192568995
295,-4450.861354278465
296,-1699.9997073843854
297,-3861.3660473324844
298,-4432.144334860315
299,-5611.293337093151
300,-7234.206503022827
301,-6379.241941702456
302,-4677.139939768781
303,-4596.38966531754
304,-3835.6308922856724
305,-3736.552471417828
306,-3741.1721749720105
307,-3993.77103570291
308,-4041.5814524320986
309,-4115.139766651912
310,-3568.2844842716695
311,-3700.032113450058
312,-6593.934944952681
313,-6432.048453481469
314,-6503.461131752501
315,-6539.668198815592
316,-6685.733237991427
317,-6357.402526751124
318,-6911.663948218419
319,-6609.770328082227
320,-6696.919545998116
321,-6622.644510374519
322,-6572.369978749175
323,-6869.107385124277
324,-6780.314236304286
325,-7188.382441500236
