Month,Switzerland,Germany,Italy,France,Austria
1,67.15369489859985,88.81398833679721,66.23684756751639,39.71901019103811,78.71335559931629
2,57.25959781099559,75.71542342134778,59.04316187931666,30.499879335803467,52.7787500916779
3,27.672819084560185,33.521506954583536,28.211608346877735,19.510872085010067,27.63707505906775
4,14.19158674810056,15.168721839885784,14.650132938814062,14.03359565505948,12.270103167988406
5,10.762279185117874,10.87314094542481,11.870295812320903,11.777907079079473,10.517908564198697
6,10.726016954925017,10.617003348143246,12.381774227980408,12.302630538617349,11.12686924511273
7,10.862035159351274,11.514657888307259,12.962178370973099,11.465426531900595,11.314795658598348
8,13.708475794362853,13.51864227901438,15.607824468273039,13.917454227051062,12.978857835005785
9,20.168359969666604,19.75908724281362,21.68581627616892,18.89482092172148,20.18324248336664
10,39.33677338080973,53.30633071846174,40.28372110602057,22.65039121477746,48.330700153735705
11,55.11640657350485,63.07629522587252,57.5607096723691,32.668869290714234,65.62599669775085
12,66.64280187712379,103.98603803394705,60.416201291577714,27.23612817048376,91.67891364501463
