Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623254145349347,0.5456365717797329,2.1899678127226654,2.1899658567723157
DSM (Up),-0.7623254145349347,-0.5456365717797328,-2.1899678127226654,-2.1899658567723237
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931621435446524,0.1881987952616092,2.2248255391824283e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.19244669752253374
Gas CC-Syn,0.0,0.0,0.0,0.0020505459339409293
Gas Other,8.745123214675005e-05,3.2982628024156367e-06,1.1561389042473249e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.3343627811456897,2.086933288453667,2.807168765653752,2.793175647451955
HP Shift (Up),-1.0244905095257513,-1.7727364707301128,-2.5037051013983036,-2.5426331278532848
Hydro Dam,18.067255174257628,18.07177907947807,17.652775730908953,17.980405722896226
Hydro RoR,17.280811911803777,17.96012694833151,19.261317653391092,19.421887411379423
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,3.735321203177564e-07,4.390646792728724e-07,1.9913917687338096e-07,1.303555265734809e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.94120865206293,14.484449082350423,4.9809821627269155,0.0
Oil,1.5686465709263545e-06,4.780309698099463e-07,2.166042239531204e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7481605708940853,6.82119535353254,6.827076090182474
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986377787009736,19.208081528863925,29.50666444990029,32.03289929881552
Pump,2.9699998908527094,4.780914471782444,7.096431486935839,7.808063296108724
Pump (Load),-0.07288758324686068,-1.5591309986290924,-3.4778165559150205,-4.283385864395052
Waste,1.7269006053599045,0.45179060949959315,0.07358041505196364,0.9605486267160946
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760433506035942,3.0965539705205996,3.0902458787582994,3.07242945476992
Exports,-46.68188593343134,-59.709449938113785,-60.71409230612083,-57.36980045086651
Imports,47.25768817831035,42.13706569101024,42.352443398625574,42.5708395502334
Imports (Net),0.5758022448790165,-17.572384247103535,-18.361648907495262,-14.798960900633107
Load (Net),58.65393746923866,37.119940270721386,27.529087206808875,27.53359751723208
Load (Total),61.440179583,62.172736341000004,66.94719288900001,69.466002361
