Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,994214920.8288047,610361716.7647797,374709147.37578917
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481860871.8957938,295820775.61953366
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,48650064.42680069
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946191487.0,488001640.4576235,170035326.65228876,79671435.9219091
Fixed Operation,0.0,540623164.0300696,457668428.8557444,250905313.36901423
Trading,-65924807.34879649,-488163958.0139761,-139863781.4688349,-32489422.77549256
