,0
0,-7039.704336184488
1,-7162.345271231667
2,-7204.025372741031
3,-7361.576365282482
4,-7229.166037090256
5,-7320.061901054827
6,-7609.432713380277
7,-7656.6397402291
8,-7614.077788903582
9,-5966.4686080181755
10,-5765.701595688863
11,-5854.231481441103
12,-6031.684684733528
13,-5516.6961368791735
14,-5731.920924266842
15,-7265.15116970771
16,-6698.992154431567
17,-6600.845466512892
18,-6858.132634342561
19,-7317.9727681319755
20,-7559.119488939706
21,-7526.893505471512
22,-6912.805434180989
23,-7030.588929729491
24,-7111.162940106389
25,-7175.196982461208
26,-7212.792708360016
27,-7408.245072106158
28,-7619.240508348392
29,-7751.478306828025
30,-7859.503287197702
31,-7916.884221208711
32,-7855.734604486979
33,-7781.637733153095
34,-6257.6734323161245
35,-6299.999622605967
36,-7608.56173565437
37,-7824.4033128281835
38,-7720.111715221352
39,-7547.455621074119
40,-7417.126777429104
41,-7304.8634528992825
42,-7562.48510167374
43,-7544.607261629567
44,-7642.6600161605875
45,-7033.372001457017
46,-7033.738921270734
47,-7086.997158537388
48,-6654.588286454908
49,-6580.709521366832
50,-6756.802517590382
51,-6665.578263838577
52,-6663.38165058401
53,-6717.032715924518
54,-6671.871108849181
55,-6579.598832002607
56,-6487.775062038492
57,-4296.263774430426
58,-4530.336034593208
59,-4447.124087627862
60,-4234.057665070893
61,-5123.5002157999215
62,-6423.729055649861
63,-6537.155488112801
64,-7697.49516587737
65,-6736.009163176373
66,-6663.501707337529
67,-6587.099210761609
68,-6770.3515095139055
69,-6934.100698504575
70,-6849.558557722293
71,-6743.356378796045
72,-6529.868962535009
73,-6754.50032821482
74,-7171.724799893227
75,-7266.152597069433
76,-7286.35239902082
77,-7284.353568742726
78,-7334.251642894071
79,-7000.407775316279
80,-4724.641530613948
81,-4963.729560377752
82,-5439.298989030443
83,-6958.761195188368
84,-6703.749472532145
85,-5530.892711305807
86,-5841.337882617966
87,-7069.051954540418
88,-7388.200282220752
89,-7499.26509259931
90,-7506.262778583591
91,-7224.065200916322
92,-7406.2285767002295
93,-7203.407325438363
94,-7483.843253653376
95,-7393.800560795402
96,-8429.723242398073
97,-7253.669232746679
98,-7406.325935384316
99,-7408.146120656897
100,-7553.856265158086
101,-7519.110686318072
102,-7555.141351170064
103,-7474.950295675412
104,-6805.286438919937
105,-5961.130884758313
106,-6228.93918479279
107,-6375.116481561334
108,-6968.312271910915
109,-6174.193077511497
110,-7053.387104144971
111,-7392.1068796927775
112,-7401.2968592012
113,-7491.896407588238
114,-7512.599784832677
115,-7087.219158312777
116,-6790.136360620989
117,-6631.260038177577
118,-6896.683770044792
119,-7112.782206494963
120,-6848.1781941157005
121,-6463.320819195138
122,-6516.437466306477
123,-6672.703277024779
124,-6769.971547863475
125,-6787.677803988729
126,-6777.073447396751
127,-6402.837257744288
128,-6511.8221601253945
129,-6464.723541676875
130,-6242.683023579999
131,-6276.537996899779
132,-6433.60341409421
133,-6527.75692558976
134,-6350.041523582474
135,-6505.0430286742985
136,-6540.89734378966
137,-6514.677217026894
138,-6376.148045748881
139,-6212.401188357188
140,-6311.169848595058
141,-6368.791900686186
142,-6507.025172870823
143,-6571.706851592545
144,-6567.075964349362
145,-6584.626530541043
146,-6439.498619711334
147,-6580.224913721841
148,-6529.193597923106
149,-6620.96337519087
150,-6711.0652759467175
151,-6199.329662962829
152,-6191.483645794393
153,-4197.8672907144
154,-4199.928186748386
155,-4381.266165598329
156,-4470.830251293158
157,-4446.600943544402
158,-4663.5978021646015
159,-6530.3208772779935
160,-6529.440918617252
161,-7125.2161594295685
162,-6901.788955600016
163,-6881.551004243717
164,-7070.719049694167
165,-7649.047272836835
166,-7805.933917612425
167,-6948.025242201649
168,-6621.684542095449
169,-6719.39058205713
170,-6680.41274180295
171,-6408.929632359608
172,-7434.488838258931
173,-7809.27312579844
174,-7651.212587325379
175,-7415.175543133411
176,-7298.435677803949
177,-6299.985162395681
178,-4438.7096183859985
179,-4175.321339099759
180,-4195.916620134411
181,-5695.972621318927
182,-6607.912116499162
183,-6439.368420761533
184,-7013.908056852364
185,-7056.200979998347
186,-7017.030356871863
187,-7066.225433595903
188,-7416.646113627995
189,-7726.766204384272
190,-7761.137064924708
191,-7687.463869832874
192,-7401.999554563137
193,-7444.194252575999
194,-7484.134180910036
195,-7597.14830254232
196,-7616.680040520242
197,-7589.884461113605
198,-7580.325600166451
199,-7562.288225841553
200,-6090.732343897358
201,-4587.474725207967
202,-4444.556588702855
203,-4210.436582633964
204,-4406.37214880754
205,-4692.0634957085995
206,-5391.361182186095
207,-6279.6136584311735
208,-7316.806232316397
209,-7101.3451474580825
210,-7295.069209381315
211,-7565.790628563321
212,-7133.930065264781
213,-7351.071884031125
214,-7473.973981377226
215,-7703.395301269848
216,-7643.1696542953705
217,-7531.114241857227
218,-7550.532999861242
219,-7990.408904111395
220,-7999.961266311755
221,-7999.982485486904
222,-7999.993625885778
223,-7477.869874113373
224,-7091.02998811957
225,-6179.267375774771
226,-4508.625770047253
227,-4431.435293386869
228,-4411.131257777235
229,-4354.510739641999
230,-4441.034362852482
231,-7032.233345246458
232,-6962.860689605069
233,-6801.92461694208
234,-6561.673182782428
235,-6409.807132461578
236,-6311.303790793425
237,-6947.184999318302
238,-7083.204741481657
239,-7057.067670881744
240,-4334.711515399322
241,-4382.7795111687155
242,-4409.902056869982
243,-4432.0245571887135
244,-4559.472018605811
245,-4552.098632140557
246,-5214.9822421190875
247,-6116.933500312144
248,-3822.0270823864935
249,-3935.382496997599
250,-4711.992106279877
251,-5292.706709891672
252,-5379.422703736263
253,-5213.229062467061
254,-5685.538781445436
255,-4040.6841217825986
256,-3807.7338923360894
257,-3812.377064850393
258,-3684.693548940876
259,-3585.7813943392794
260,-3699.7852167096653
261,-3974.3871266954866
262,-4144.476471852238
263,-4263.127741150846
264,-3250.5154679738016
265,-3232.7718295872805
266,-3256.7143395932408
267,-3285.8744471573877
268,-3303.232999323065
269,-3698.518216840449
270,-3496.8938983622284
271,-3207.0152613240953
272,-3430.1034774542295
273,-4376.035408671545
274,-4634.659414944653
275,-4586.18234642748
276,-4685.058506317715
277,-4722.240509343581
278,-4677.143688303719
279,-4346.112992792046
280,-3448.193897496902
281,-3306.0106674793574
282,-3487.422149420081
283,-3467.320683061017
284,-3653.6065332220655
285,-4504.750179528351
286,-4621.261038288504
287,-4560.68177360506
288,-4407.256682829331
289,-4409.027723976363
290,-4441.2663465575415
291,-4459.356270680952
292,-4470.646190874203
293,-4476.893640723527
294,-4513.923827881531
295,-4445.297772936919
296,-1699.999787782688
297,-3997.9205078808377
298,-4831.932934688535
299,-6197.26406900715
300,-7971.6484701435575
301,-6914.422786339163
302,-5201.225466792971
303,-4810.664925019131
304,-3812.602617294732
305,-3790.9489126906915
306,-3758.4499915767447
307,-3793.6277267194673
308,-3878.352240207997
309,-3840.876237608565
310,-3560.537043436363
311,-3617.0422475160035
312,-6606.430500371535
313,-6454.987627993246
314,-6437.977247675628
315,-6455.454868904748
316,-6561.420679952
317,-6420.847717618039
318,-6626.646369441919
319,-6531.288987972459
320,-6542.419953057
321,-6745.362066534603
322,-6642.573171532509
323,-6943.107247370875
324,-6896.13132159829
325,-7230.773340493835
326,-6817.837841909208
327,-6635.918371613649
328,-6466.599089908646
329,-6456.3538707231855
330,-6262.389096687457
331,-6247.778077900048
332,-6266.889946262511
333,-6439.560150039593
334,-6795.2362418518915
335,-6832.994817133809
336,-6565.527989044391
337,-6353.266940852645
338,-6458.848028685436
339,-6540.653614812572
340,-6470.716093751864
341,-6512.822381206822
342,-6605.194986304879
343,-6383.547364852175
344,-6411.156946555404
345,-6407.656580514962
346,-5775.9686784053465
347,-5568.062843627679
348,-6537.983986028972
349,-8272.167441530139
350,-8949.382778659474
351,-6647.512661698369
352,-7605.743733091436
353,-7578.703519358488
354,-7407.071218989468
355,-6976.093752524966
356,-7089.080014969273
357,-7184.258939329847
358,-7316.3414977556
359,-7406.491980774874
360,-7339.230082981521
361,-7282.360022907883
362,-7250.394342973981
363,-7251.473846999836
364,-7366.788337236685
365,-7483.764761611964
366,-7458.529027281382
367,-7208.132969725599
368,-7316.79274745225
369,-7602.876899574073
370,-6285.259675220994
371,-6417.366586434693
372,-7160.590420595743
373,-5637.085535230017
374,-7586.633944115339
375,-7353.1336687496005
376,-7413.115979300424
377,-7561.535339479616
378,-6390.874136264002
379,-6641.180657843018
380,-7016.6987395138585
381,-7292.753445680375
382,-7125.073047406391
383,-7255.696348184788
384,-6011.224167220051
385,-6084.4850186417425
386,-6220.083733934
387,-6205.059493393956
388,-6246.912650076075
389,-6382.5328415968
390,-6631.729041132145
391,-6538.451021924471
392,-5815.8700742188075
393,-6174.300078159969
394,-5257.377829855952
395,-5353.0281040411755
396,-5352.034166423903
397,-5040.955619464818
398,-6504.667919570569
399,-6064.383802431147
400,-5806.981577993376
401,-5307.4014184458465
402,-5344.428145127125
403,-5248.743936030442
404,-5179.5294607864425
405,-5679.795219801501
406,-6009.263115547823
407,-3844.10981220484
408,-5057.432980240714
409,-4334.948661018514
410,-3398.7646743729165
411,-3440.7026181787724
412,-3516.3255745279957
413,-3518.5596013075324
414,-4002.267158125793
415,-4082.706486745833
416,-3190.6530378573434
417,-4892.732650085089
418,-5385.653705407422
419,-5518.445612736605
420,-4968.862584717994
421,-4501.237664422084
422,-4261.386735916134
423,-4634.560507782669
424,-3648.2429670023394
425,-3328.462851955951
426,-4224.661624713448
427,-4323.944695201116
428,-4210.695296521396
429,-3222.12533839342
430,-3035.192103296619
431,-2798.0552681663767
432,-2787.9666146465765
433,-3448.7925733030634
434,-3482.0832874607904
435,-3620.8390093641583
436,-3541.737609357118
437,-3582.2223428787497
438,-3383.6088117821246
439,-3815.909495820175
440,-3449.5650220277043
441,-3852.1995406287956
442,-5413.709350935722
443,-5303.461386565939
444,-5758.791260747395
445,-5634.983626478433
446,-5259.07755248758
447,-4472.0916213385935
448,-3169.1490795130308
449,-3056.2498483403233
450,-3023.325561564742
451,-3173.661759855665
452,-3302.390225131694
453,-3331.4662568214026
454,-2942.6370275655886
455,-2833.570708723913
456,-3026.536962396195
457,-3166.0435677198207
458,-3139.346176258172
459,-3166.4930195912348
460,-3235.3299779799727
461,-3500.3778860411926
462,-3367.012708744964
463,-2697.59412885884
464,-3718.0434526661443
465,-4536.96572945829
466,-5072.587248184557
467,-5433.897660409177
468,-5302.583992474689
469,-5203.945044348065
470,-5473.533013782243
471,-4626.082416160788
472,-3636.87578508795
473,-2860.8833112900406
474,-2582.889447013977
475,-3374.406304596302
476,-4120.590213184405
477,-4538.709162322937
478,-3501.0934419156783
479,-3890.513781142611
480,-3320.7211609583233
481,-3536.056114527326
482,-3710.14540778709
483,-3783.2247743391563
484,-2488.469457519947
485,-3108.3872677707436
486,-4675.583262330036
487,-4004.0806045503673
488,-5040.252702741609
489,-6164.20841641577
490,-6465.288370025726
491,-6645.086684760664
492,-6501.133975368276
493,-6571.236373769889
494,-6745.337624263367
495,-3059.658342100567
496,-3857.763411476719
497,-3152.4409730953184
498,-2456.1006535338083
499,-2270.2849281447375
500,-3977.0778164938392
501,-4549.491188009231
502,-4650.268861301802
503,-4462.705634618864
504,-2897.219579459028
505,-2782.5099246581312
506,-2089.802314196442
507,-5482.5792613121885
508,-5647.789835144158
509,-5760.936809196819
510,-5770.3800544154
511,-6365.517108635765
512,-5597.344361902774
513,-4230.89380614473
514,-4212.785939826866
515,-2114.040038845913
516,-2209.9801674072523
517,-2352.1266393934447
518,-5818.69158260706
519,-5327.977904809124
520,-2030.1552316682755
521,-1699.9998491821493
522,-1699.9998453580372
523,-3755.6970430679185
524,-3866.074137695045
525,-3928.413353130224
526,-3997.190653292545
527,-4041.41249556466
528,-4515.118186691052
529,-4508.794892562652
530,-4509.453647192824
531,-4499.717311362324
532,-4495.341757586383
533,-4522.364366019902
534,-4512.476091152306
535,-4514.884039412348
536,-4293.087700742136
537,-3290.1856885240077
538,-3470.373571479591
539,-3308.0049115664124
540,-3694.3576407769824
541,-3469.3954784006983
542,-5075.434976528317
543,-3931.9095208560566
544,-4498.392962164484
545,-4013.1037740725087
546,-4638.548870646297
547,-4058.328562624365
548,-3777.110125149102
549,-4468.2875196627365
550,-4496.892668286029
551,-3551.5268097210273
552,-2803.596732950853
553,-3721.375404733233
554,-4299.629520570357
555,-4446.7898484277985
556,-4635.444433639537
