Month,Switzerland,Germany,Italy,France,Austria
1,67.76452732443659,88.84472995860327,66.2257125853844,39.744414578689046,78.79428612744594
2,58.53025399853554,75.7855638229045,59.06424537598106,30.592543219676855,52.824357196032594
3,28.075214960953765,33.97367717818312,28.592742505783985,19.512540925524597,27.857143662135343
4,14.255177645807025,15.22990443729843,14.864085366525897,14.081173683395397,12.356898371592928
5,10.752049269470596,10.894703626688614,11.955601728156127,11.770071131948736,10.55633127536999
6,10.776089393956294,10.627118752893725,12.457780468480319,12.321004166315422,11.150447993794241
7,10.86628758567285,11.525142040492497,12.977056865245522,11.468554435157834,11.330703677831186
8,13.67727151301337,13.523750555183884,15.61451000612175,13.91866958197457,12.982219120605539
9,20.138916977795855,19.760259284038508,21.692714771583198,18.89780090415351,20.183671209329074
10,39.57916308790535,53.42165782080041,40.54112816405553,22.92592904881125,48.55540822598523
11,56.166983014143426,63.19122565899002,57.83187696255759,32.73601428339532,65.93850827744157
12,67.30260133054205,104.32081205296242,60.54253627017416,27.32163054162373,92.07796221612226
