Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7640485062485325,0.5456107877427696,2.1899116000334398,2.1899628065102856
DSM (Up),-0.7640485062485327,-0.5456107877427692,-2.1899116000334393,-2.189962806510297
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.893090869889353,0.18829755700739395,4.494135673850402e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.07169148888919333
Gas CC-Syn,0.0,0.0,0.0,0.0
Gas Other,8.8574990558978e-05,8.47729480487914e-06,2.4249295685063287e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.067242973297773,18.072211062720243,17.67541053474465,17.983003111212582
Hydro RoR,17.280795400947543,17.958526674683892,19.252237224722258,19.416216645578896
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,6.76674360425599e-07,1.052245663196719e-06,2.711288916461422e-07,1.0526903310276152e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.90330125477653,14.478352479577826,4.991145967728858,0.0
Oil,1.6818366405314607e-06,1.2615407527859582e-06,4.258546183249999e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7397205463657617,6.795398401929325,6.8054592536111835
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986338506121163,19.192121679071565,29.349613477065713,31.836583555774006
Pump,2.973669458058467,4.891972371638728,7.252933794344991,7.927840906368003
Pump (Load),-0.07724956099093779,-1.683436949854019,-3.672212726036689,-4.4291846155400725
Waste,1.726356532108439,0.45578479237938846,0.07878855139896773,0.9655167585973937
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760207854307392,3.096462021847614,3.089106815469297,3.0703018973335947
Exports,-46.2673638669195,-59.39058688012185,-60.41457602649162,-57.30385745182909
Imports,47.19229155625116,42.17330518090615,42.5493402016248,43.12243102392185
Imports (Net),0.9249276893316635,-17.217281699215707,-17.865235824866822,-14.181426427907237
Load (Net),58.65394365384481,37.14443209371506,27.713074194535672,27.753657654281216
Load (Total),61.440179583,62.172736341000004,66.94719288900001,69.466002361
