Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05825475838173527,-0.02711799703520837,0.0,0.0,0.0,0.009899938332368349,0.0,0.0,0.0,0.0,0.0,0.0,5.241448657581615,1.321113872029552,0.0,0.0,0.0,1.2292074622638573e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553095395082007,-1.9654758783557e-06,0.22699561172481791,0.0,0.7995198757879427,-7.039704336184488,6.467458208075238,-0.5722461281092501,7.811442124212059,8.610962
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08056229792375175,-0.014942582840971406,0.0,0.0,0.0,0.01979979536536593,0.0,0.0,0.0,0.0,0.0,0.0,5.197457815602376,1.321113869270954,0.0,0.0,0.0,1.2426021784516532e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5566476486132905,-2.0329351745807003e-06,0.2254957531914019,0.0,0.5781998816207045,-7.162345271231667,6.582012842972008,-0.5803324282596586,7.805800118379296,8.384
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10377049313852378,-0.000592729634744449,0.0,0.0,0.0,0.024999876710997772,0.0,0.0,0.0,0.0,0.0,0.0,5.150985667400778,1.321113877446933,0.0,0.0,0.0,1.232999306377218e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5538149678182136,-1.9728379162376e-06,0.22399597320343215,0.0,0.9563098789559176,-7.204025372741031,6.168037358389532,-1.0359880143514983,7.342098121044082,8.298408
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444469046189953,-0.0028104518957368907,0.0,0.0,0.0,0.02499987760323063,0.0,0.0,0.0,0.0,0.0,0.0,5.150671058167526,1.321113873992994,0.0,0.0,0.0,1.2270645646534686e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5530375700996162,-1.9719194315983e-06,0.22389595493442613,0.0,0.6024798395391021,-7.361576365282482,6.411656728095559,-0.949919637186923,7.365433160460898,7.967912999999999
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006444059097994541,-0.16424748593373284,0.0,0.0,0.0,0.02499987643045497,0.0,0.0,0.0,0.0,0.0,0.0,4.935980169194638,1.3211138676824221,0.0,0.0,0.0,1.223442239411868e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4318513524101888,-1.9846916323321e-06,0.22389592112505288,0.0,0.5297598636667371,-7.229166037090256,6.506040069693832,-0.723125967396425,7.0511101363332624,7.58087
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006352903395939628,-0.17941340574086848,0.0,0.0,0.0,0.02499987624883667,0.0,0.0,0.0,0.0,0.0,0.0,5.0226169498401845,1.3211138648642085,0.0,0.0,0.0,1.2141632557184201e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298670220929537,-1.9905945344083003e-06,0.22389593330243948,0.0,0.5557598405809258,-7.320061901054827,6.407064340066388,-0.9129975609884395,6.799519159419073,7.355278999999999
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008868277241980844,-0.05286210485223024,0.0,0.0,0.0,0.02499987642855906,0.0,0.0,0.0,0.0,0.0,0.0,4.993303489360196,1.321113866711366,0.0,0.0,0.0,1.213435564199892e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5435874747632299,-1.9845198812274002e-06,0.2238959650227551,0.0,0.680289863256221,-7.6094327133802775,6.068333457715264,-1.5410992556650136,6.513824136743779,7.194114
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06020584905648857,-0.03144749302762102,0.0,0.0,0.0,0.024999876425609892,0.0,0.0,0.0,0.0,0.0,0.0,4.9972367104459705,1.321113866768322,0.0,0.0,0.0,1.2141514678159318e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544194375344937,-1.9895623768126e-06,0.22389599497874255,0.0,0.5007398659222199,-7.6566397402291,6.228895701978873,-1.4277440382502273,6.712453134077778,7.213192999999999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006525012380464997,-0.13295397623769933,0.0,0.0,0.0,0.02499987680478111,0.0,0.0,0.0,0.0,0.0,0.0,4.893400018780996,1.321113870146276,0.0,0.0,0.0,1.205144771628072e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42013985597365094,0.0,0.0,0.0,0.3217484342778064,1.3390707137912725,-1.9823956431357e-06,0.22389597400068006,0.0,0.40539991336821857,-7.614077788903582,6.331870617144112,-1.2822071717594699,6.387969796380324,7.535258000000001
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012465938665962725,-0.24692507621329104,0.0,0.0,0.0,0.024999888796612482,0.0,0.0,0.0,0.0,0.0,0.0,2.6035706216050416,1.321113684043918,0.0,0.0,0.0,1.2081697149661857e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5380597098771858,0.0,0.0,0.0,1.7255004282913855,0.445730010618926,-3.0622762103457e-06,0.22389392047887877,0.0,0.3594299147905694,-5.966468608018176,5.987099660147061,0.020631052128885132,4.40547694704086,8.028467000000001
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23514058070815289,-1.2830213095548197,0.0,0.0,0.0,0.0249998908966893,0.0,0.0,0.0,0.0,0.0,0.0,2.9102481521698276,1.3211136938909773,0.0,0.0,0.0,1.2059844171472744e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.256839917531585,0.0,0.0,0.0,3.0494003790007955,0.4406638095553729,-3.229901633967e-06,0.22389273310487862,0.0,0.4167199152272554,-5.765701595688863,4.570115093957667,-1.1955865017311953,2.6774477882403636,8.400407999999999
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2015206056137065,-0.6595916683928078,0.0,0.0,0.0,0.02499988906010537,0.0,0.0,0.0,0.0,0.0,0.0,2.9722746295302866,1.3211136968524821,0.0,0.0,0.0,1.2095087550959012e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.678959877601287,0.0,0.0,0.0,2.9838479883143507,0.5272142599770709,-3.3370564728032e-06,0.2238928169562477,0.0,0.9567299391671956,-5.8542314814411025,3.487396814373474,-2.366834667067629,2.2445861949171677,8.864124000000002
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652771710385142,-0.2927026523253098,0.0,0.0,0.0,0.024999896811237272,0.0,0.0,0.0,0.0,0.0,0.0,2.9457229741808906,1.321113699548266,0.0,0.0,0.0,1.208383844410039e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75527971286288,0.0,0.0,0.0,3.585238078138749,0.4964463596459952,-3.285823730805e-06,0.22389316113747454,0.0,0.6750099407057496,-6.031684684733528,3.2659826596567383,-2.76570202507679,2.2190452682926214,9.234573000000001
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001554617601149356,-1.640633275982992,0.0,0.0,0.0,0.02499987919438898,0.0,0.0,0.0,0.0,0.0,0.0,2.38695577132177,1.321113679534839,0.0,0.0,0.0,1.2092007740399474e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5868998112122346,0.0,0.0,0.0,2.837310369926764,0.4139167686725258,-3.6410792538937e-06,0.22389117728718474,0.0,0.9560699068320422,-5.516696136879173,5.430052259257731,-0.0866438776214427,2.643751912028959,9.024032
