Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,993920004.3915454,610180663.6552593,374597996.47225976
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481925516.9598088,295860462.08110845
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,46634618.073308684
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944925625.0,488705369.8340705,170930912.54730263,78158768.59955218
Fixed Operation,0.0,540479822.6523268,457618936.4826325,250106230.06335595
Trading,-44364018.71053082,-471820094.44679165,-131265992.7872274,-23374546.979046725
