,0
0,-6284.6552407299805
1,-6614.188131327328
2,-6661.706762161711
3,-6906.714161875409
4,-7098.894199398673
5,-7204.372897672687
6,-7265.565019621465
7,-7516.284325687222
8,-7804.885047636589
9,-6299.960622323418
10,-5731.644309271506
11,-5936.480417023235
12,-6220.572119492962
13,-5526.808714768784
14,-5708.452805382576
15,-7365.374889229618
16,-7136.040922991653
17,-7044.638380756785
18,-7319.608868219295
19,-7757.59414049181
20,-7999.843245433026
21,-7999.925624429146
22,-7234.268187212562
23,-7363.069509577016
24,-7209.21025435973
25,-7239.396433483371
26,-7246.66353753693
27,-7360.337058481761
28,-7465.309145737126
29,-7521.505789063735
30,-7759.650280633996
31,-7993.4416645268175
32,-7648.490472641557
33,-7415.9768387175245
34,-6008.356251753179
35,-6299.999050811877
36,-7337.196236251118
37,-7566.381009868001
38,-7482.70714465392
39,-7774.356341708248
40,-7776.333689493601
41,-7807.434025899523
42,-7999.860473505325
43,-7999.925452960862
44,-7999.97286984207
45,-7698.2498334371185
46,-7671.257588336324
47,-7689.556522166915
48,-6999.214344277349
49,-6392.073440342227
50,-6569.123460410373
51,-6471.479240113115
52,-6477.987202829438
53,-6534.50644040372
54,-6616.078379770826
55,-6863.218553829204
56,-6633.252393639695
57,-4149.060507551766
58,-4523.305187381205
59,-4338.869499978027
60,-4115.082957044084
61,-4602.344291242399
62,-6231.753182857283
63,-6362.571318449027
64,-7999.997684372394
65,-7293.263231149768
66,-7265.070188580797
67,-7417.2352111302325
68,-7580.79044732004
69,-7566.0818763764755
70,-7663.705295458271
71,-6504.567723070242
72,-6224.677264858846
73,-6292.1653705511435
74,-6532.260931705153
75,-6672.386885007853
76,-6818.292326445415
77,-7028.418533067217
78,-7108.403429558668
79,-6750.895895900242
80,-4936.127624921841
81,-5277.044665220769
82,-4897.100576617242
83,-6448.840411797017
84,-6057.916811309807
85,-5346.889704816577
86,-4803.11755628558
87,-6765.03192621541
88,-7999.998103309852
89,-7999.99820459364
90,-7999.998038623834
91,-7999.997295668549
92,-8034.890006646096
93,-8357.323024497731
94,-8225.401860405922
95,-7999.998004753083
96,-8567.224645697659
97,-6978.823558318392
98,-7055.95083717153
99,-7058.862405407377
100,-7311.440192916858
101,-7286.004356992215
102,-7285.87531230305
103,-7822.902412227846
104,-6835.124683428426
105,-6058.754885483163
106,-6165.238336468267
107,-5528.271293863883
108,-5644.758864796271
109,-5727.185180380104
110,-6772.976200511737
111,-7712.966084388355
112,-7915.92856145454
113,-7997.724149578612
114,-7978.608750878473
115,-7494.587703349831
116,-6921.1403201621515
117,-6973.952274958473
118,-6965.837400533671
119,-7108.520101513397
120,-7081.707908586351
121,-6684.012539955977
122,-6764.187368615684
123,-6937.905506470763
124,-7045.339724700807
125,-7075.917402284576
126,-7064.46824500597
127,-6437.732409651906
128,-6413.53525974872
129,-6366.345396127538
130,-6050.567182799628
131,-6121.460248079608
132,-6316.126293069856
133,-6418.431643950266
134,-6248.306217076113
135,-6288.430613964527
136,-6291.514038639729
137,-6324.315321702556
138,-6183.928407235541
139,-6176.884410186581
140,-6299.673115031321
141,-6249.804084174767
142,-6601.449826261742
143,-6728.015318960057
144,-6758.0045190304345
145,-6754.354736362597
146,-6466.526869885063
147,-6406.976173295695
148,-6357.714146276713
149,-6480.288533629904
150,-6539.554347975345
151,-6218.986539882579
152,-6254.588696285501
153,-4138.30101862359
154,-3956.9941798331724
155,-4264.478494369416
156,-4474.797801953365
157,-4320.665868714863
158,-4370.04345045535
159,-6559.448676454709
160,-6666.835677761081
161,-7999.989994294052
162,-7412.930006910431
163,-7999.981347454002
164,-7999.9878290756715
165,-7999.993981573144
166,-7999.99517260027
167,-7095.043862545253
168,-6558.96234570192
169,-6392.698512184029
170,-6150.043060296564
171,-6356.115120516715
172,-6734.083385544859
173,-7644.18408194097
174,-7585.674634479483
175,-7719.461409610991
176,-7480.797257337446
177,-6299.9968792788195
178,-4318.448418568033
179,-4064.626068262376
180,-4109.222554585847
181,-4888.840647787214
182,-6364.133192410458
183,-6200.715331992902
184,-7580.6612025823815
185,-7609.225093812881
186,-7642.822230410297
187,-7760.1305540012445
188,-7879.152586106964
189,-7980.14642406684
190,-7997.034096775769
191,-7761.936495051993
192,-7177.383936590318
193,-7139.629065875011
194,-7117.87364588477
195,-7206.649872352468
196,-7263.248446315874
197,-7277.224170236374
198,-7325.1568216662645
199,-7217.374747069142
200,-6299.93790946553
201,-4544.358502420809
202,-4250.850416012193
203,-3987.157686428192
204,-4124.61261749234
205,-4606.167762640706
206,-4813.9215420033315
207,-6137.8005825167775
208,-7557.201983855492
209,-7834.177837788811
210,-7761.934520824527
211,-7896.9647449461945
