Month,Switzerland,Germany,Italy,France,Austria
1,67.58063847285523,88.82623716041806,66.27239298059254,39.80657704910921,78.7440291551055
2,57.90777301083925,75.8259804383342,59.425536479435095,30.687259764178616,52.994197753919586
3,28.741401693883795,34.9637782553389,29.333149898546704,19.60389549915478,28.509369691592724
4,14.353246909998198,15.229565167486042,14.72999253702786,14.081611433927431,12.324825451201988
5,10.890565426629271,10.897575085663462,11.91708343817986,11.813064570109095,10.551722479930232
6,10.75841797876443,10.62439882139199,12.407683764302504,12.311615661914754,11.139607321361146
7,10.886605591526177,11.52016433368655,12.971009013310153,11.467303800923998,11.32496836751542
8,13.734429417109077,13.524261584964819,15.61303985075298,13.916703319579524,12.984464841024389
9,20.20355982349815,19.784193482791196,21.706412994280697,18.910589377995663,20.20691029749532
10,39.748726306008365,53.504845772154475,40.758084964125004,22.80909801756538,48.71751037348313
11,56.2404502717922,63.49582013672846,58.22811708541397,33.08796985619697,66.25097355730753
12,67.29881726755545,104.69932632199219,60.7385734290997,27.568586556949388,92.49731237905335
