Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623434883067464,0.5454874760695888,2.189953880655986,2.1899544615474458
DSM (Up),-0.7623434883067464,-0.5454874760695888,-2.189953880655986,-2.1899544615474373
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931684877729734,0.1900140284328676,2.2871576527228537e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.4227885646362045
Gas CC-Syn,0.0,0.0,0.0,0.0034603328782647387
Gas Other,7.978156658115798e-05,3.580423814678603e-06,1.1912285917898502e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.3351966284066261,2.4512343475917797,3.8269854792142977,4.07121562280756
HP Shift (Up),-1.02532379198324,-2.0754851926981552,-3.4027498325975585,-3.6919356746579566
Hydro Dam,18.067268601375577,18.071793003071477,17.660718323875358,17.981551008732733
Hydro RoR,17.280823169973658,17.960633426558818,19.26592424341934,19.428956308866006
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,3.468883531115605e-07,4.590880786301291e-07,2.070894992724435e-07,2.1652886247496027e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.941263762806727,14.490730266737817,4.998089980813417,0.0
Oil,1.396512726813059e-06,5.39219905344918e-07,2.1824892803186336e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7444983316727423,6.819873348899104,6.830246660661622
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986401506919115,19.21361522589616,29.56701874210768,32.138423944171
Pump,2.9700044694606262,4.77095706966726,7.022214688744795,7.725691846872904
Pump (Load),-0.07288709230901404,-1.5459785943714952,-3.3939688145505236,-4.179507012400219
Waste,1.7269168646689623,0.45733392567755915,0.08260377346942036,0.9688899453258516
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760473988235332,3.096575530246467,3.0903677675053314,3.072542530912823
Exports,-46.67869964173138,-59.2583590436585,-59.9010375611668,-56.666396299738715
Imports,47.254399398357464,42.5583350745929,43.31796756541581,43.75698410022222
Imports (Net),0.5756997566260896,-16.7000239690656,-16.583069995750982,-12.909412199516503
Load (Net),58.65393522242574,38.07120710318463,29.476749380487885,29.821697965254547
Load (Total),61.440180113,63.125896191,68.954009239,71.86291110100001
