Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,994045779.3168426,610257878.5488623,374645399.7188134
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481892432.01806635,295840150.7968802
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,51118964.072791
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946193704.0,488548567.18041736,170555229.4876643,82924533.6681533
Fixed Operation,0.0,540558161.6669582,457642999.368556,251836863.7346897
Trading,-65933828.99046439,-455689185.16446865,-114560226.55303004,-13232876.90127305
