,0
0,-6846.182963204997
1,-7031.168013515688
2,-7056.549052252205
3,-7312.501483343952
4,-7434.397409989908
5,-7364.1371258991385
6,-7480.499461469389
7,-7510.173590379407
8,-7617.650044182727
9,-6073.366641267306
10,-5878.448708811248
11,-5933.578485333219
12,-6093.3995612967365
13,-5461.6036536554175
14,-5669.803427843705
15,-7258.552309251189
16,-6692.6720396843775
17,-6666.891340809007
18,-6793.880850568907
19,-7096.562600492734
20,-7318.5219255891525
21,-7388.809959483333
22,-6865.047671995497
23,-6985.90134030972
24,-7103.822037292576
25,-7157.634319989741
26,-7178.613199495481
27,-7377.254330506778
28,-7588.332286288152
29,-7696.663648349206
30,-7835.9929148938045
31,-7898.710247786495
32,-7872.189887042972
33,-7813.726585161989
34,-6283.141596877563
35,-6299.998554000268
36,-7608.609329124053
37,-7792.124785706505
38,-7670.395701252823
39,-7548.1223465886305
40,-7354.3801021623085
41,-7210.330683461742
42,-7483.843829451406
43,-7451.884764495038
44,-7551.090904393847
45,-7198.21370445042
46,-7129.625027190071
47,-7160.928897866621
48,-6635.919982695247
49,-6561.081640878858
50,-6736.787852232333
51,-6637.618363902784
52,-6642.968102619139
53,-6694.8897744937385
54,-6645.968626466582
55,-6570.61575088454
56,-6467.9471047403895
57,-4272.721832959995
58,-4661.762806993448
59,-4420.700585646718
60,-4201.74057131996
61,-4687.456525565217
62,-6438.918278483038
63,-6485.543560672949
64,-7687.516078622273
65,-6597.062200948244
66,-6513.727248214662
67,-6464.022824838256
68,-6759.2707637631265
69,-7045.057274430592
70,-6915.1011484063365
71,-6682.036698716664
72,-6528.716061774695
73,-6871.759227389417
74,-7019.245368230059
75,-7111.032356609252
76,-7248.243122763675
77,-7271.956426916394
78,-7322.027635908771
79,-6936.966984940007
80,-4699.939510940565
81,-4854.124782774201
82,-5218.547430687008
83,-6782.666911976123
84,-6529.486611789049
85,-5642.411861796707
86,-4913.923615559143
87,-7002.04636281874
88,-7214.072850679
89,-7378.143267418747
90,-7360.598881246224
91,-7101.379986820851
92,-7698.306346148052
93,-7173.457893489472
94,-7438.029197512915
95,-7499.94644831023
96,-8317.653151930781
97,-7185.862402406743
98,-7417.491032901913
99,-7408.777155493727
100,-7492.816856163086
101,-7464.253470675278
102,-7654.9645624003815
103,-7439.773087695755
104,-6709.344293160699
105,-5919.983336766365
106,-6156.0535999557505
107,-6061.9157934615505
108,-6671.716539550132
109,-5945.117651212988
110,-7033.748531553253
111,-7348.223013150513
112,-7398.922827090295
113,-7614.10957981781
114,-7559.933334949626
115,-6651.045368201341
116,-6707.279244502807
117,-6495.496036519896
118,-6753.972662879465
119,-6992.837590681756
120,-6813.271282047804
121,-6427.5491884569
122,-6484.935730976137
123,-6633.8931347734215
124,-6739.710738109035
125,-6790.357090975547
126,-6780.056862956715
127,-6356.161583310777
128,-6494.696033406468
129,-6418.917249732898
130,-6222.944806976372
131,-6253.893491962516
132,-6444.616002999937
133,-6505.471142388345
134,-6365.286204979283
135,-6476.08137738535
136,-6517.98447020717
137,-6491.601355948231
138,-6364.840489107796
139,-6198.836570497137
140,-6278.255540756288
141,-6353.733770387035
142,-6511.012567859057
143,-6560.004654820764
144,-6527.510084945962
145,-6478.208512489785
146,-6307.281040191542
147,-6463.545078189765
148,-6409.822282101668
149,-6491.619148087466
150,-6566.874117680421
151,-6185.680353140722
152,-6206.374937114606
153,-4184.127759188608
154,-4203.251855104643
155,-4413.279586985717
156,-4464.79431284058
157,-4393.540876207349
158,-4505.0816811475215
159,-6375.215060900659
160,-6498.693622063027
161,-7137.159185111033
162,-6879.271452539374
163,-6869.092985941437
164,-7071.303697048714
165,-7616.337829744614
166,-7753.540520366265
167,-6798.816073085876
168,-6617.679589627146
169,-6394.870351487255
170,-6691.629396580512
171,-6358.7352433408105
172,-7244.351806875108
173,-7757.956509741609
174,-7669.599038261546
175,-7634.494071496074
176,-7419.433450858094
177,-6299.97753552701
178,-4429.74828160402
179,-4157.501624559775
180,-4192.289138176847
181,-5444.2934049007035
182,-6569.631780436921
183,-6397.631406045745
184,-7101.405662370134
185,-6939.094572217644
186,-6911.40090618201
187,-6986.711936420059
188,-7292.523208989342
189,-7475.980411604127
190,-7586.09030000084
191,-7622.793005348885
192,-7249.134938532464
193,-7280.713691997474
194,-7276.772418104966
195,-7372.890407677318
196,-7450.6075101035785
197,-7477.4798414366405
198,-7535.005019818451
199,-7420.3061912293515
200,-6103.482308481679
201,-4583.047692123667
202,-4439.2471691950395
203,-4224.524159759279
204,-4378.877468405643
205,-4692.778016652574
206,-4824.199770245462
207,-6258.01107392409
208,-7212.372668748604
209,-7218.887463251843
210,-7377.523666660757
211,-7664.782862514382
212,-7079.034449649871
213,-7360.009191011456
214,-7501.633866045953
215,-7643.429179171425
216,-7581.341281094436
217,-7658.1014295913255
218,-7705.330728792795
219,-7765.804745878759
220,-7838.802108366208
221,-7972.917899253003
222,-7999.9595218394925
223,-7490.887717925563
224,-6983.467155803863
225,-6211.976067524054
226,-4514.641347673111
227,-4421.210610997731
228,-4393.63284718318
229,-4327.1408166905485
230,-4408.055159455205
231,-6828.128782730837
232,-6930.963511373442
233,-6805.189025031226
234,-6584.038220296657
235,-6250.664410367062
236,-6241.088635696483
237,-6901.326396423565
238,-7034.804413864649
239,-6994.588142952366
240,-4117.1096325771905
241,-4164.534645724668
242,-4190.527868317126
243,-4211.35932197534
244,-4337.832724266672
245,-4328.669383740168
246,-5015.498611800569
247,-5944.6387698654535
248,-3599.143612318957
249,-3732.654866763758
250,-4597.706306405746
251,-5123.500665983691
252,-5300.969535638312
253,-5203.188801650921
254,-5646.590387148577
255,-4086.3168215008855
256,-3793.7144388210313
257,-3772.179116045346
258,-3634.5964025072167
259,-3530.1356693343732
260,-3637.716793768625
261,-3741.4813307552045
262,-3912.8403179693682
263,-4029.039355660805
264,-3150.555695323491
265,-3188.7148692810015
266,-3211.9320948304457
267,-3241.309150196928
268,-3259.393671041095
269,-3291.622929930169
270,-3281.688295589758
271,-3110.780809753446
272,-3329.2096189025397
273,-4200.568852473094
274,-4538.279515697907
275,-4496.967212495683
276,-4645.071038200274
277,-4595.777906742571
278,-4585.145656547962
279,-3885.2109951919742
280,-3352.4602910929234
281,-3412.8422067626134
282,-3544.8101936527846
283,-3671.4275417773224
284,-3498.1236921299255
285,-3892.603261392787
286,-4394.54831630699
287,-4500.732148068344
288,-3800.4064315970404
289,-3859.435531395802
290,-3868.7397405739134
291,-3906.337137651449
292,-4093.4489941882794
293,-4383.584480440961
294,-4414.7620088569
295,-3761.8922232886302
296,-1699.9990730435948
297,-3942.106738943336
298,-4627.518041247993
299,-5975.250238274577
300,-7631.561497505446
301,-6690.455319394581
302,-4979.856027899905
303,-4631.0946867961175
304,-3783.762627330604
305,-3641.165500120048
306,-3788.744062284258
307,-3815.3952962760386
308,-3893.8461744456517
309,-3828.622001807451
310,-3576.3352859853967
311,-3597.4997137913097
312,-6552.552198025465
313,-6525.505452490228
314,-6584.829784008611
315,-6543.987269353022
316,-6639.6017562456245
317,-6417.896101485769
318,-6770.764272874843
319,-6604.81885809188
320,-6614.63643100762
321,-6731.207907048704
322,-6611.263255923306
323,-6921.034108958132
324,-6874.097430554755
325,-7201.9004234802
326,-6799.451513279807
327,-6622.583477016041
328,-6455.425139776777
329,-6408.682631712632
330,-6241.249532391055
331,-6249.296057196425
332,-6336.4946337405345
333,-6314.9540081995865
334,-6774.784797734149
335,-6819.64274327201
336,-6552.064840263174
337,-6332.667925940617
338,-6442.182997072661
339,-6519.61160489144
340,-6451.143675984102
341,-6496.865922023664
342,-6590.270509618374
343,-6360.900826132974
344,-6412.273887632134
345,-6374.314004119984
346,-5676.829835783993
347,-5169.364655165738
348,-6167.9096429513365
349,-7729.342166028778
350,-8433.80151849736
351,-6615.068016162149
352,-7518.735468551307
