Month,Switzerland,Germany,Italy,France,Austria
1,67.92152256748467,88.84046810864155,66.25676507679869,40.01560874460702,78.82595255782542
2,58.747128542126674,75.89323406312334,59.54302733644034,30.78516600771447,53.08879697987948
3,28.875407398646338,35.13083857009141,29.444067219668483,19.575236825169146,28.54807687126756
4,14.350551141488932,15.263855591736034,14.924278703596487,14.108094839245172,12.391525466589405
5,10.847878926007715,10.92951183425865,12.028234921408714,11.788559340642431,10.591951107829184
6,10.80911031508429,10.638037612915863,12.495546035164743,12.333593809192045,11.16732798094493
7,10.885812768235754,11.538019535448576,12.989171809365327,11.47290510436579,11.344359359146592
8,13.701482746699712,13.538994659760794,15.628408422802254,13.92761174628876,12.995533079090201
9,20.18793201849815,19.80360419409537,21.737757386770483,18.92668110003736,20.232230693573637
10,40.04177471256203,53.66513872079579,41.090521296658494,23.074545986429825,49.02938854594234
11,56.93299653568786,63.60718832344953,58.49233352764202,33.12544625619674,66.66171173775851
12,68.33605526107227,104.79223765446129,60.912479574278905,27.68845366506336,92.84138135968773
