Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012054514849559729,-0.06901149719160107,0.0,0.0,0.0,0.05345976977236151,0.0,0.0,0.0,0.0,0.0,0.0,5.3961484784004945,1.3211096641837627,0.0,0.0,0.0,6.708689667935048e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5641526707968403,-6.8970270476114e-06,0.2269856384471299,0.0,0.7995195364998572,-6.846182963204996,6.667183280495073,-0.17899968270992395,8.325892463500143,9.125412
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012685208344658578,-0.035775769477801714,0.0,0.0,0.0,0.1069192477654878,0.0,0.0,0.0,0.0,0.0,0.0,5.414605061539443,1.3211096136034295,0.0,0.0,0.0,6.781902693064661e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5612468470316245,-7.1962777818991e-06,0.2254858098628751,0.0,0.5781995648058257,-7.031168013515687,6.745029820604623,-0.28613819291106485,8.320130435194176,8.898330000000001
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02409539173453133,-0.04520710478999794,0.0,0.0,0.0,0.1349995798262788,0.0,0.0,0.0,0.0,0.0,0.0,5.356115304795868,1.321109655653177,0.0,0.0,0.0,6.726449720755812e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5589760587074801,-7.0266275464986e-06,0.22398643107890875,0.0,0.9563095484209828,-7.056549052252205,6.339049408198767,-0.7174996440534378,7.856568451579018,8.812878000000001
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15115431001872404,-0.0008156152148421724,0.0,0.0,0.0,0.1349995776355846,0.0,0.0,0.0,0.0,0.0,0.0,5.285795646086674,1.321109657637474,0.0,0.0,0.0,6.683726410882555e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5560695814554821,-6.9796110234146005e-06,0.22388627557068666,0.0,0.6024794136594573,-7.312501483343952,6.522532812879702,-0.7899686704642499,7.882223586340542,8.484703
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09191201019223784,-0.026269121541588607,0.0,0.0,0.0,0.1349995705957087,0.0,0.0,0.0,0.0,0.0,0.0,5.232271683742635,1.3211096388336356,0.0,0.0,0.0,6.654848900951036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.552823165862676,-7.0048109466565996e-06,0.2238862524479576,0.0,0.5297595073493679,-7.4343974099899075,6.472811904179188,-0.96158550581072,7.569140492650632,8.0989
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010523368356511688,-0.16372983765402438,0.0,0.0,0.0,0.134999569187776,0.0,0.0,0.0,0.0,0.0,0.0,5.148354967278382,1.321109599612609,0.0,0.0,0.0,6.598904088510448e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.552578797991092,-7.092313977190899e-06,0.2238861086060794,0.0,0.5557594211924537,-7.364137125899138,6.4640024510274205,-0.9001346748717169,7.3181095788075465,7.873869
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013012581896443929,-0.07302280800466537,0.0,0.0,0.0,0.1349995693610547,0.0,0.0,0.0,0.0,0.0,0.0,5.117535676667033,1.3211096022089628,0.0,0.0,0.0,6.596378616836811e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5485593193643867,-7.0973567319126e-06,0.2238861970629116,0.0,0.6802895132188448,-7.480499461469389,6.239872425956722,-1.2406270355126663,7.033734486781154,7.714023999999999
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03138701334292121,-0.055547770255988234,0.0,0.0,0.0,0.13499956936115068,0.0,0.0,0.0,0.0,0.0,0.0,5.127981048284935,1.321109609143915,0.0,0.0,0.0,6.610718406079807e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.549329592516629,-7.1079035929855e-06,0.22388625942912405,0.0,0.5007395295836597,-7.510173590379407,6.411729041153497,-1.09844454922591,7.23469347041634,7.735432999999999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002448528981050218,-0.0883932303849392,0.0,0.0,0.0,0.13499956435292942,0.0,0.0,0.0,0.0,0.0,0.0,4.9785823686355615,1.3211095623212403,0.0,0.0,0.0,6.476206005372562e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41966894944366206,0.0,0.0,0.0,0.3217344482431938,1.5401806325035476,-7.1704454900413e-06,0.2238862717677807,0.0,0.4053997418020893,-7.617650044182726,6.415888656443532,-1.2017613877391942,6.911044860511056,8.057848000000002
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06699015918654226,-0.3148084750149315,0.0,0.0,0.0,0.13499961015020712,0.0,0.0,0.0,0.0,0.0,0.0,2.910183144278819,1.3211088758759448,0.0,0.0,0.0,6.457291633188918e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.536568891752287,0.0,0.0,0.0,1.7254841859891064,0.5607135246073188,-1.08024417575984e-05,0.22388153907198807,0.0,0.35942965912133523,-6.073366641267306,6.092933632349892,0.019566991082586357,4.922624263137274,8.544107000000002
