Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,993362696.4570254,609838524.927954,374387952.9730175
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,482373966.22266114,296135771.0271141
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,49058015.95575613
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944925618.0,489000579.8446476,171483897.23392683,82657127.04870255
Fixed Operation,0.0,540183137.4082015,457643194.59730816,251046250.9260493
Trading,-44363513.65370089,-435383723.60280865,-102272818.25881606,-2954591.0495374026
