,0
0,-6042.785345439798
1,-6251.277475629132
2,-6145.924399103126
3,-6377.606169395631
4,-6456.761821353902
5,-6471.921628279048
6,-6424.702956816553
7,-6790.888327469536
8,-7506.8046181433365
9,-5877.895930562479
10,-5698.606580876447
11,-5712.735247935476
12,-5902.124874557774
13,-4830.557260922139
14,-5411.681739505687
15,-7355.223924658998
16,-7088.279570953522
17,-7046.422391256661
18,-7351.761235730991
19,-7745.927789996478
20,-7937.715834043471
21,-7940.007161904543
22,-6977.471158564008
23,-7207.916808168038
24,-6649.5262721039535
25,-6775.876794248464
26,-6774.312472157816
27,-6862.224170866823
28,-6970.594562033886
29,-7029.999051871784
30,-7235.696097038293
31,-7614.894050467505
32,-7971.72855251883
33,-7380.885636786399
34,-5265.766619904089
35,-6299.995707175569
36,-7042.041649247796
37,-6993.990993538256
38,-6971.764433320397
39,-7727.636125320434
40,-7772.047699414107
41,-7811.066908173516
42,-7999.885455282665
43,-7999.930302102064
44,-7999.977929385418
45,-7687.533165554445
46,-7665.326096271929
47,-7569.290867045772
48,-6970.829607710948
49,-6231.621562890667
50,-6413.056252158055
51,-6318.727323196565
52,-6308.397379763176
53,-6366.470165229533
54,-6331.417606696224
55,-6846.347654435457
56,-6534.918312035522
57,-4008.739734297957
58,-4316.161283087118
59,-4079.016739119446
60,-3921.994573936273
61,-4376.877586990099
62,-6069.392026244677
63,-6143.312440177049
64,-7999.998227431408
65,-7487.744651069956
66,-7417.133990802193
67,-7411.446201550765
68,-7647.359561390044
69,-7664.602310507056
70,-7692.539478081476
71,-6504.55902439835
72,-6025.708065816768
73,-6125.229984984548
74,-6486.35719262649
75,-6425.637831582257
76,-6388.098511646311
77,-6375.112604684206
78,-6546.217292684487
79,-6353.562240608961
80,-4850.304337419959
81,-4686.069201624413
82,-4649.450586007364
83,-5648.076466402161
84,-5246.885113468803
85,-4990.538296310894
86,-4476.557632277246
87,-6493.0765137896215
88,-7997.979387487901
89,-7999.939610457251
90,-7999.966501963923
91,-7999.194504238663
92,-7999.901674575809
93,-8171.882186217369
94,-8169.086991614204
95,-7977.681516877117
96,-8537.345064484198
97,-6280.390152256547
98,-6376.453600144532
99,-6343.599867639094
100,-6554.375338240342
101,-7071.176744185758
102,-7678.059279681485
103,-7773.184940362214
104,-6150.438712290233
105,-5501.906622142347
106,-5545.135148571787
107,-5303.16909858811
108,-5255.391251615225
109,-5247.7442725042365
110,-6415.871233768601
111,-7776.084752273438
112,-7827.455162295542
113,-7883.983619270033
114,-7854.619552345519
115,-7165.843969345714
116,-6790.680894516519
117,-6054.220567609749
118,-6065.056006237804
119,-6381.16037556677
120,-7048.192454669317
121,-6613.791700328855
122,-6725.137167441882
123,-6907.863013277022
124,-7018.583849555898
125,-7084.107165395423
126,-7070.3835053397725
127,-6583.699459190994
128,-6501.8390127305765
129,-6245.892291275108
130,-5963.391317799509
131,-5958.587124104526
132,-6031.884069889896
133,-6140.346481377396
134,-5972.327459510716
135,-6105.089133013536
136,-6081.798384692911
137,-6149.232253224725
138,-6022.119413210233
139,-6149.341501307253
140,-6273.000542284216
141,-6204.264443422873
142,-6314.065339701153
143,-6431.788676534585
144,-6685.421511921549
145,-6682.130674909307
146,-6359.188449512254
147,-6059.664984279179
148,-5998.842628456803
149,-6175.309264912091
150,-6205.965192450341
151,-5986.389476364323
152,-6099.300761980425
153,-4085.137535818373
154,-3770.489326725803
155,-4009.6420506613626
156,-4103.839504969905
157,-4193.40853079125
158,-4468.693043052905
159,-6388.921944372454
160,-6691.459683158658
161,-7617.508832793478
162,-7426.958131657291
163,-7849.911092386135
164,-7898.477548923348
165,-7999.992477294949
166,-7999.993910441676
167,-7095.039122636405
168,-5727.56193139598
169,-5626.003412098421
170,-5526.27473142842
171,-5990.387843053368
172,-7006.656136385901
173,-7009.272020221572
174,-6940.199395415508
175,-7316.902576779957
176,-7360.656378192524
177,-6234.178067304039
178,-4335.9340425323835
179,-3868.0083547301833
180,-3913.7068321532042
181,-4562.867951139509
182,-6234.036403761008
183,-6125.082230465667
184,-6703.553002214978
185,-7097.622403223253
186,-7437.8069309372895
187,-7577.287036650888
188,-7718.314416952299
189,-7969.324266807366
190,-7998.059793696331
191,-7520.273249193624
192,-6614.888906201955
193,-6550.648768619993
194,-6502.51201775715
195,-6571.927340687532
196,-6611.898743305958
197,-6619.297675680222
198,-6657.163155904972
199,-6826.553074165266
200,-6299.987964816361
201,-4375.104163060028
202,-4119.345497542071
203,-3840.9082444689034
204,-4056.369294323153
205,-4429.995162894177
206,-4235.534925154474
207,-5934.987891223123
208,-6322.263244292746
209,-6905.1699752668155
210,-7100.684103796269
211,-7411.417946589752
212,-7652.221044248634
213,-7942.386486213818
214,-7999.882449919055
215,-7999.973154502268
216,-6769.016937582303
217,-7004.482521343531
218,-7501.652874404401
219,-7775.9346920898915
220,-7999.858229320762
221,-7999.972277895833
222,-7999.987005626561
223,-7999.956046757528
224,-7440.379556739157
225,-5198.939583689932
226,-4285.793446042097
227,-4152.35648730754
228,-4127.102258122593
229,-4062.882431964776
230,-4106.278220260097
231,-6126.329403008171
232,-6272.984406094344
233,-6130.204906852999
234,-5974.124342977694
235,-6303.4567391176915
236,-5937.734862519481
237,-6283.580791317479
238,-6669.042743691112
