Month,Switzerland,Germany,Italy,France,Austria
1,68.93048802788638,88.84236535156087,66.34986619999722,40.10752338481426,78.86829461202605
2,59.78152483845334,76.00350396026936,59.86485928898271,31.05645101517067,53.17466233771504
3,29.618443298317207,36.23915560419592,30.012813536432354,19.88027996462181,29.137891108843494
4,14.742422504411186,15.291031735315856,14.931488869815302,14.229965786987458,12.401379955333093
5,11.111963647412106,10.93454595590901,11.991830225534112,11.88741176036324,10.607925097058587
6,10.802412308348064,10.63463040123863,12.445276373897599,12.323504569455375,11.156755128234396
7,10.93351504598724,11.532368693515913,12.984089356758767,11.473841499860978,11.342221434581434
8,13.806180095481666,13.541174906244077,15.628204337914571,13.924782875992507,13.001086265624664
9,20.352913808125543,19.91659205144644,21.821178027393678,19.003155089197275,20.330552766364267
10,40.53963396754186,54.034371873651075,41.61813378252403,23.193182158585188,49.66574881969846
11,58.03988893909231,64.25402928785124,59.0832839594874,33.59038802997022,67.48594592385228
12,69.85053468344663,106.13782371961871,61.3742650210781,28.174302113694285,94.22072198547018
