Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623254088789029,0.54531437000149,2.189966365439968,2.189957706731787
DSM (Up),-0.7623254088789029,-0.5453143700014899,-2.1899663654399677,-2.1899577067317804
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931621408286613,0.19243372397217126,1.2871472935823926e-06,0.0
Gas CC-CCS,0.0,0.0,0.036081137737289035,0.50655831772232
Gas CC-Syn,0.0,0.0,0.0,0.00781606072253288
Gas Other,8.745611254165477e-05,1.6694848357907434e-06,6.234945860523354e-07,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.334362308919664,3.233222792412782,5.739831586430836,6.2416228650746985
HP Shift (Up),-1.024490027650437,-2.7228267083534483,-5.0876410180492835,-5.645460894703812
Hydro Dam,18.067255168490195,18.07343709161359,17.676017415485852,17.987262495019117
Hydro RoR,17.28081190629767,17.961206692428647,19.27387597437629,19.437965540996316
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,3.735533795375983e-07,1.801041701599309e-07,6.269898224658474e-08,1.0175149838674852e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.941208619907037,14.512481736021723,5.014166498249128,0.0
Oil,1.5687302955269163e-06,2.2062002755688244e-07,9.537854044460527e-08,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.740161903658994,6.834221596828282,6.847779740988056
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598637777516859,19.214038705465583,29.657643609015107,32.26637520166329
Pump,2.9699998848182756,4.7740716461372,6.855671810700844,7.59115024116514
Pump (Load),-0.07288757924749674,-1.5444946162201076,-3.1904557369814577,-4.010648437784406
Waste,1.7269005949408784,0.4622212246266482,0.08816340255119849,0.9750460411345594
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760433478581534,3.0965973381166703,3.0911088125987076,3.0715045936590726
Exports,-46.68188569565916,-57.962480940469916,-58.32405668215475,-55.29361354125125
Imports,47.25768792601671,43.20059241582156,45.10732506801596,45.98716764426684
Imports (Net),0.5758022303575498,-14.761888524648358,-13.216731614138792,-9.3064458969844
Load (Net),58.65393741069732,40.179865173758756,33.188980780557905,33.784866274689584
Load (Total),61.440179523,65.23066312099999,72.771954799,75.970525811
