Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,992282777.7986405,609175548.5508256,373980942.9883139
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,483886637.715279,297064420.1046855
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,53368357.28679957
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946191485.0,489464437.35119164,171602131.98737788,84504190.0835774
Fixed Operation,0.0,539618102.7000811,457940488.7902932,252866159.50354987
Trading,-65924804.47218484,-383509053.71536666,-63207245.30742809,23980251.261131853
