,0
0,-6426.353192040556
1,-6638.598020230224
2,-6750.8139180767175
3,-6901.83957991312
4,-7053.175712611629
5,-7139.76917290273
6,-7218.520655982377
7,-7236.697671397147
8,-7315.766290381332
9,-5944.611094835374
10,-5805.887939612341
11,-5811.950657702174
12,-6001.27385184884
13,-5303.279781299598
14,-5553.4832339165505
15,-7096.7137801727795
16,-6434.502796589617
17,-6280.047142416683
18,-6509.828630044989
19,-6784.3763789782415
20,-7095.002349121014
21,-7109.844412792488
22,-6602.489745709843
23,-6717.013041614841
24,-6832.359621707639
25,-6882.222046411583
26,-6934.231762472969
27,-7208.639372379954
28,-7384.58923702346
29,-7484.333144690607
30,-7680.449416157844
31,-7742.503421820837
32,-7742.278721161067
33,-7643.458811877343
34,-6076.335087151332
35,-6299.997102008517
36,-7506.065522128758
37,-7603.037527144505
38,-7620.017815420202
39,-7413.2051129310785
40,-7112.243580823475
41,-6990.3450851952
42,-7267.976149539225
43,-7251.894992471615
44,-7368.903971690624
45,-6945.077178336851
46,-6924.198234202807
47,-6974.7697583372665
48,-6564.216392228225
49,-6469.7421858353955
50,-6651.171295722545
51,-6540.185551261106
52,-6499.211198109528
53,-6557.447804159476
54,-6496.081548604364
55,-6467.622850653399
56,-6381.397905466258
57,-4179.941714528543
58,-4587.263591764526
59,-4346.854004338846
60,-4133.037851466158
61,-4613.336601310112
62,-6349.718266704166
63,-6230.974124699605
64,-7556.5871254893245
65,-6207.65693185843
66,-6206.677039563683
67,-6103.8257412240855
68,-6354.973997777109
69,-6358.883608826813
70,-7000.6152112522195
71,-6504.439786997082
72,-6238.571808583822
73,-6288.772369982193
74,-6645.94523635628
75,-6828.5303026474285
76,-6987.201499264237
77,-6983.566721412469
78,-7035.216300576239
79,-6639.090976500631
80,-4603.099375269919
81,-4890.34059955448
82,-5103.528897421642
83,-6341.32586026828
84,-6181.924321773049
85,-5467.227225527632
86,-4783.813098585827
87,-7057.104823097476
88,-7164.007336226483
89,-7300.495323083175
90,-7274.624227766493
91,-7064.003115814975
92,-7272.856776035531
93,-7182.601455454996
94,-7219.2819394418975
95,-7273.198804030779
96,-7914.157111182895
97,-6936.8380295655215
98,-7080.123245563389
99,-7095.897226189555
100,-7243.540159062698
101,-7176.248040787802
102,-7382.645680292306
103,-7128.18300516015
104,-6460.623887897584
105,-5733.249076839762
106,-6014.189273109534
107,-5654.867146166064
108,-5837.120723752527
109,-5706.453876870445
110,-6845.098861823493
111,-7209.749375817435
112,-6982.968382229687
113,-7174.9690858773865
114,-7035.527781573361
115,-6168.158818270621
116,-6288.501653912076
117,-6254.610818041549
118,-6547.0655618669025
119,-6755.679805574637
120,-6633.220179939157
121,-6306.637940788188
122,-6364.552768658503
123,-6512.775711729406
124,-6609.104115203592
125,-6471.209036476428
126,-6450.40369325913
127,-6345.141232516491
128,-6435.677840266531
129,-6330.451877605261
130,-6109.680510112529
131,-6212.292263407393
132,-6388.940330379116
133,-6486.261462039511
134,-6336.032840030382
135,-6361.570153668805
136,-6431.75602385206
137,-6451.129528587344
138,-6341.046005644273
139,-6335.916789448661
140,-6493.249676310798
141,-6416.980306845431
142,-6497.842086084843
143,-6545.129587299758
144,-6338.627760213119
145,-6335.301605731007
146,-6195.950856943574
147,-6409.443234038115
148,-6300.117583614017
149,-6354.764492708606
150,-6478.5687866999515
151,-6211.331043277389
152,-6197.353047555968
153,-4221.140619900716
154,-4059.367145858545
155,-4305.437877591741
156,-4512.13519217557
157,-4359.323548656812
158,-4448.376602027803
159,-6244.731847207267
160,-6460.9555232105085
161,-6745.4534964690665
162,-6625.150127392298
163,-6543.282993404422
164,-6579.675644674007
165,-7403.65401307794
166,-7629.412260660705
167,-6731.915012847187
168,-6274.733165015918
169,-6105.792414069104
170,-5832.484047440188
171,-5963.954418305182
172,-6975.314262141025
173,-7552.974016108006
174,-7417.802746180441
175,-7395.855299007206
176,-7243.935775550169
177,-6299.980459656641
178,-4398.4389811122055
179,-4097.06086170374
180,-4147.001604484151
181,-4875.884308204315
182,-6423.308311715702
183,-6301.775064514384
184,-6950.993095374702
185,-6884.492025725957
186,-6842.432476152951
187,-6856.861127769414
188,-6947.390437666247
189,-7156.928403254985
190,-7381.948649906366
191,-7404.09174723175
192,-6905.037414354376
193,-6938.628661662262
194,-6967.109922234529
195,-7071.711009024582
196,-7108.305794282995
197,-7120.891985613496
198,-7161.924914526125
