Month,Switzerland,Germany,Italy,France,Austria
1,68.8825701624924,88.85711544769407,66.34125826567427,40.52957410430646,78.95303926583631
2,60.342686577411165,76.16796462333389,59.818078581008436,31.387168091789256,53.25858317397795
3,29.93572038739698,36.3664329044241,30.17780752561014,19.85965885274682,29.293500585855366
4,14.452250111638346,15.3102837008416,14.975151901110431,14.139648552204035,12.42874213518388
5,10.956480046853827,10.966804224092565,12.079720853407501,11.803376361311608,10.62332989341011
6,10.85441479125661,10.643419587275021,12.569524335387314,12.344034663632629,11.19116723379783
7,10.90820571062972,11.550053592186115,13.004233489939756,11.478626764302783,11.356128215023928
8,13.726356009529434,13.547635287218009,15.637060788994194,13.933707768349203,13.007016233821949
9,20.577972479414544,20.222098107651107,22.138083802023218,19.239594399535665,20.628830269359984
10,40.92290184036695,54.22526101356549,42.094912079549374,23.536930233724043,49.9201327333905
11,58.47517188065524,64.23230277442177,59.170237640538744,33.67008171147205,67.64870459516268
12,68.97106092132356,106.18161869714457,61.46821587276689,28.899384544390553,94.25000815845213
