Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7640480429241928,0.54570719510421,2.189920744270026,2.1899344414350774
DSM (Up),-0.7640480429241928,-0.5457071951042076,-2.189920744270026,-2.1899344414350437
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930896335358047,0.19337815270093636,4.945799875598798e-06,0.0
Gas CC-CCS,0.0,0.0,0.07499110002067516,0.6194006293818495
Gas CC-Syn,0.0,0.0,0.0,0.00330321657851593
Gas Other,0.0001072452457222686,4.833330205540807e-06,2.5323624085602933e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.067223063273207,18.073763222619732,17.72801772193758,17.986690129247144
Hydro RoR,17.280779725227752,17.959323622617067,19.25819561405814,19.421416381760928
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,8.331258272579209e-07,4.970075381159306e-07,2.827868937588136e-07,3.1258950296392346e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.90327969341117,14.50329600192553,5.043223217810573,0.0
Oil,1.914152801288698e-06,6.633517258909244e-07,4.5491814700186924e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7315190174918706,6.792348696963154,6.799024627899524
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598630109564986,19.19043918587395,29.40949202455762,31.929914182276434
Pump,2.9736715046473488,4.943234324231827,7.123645964366412,7.893939535278477
Pump (Load),-0.07726515504363538,-1.7350776043713299,-3.515312758578862,-4.375724658790159
Waste,1.726309544601961,0.4639483760267374,0.09432232389477338,0.9817737713599839
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.187600620014493,3.096456147173841,3.0893818969350773,3.0707294676322645
Exports,-46.26900513608217,-57.30401925706422,-57.91842413839376,-55.12422095237502
Imports,47.194039094207795,43.1143978242524,45.59206588085285,46.76427975756529
Imports (Net),0.9250339581256248,-14.18962143281182,-12.326358257540925,-8.35994119480973
Load (Net),58.653948793420525,40.212248770460334,33.480732180544145,34.170857533191786
Load (Total),61.440179523,65.23066312099999,72.771954799,75.970525811
