Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007144982649177348,-0.21596409474992204,0.0,0.0,0.0,0.10919972404800236,2.161976812952e-07,0.0,0.0,0.0,0.0,0.0,5.570576424919106,1.321112597635123,0.0,0.0,0.0,3.722596869135435e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5755955404087003,-4.4642701486334e-06,0.22699295045563855,0.0,0.7995197139729187,-6.426353192040556,7.035531620138685,0.6091784280981292,9.203832286027081,10.003352000000001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065244943182850715,-0.17361390722464848,0.0,0.0,0.0,0.18839948080800392,2.119388423068e-07,0.0,0.0,0.0,0.0,0.0,5.575398860874102,1.3211125537152573,0.0,0.0,0.0,3.6790940383640613e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5726966908893187,-4.4360803950032e-06,0.22549355061430584,0.0,0.5781997116683507,-6.638598020230225,7.120940828409428,0.48234280817920355,9.198350288331648,9.776549999999999
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005388348641235572,-0.049926101354586305,0.0,0.0,0.0,0.2179996177146496,2.070317514112e-07,0.0,0.0,0.0,0.0,0.0,5.530572708197945,1.3211125828984676,0.0,0.0,0.0,3.6824472222094286e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5684944945751458,-4.3725401367935004e-06,0.22399400075971107,0.0,0.9563097142852536,-6.750813918076718,6.668310737627475,-0.08250318044924279,8.735128285714747,9.691438
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003924396757524765,-0.06102094249539349,0.0,0.0,0.0,0.21799961327500117,2.054862057438e-07,0.0,0.0,0.0,0.0,0.0,5.485979267600514,1.3211125871819278,0.0,0.0,0.0,3.669623533345866e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5670516622171364,-4.3646403584387e-06,0.22389398295151025,0.0,0.6024796113330402,-6.90183957991312,6.90694658091164,0.005107000998519652,8.764043388666959,9.366522999999999
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003369404997642957,-0.07300755592414025,0.0,0.0,0.0,0.21799961256499473,2.0529759059079999e-07,0.0,0.0,0.0,0.0,0.0,5.407406949819903,1.321112585463781,0.0,0.0,0.0,3.6523581856384845e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5635549342470516,-4.367301992748e-06,0.22389403347882894,0.0,0.5297596752782662,-7.053175712611629,6.841800255125481,-0.21137545748614775,8.452950324721735,8.98271
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031878040033793196,-0.07617172326378167,0.0,0.0,0.0,0.2179996123058241,2.050532897891e-07,0.0,0.0,0.0,0.0,0.0,5.356527383840274,1.3211125831120754,0.0,0.0,0.0,3.624284641935536e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.561255615614325,-4.3761256197094996e-06,0.22389407804249398,0.0,0.5557596190831624,-7.13976917290273,6.73524739123534,-0.4045217816673894,8.203279380916838,8.759039000000001
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018869308476476943,-0.07108814706273398,0.0,0.0,0.0,0.2179996122284747,2.04726570866e-07,0.0,0.0,0.0,0.0,0.0,5.339346952309411,1.321112581958577,0.0,0.0,0.0,3.618843038640219e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5585131842886484,-4.3906827712937e-06,0.22389411978404208,0.0,0.6802896751000435,-7.218520655982378,6.530841574597918,-0.6876790813844591,7.920964324899957,8.601254
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033028671722137026,-0.06014817233937546,0.0,0.0,0.0,0.21799961309705468,2.043716611045e-07,0.0,0.0,0.0,0.0,0.0,5.360071167543478,1.3211125865920186,0.0,0.0,0.0,3.623227876696053e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5592765620128837,-4.3947451326712e-06,0.22389416390908828,0.0,0.5007396805322141,-7.236697671397147,6.7070906082812956,-0.5296070631158518,8.125623319467785,8.626363
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008748758487498576,-0.0645726132219414,0.0,0.0,0.0,0.21799961198079656,2.026888347949e-07,0.0,0.0,0.0,0.0,0.0,5.130625873292777,1.3211125920365305,0.0,0.0,0.0,3.648469654003455e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4190095016509754,0.0,0.0,0.0,0.32173697687573005,1.551665015129712,-4.4435375122997e-06,0.22389408023824622,0.0,0.4053997671022128,-7.315766290381331,6.737712888245124,-0.5780534021362083,7.803541754371083,8.949688000000002
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11324969972071416,-0.2655166545066293,0.0,0.0,0.0,0.21799964540764916,2.145471209635e-07,0.0,0.0,0.0,0.0,0.0,3.04328434394304,1.3211123419971598,0.0,0.0,0.0,3.662903929368155e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5344494887762294,0.0,0.0,0.0,1.7254883825633893,0.7413596242735216,-5.8920269273971e-06,0.22389239266203878,0.0,0.3594298709227077,-5.944611094835374,6.354084679701285,0.4094735848659102,5.804849257737675,9.424217
