Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,991497775.5775148,608693625.2832175,373685083.9071397
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,484630684.26390874,297521200.14214057
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,51833183.45196363
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944924556.0,490280187.47901225,174248704.20819762,86562988.00998192
Fixed Operation,0.0,539196409.3697035,458016726.7486677,252341391.51658177
Trading,-44352431.05312067,-355513142.9513828,-46724118.81197347,37826950.32857023
