,0
0,-6986.14087698997
1,-7094.236806535304
2,-7142.440453940889
3,-7314.387822761559
4,-7574.573725705241
5,-7758.936625015531
6,-7803.928602096463
7,-7917.835855639309
8,-7642.28931205284
9,-6299.996994382948
10,-5690.942314081994
11,-5810.686872256832
12,-5987.027971923832
13,-5600.917066212266
14,-5960.678947426916
15,-7336.006109731173
16,-7159.0694190771355
17,-7068.63349307984
18,-7268.188388324261
19,-7750.262933048249
20,-7999.7109325237025
21,-7990.715890200795
22,-7318.795568028697
23,-7428.0396171962875
24,-7491.36887008243
25,-7517.394899431145
26,-7522.033873887423
27,-7689.348616213314
28,-7829.0681309225765
29,-7859.781766755548
30,-7781.02924414756
31,-7843.834919003899
32,-7713.875549281107
33,-7685.105784772624
34,-6244.6155298515
35,-6299.999677685446
36,-7575.912522456085
37,-7772.680923526681
38,-7687.740336559707
39,-7566.770841949608
40,-7719.001730206809
41,-7910.288339262708
42,-7999.913118179416
43,-7999.961483372577
44,-7999.957803695947
45,-7661.465514923893
46,-7635.517305676409
47,-7673.814901379616
48,-6866.5506916944505
49,-6545.339227157145
50,-6719.817248682673
51,-6626.835851222454
52,-6630.853972429317
53,-6690.140189012474
54,-6703.244248825271
55,-6761.755384673361
56,-6648.20891245352
57,-4314.620949695698
58,-4570.892914242157
59,-4503.61419168141
60,-4311.0084350649795
61,-5464.193053863578
62,-6405.811152113387
63,-6521.64593406793
64,-7999.995135156872
65,-7199.83019454709
66,-7240.094434995395
67,-7388.8150355777425
68,-7547.637465535894
69,-7459.121512969023
70,-7360.361674629343
71,-6513.495379772579
72,-6587.529774625886
73,-6766.238529633567
74,-7070.429692912225
75,-7356.140298297014
76,-7299.456313094558
77,-7289.161852572948
78,-7324.104997911169
79,-7038.305457752098
80,-5250.872138858897
81,-5146.271261025175
82,-5414.026516875259
83,-6958.072013807595
84,-6688.567313557836
85,-5594.6332452135575
86,-5338.287210930076
87,-7021.6941055398365
88,-7999.951987196582
89,-7999.980802830996
90,-7999.984978593295
91,-7380.5002683897455
92,-7836.781278816054
93,-7955.0965090025875
94,-8065.794326305163
95,-7710.271182845477
96,-8612.028440265329
97,-7241.127482277905
98,-7323.99061100678
99,-7350.213042524043
100,-7446.854165818535
101,-7419.240814635271
102,-7347.2057617064
103,-7885.043132982199
104,-7142.407234798757
105,-6289.127387197042
106,-6236.321144011022
107,-6762.9845709841275
108,-7043.109717145759
109,-6542.068703171451
110,-7042.483136536024
111,-7684.554199140335
112,-7650.254997416285
113,-7755.90534157462
114,-7765.2747128106475
115,-7276.691923335367
116,-6867.286906780895
117,-7080.154519121779
118,-7187.226175339087
119,-7219.027382861831
120,-7010.222045957313
121,-6632.150364644247
122,-6696.894608567632
123,-6865.808997359241
124,-6972.465815101896
125,-7010.277769848954
126,-6995.235237336305
127,-6351.229152188638
128,-6457.7381420770125
129,-6431.593786583962
130,-6252.527816100877
131,-6287.653574250074
132,-6467.7950139713685
133,-6536.865863678492
134,-6377.71829511234
135,-6488.906289446893
136,-6501.429799467722
137,-6483.475618785214
138,-6349.707928711309
139,-6241.7674001388
140,-6415.991603041568
141,-6500.167952350842
142,-6653.899189218749
143,-6743.936400584489
144,-6790.141469283226
145,-6782.632635379374
146,-6576.9722001181835
147,-6558.088361110055
148,-6552.112896461955
149,-6644.525107313475
150,-6745.193150097786
151,-6196.207034918613
152,-6174.227609171044
153,-4139.596640485237
154,-4202.438197478008
155,-4293.488426108113
156,-4534.334661386669
157,-4711.149794373226
158,-4676.912729175506
159,-6670.864280281848
160,-6670.5007739661405
161,-7730.034966948681
162,-7284.233024268997
163,-7898.212396802854
164,-7999.507938824
165,-7999.994649215527
166,-7999.995290693332
167,-7095.045340246165
168,-6859.940172863363
169,-6731.74298331493
170,-6544.541828421309
171,-6735.831866428557
172,-7226.578465529943
173,-7999.90186341234
174,-7966.708518864833
175,-7868.650396468661
176,-7794.086485860993
177,-6299.98815871157
178,-4464.762049025017
179,-4162.47461247837
180,-4233.253065613532
181,-6380.305046011231
182,-6565.245269564252
183,-6408.899576464606
184,-7779.337506056658
185,-7701.197887300588
186,-7785.020913265456
187,-7267.0513031297305
188,-7579.910165398811
189,-7647.655092091431
190,-7927.152911178426
191,-7821.176468443927
192,-7337.39679387178
193,-7353.762840175611
194,-7357.954195140726
195,-7441.514259656
196,-7471.643620412756
197,-7484.207329814574
198,-7521.872022009071
199,-7382.514428356312
200,-6299.996603543475
201,-4638.860910623022
202,-4411.081901178118
203,-4159.226474832006
204,-4367.727720113074
205,-4721.989730006958
206,-6035.063470485918
207,-6338.588163059441
208,-7245.843554195052
209,-7793.5084687281
210,-7773.727307039346
211,-7808.836203262113
212,-7461.068038347047
213,-7755.76318167295
214,-7999.943590423782
215,-7999.981368035927
216,-7999.968404635565
217,-7999.983714591413
218,-7999.989869528755
219,-7999.992334665692
220,-7999.993791677727
221,-7999.9948838980345
222,-7999.995052891209
223,-7974.759589128009
224,-7656.67099367638
225,-6136.729413741638
226,-4493.056105854867
227,-4384.373393067616
228,-4373.3973263327425
229,-4329.536761569663
230,-4734.440903799552
231,-6866.381401569699
232,-6939.167269865152
233,-6916.39978647003
234,-6820.323616523427
235,-7004.164386164137
236,-6808.388111963677
237,-6906.542111119716
238,-6985.591964477175
239,-7035.72926512532
240,-4373.7791338754405
241,-4392.551992981231
242,-4405.017078941676
243,-4416.412225851743
244,-4535.337308510498
245,-4518.04731674948
246,-5579.048826301525
247,-6415.174219241053
248,-3790.703703622791
249,-4254.940686807175
250,-4691.823119148309
251,-5286.768917851797
252,-5345.031001588812
253,-5181.589330705886
254,-5723.169877259672
255,-4019.310149309277
256,-3794.7538245501883
257,-3794.783579786124
258,-3676.4874782094985
259,-3594.3208549352594
260,-3738.688612882982
261,-4128.926591522981
262,-4303.085201805044
263,-4438.295668401703
264,-4109.949800420399
265,-3374.911381739798
266,-3388.7339182966966
267,-3411.212674082033
268,-3639.7135533878427
269,-4033.053351282306
270,-3776.2523453610847
271,-3312.3635544661506
272,-3487.9821021929097
273,-4366.733412544553
274,-4592.147811776875
275,-4530.544034531952
276,-4631.8244756819395
277,-4653.608539536739
278,-4591.236923885684
279,-4618.042861206985
280,-3808.9962349189755
281,-3698.7350091950875
282,-3865.505755149453
283,-4204.431580335523
284,-4578.243627557853
285,-4655.277022041182
286,-4450.6425435443725
287,-4403.025483538142
288,-4299.4481655142245
289,-4312.147276122618
290,-4340.40462114909
291,-4412.089439464256
292,-4423.836819760849
293,-4424.434758309014
294,-4526.571884461876
295,-4462.933978116001
296,-1809.5280931112788
297,-3944.2222963058866
298,-4648.640579087841
299,-6000.530523286662
300,-7749.894773679484
301,-6727.971919969274
302,-5036.130174527736
303,-4700.382647067349
304,-3851.598785328261
305,-3758.021275897642
306,-3750.960595780609
307,-4008.8100014233355
308,-4041.3633459666858
309,-4113.200559340276
310,-3604.9898340439363
311,-3728.0122554118057
312,-6729.546772752693
313,-6514.07714389329
314,-6474.843981915916
315,-6485.59358079372
316,-6666.343987956806
317,-6425.026257792507
318,-6797.535345285836
319,-6737.907218374248
320,-6781.176284387722
321,-6722.557613005687
322,-6642.135194508372
323,-6923.168844472283
324,-6848.029278493979
325,-7263.216016336019
326,-6845.503868596844
327,-6830.022468473486
328,-6627.356119719207
329,-6619.398215509991
330,-6428.619165393046
331,-6392.702667168611
332,-6377.976910951693
333,-6716.884883113959
334,-6952.122277787668
335,-6996.167524845549
336,-6563.882391545554
337,-6347.878703361625
338,-6463.869153245282
339,-6491.610174711037
340,-6468.838979529083
341,-6524.641990630944
342,-6624.28441451449
343,-6420.505992024982
344,-6633.370611333916
345,-6399.6198583417
346,-5692.694994446181
347,-5261.029985474319
348,-6305.22286299275
349,-8048.39955523971
350,-8960.77779311479
351,-6707.880023876443
352,-7999.994209430872
353,-7999.995265753268
354,-7996.564091855448
355,-7804.454288320336
356,-7999.319792467375
357,-7527.082753647239
358,-7649.319113695888
359,-7623.618777696941
360,-7405.895850305733
361,-7370.934797311803
362,-7404.235972138018
363,-7468.961076249918
364,-7601.400537774509
365,-7664.24349984285
366,-7745.255427707383
367,-7837.785430722502
368,-7440.876306032449
369,-7661.6621132656
370,-6286.908519980734
371,-6349.525149585658
372,-7142.718185057912
373,-5555.982922685719
374,-7751.367557986613
375,-7353.082821439583
376,-7792.022452514751
377,-7915.234490105688
378,-6873.258880992731
379,-7197.656817631213
380,-7431.377216541188
381,-7652.373057912489
382,-7297.571829865498
383,-7412.753688616723
384,-6054.325002561547
385,-6087.09652270243
386,-6169.358442841447
387,-6163.674940252811
388,-6490.20702412079
389,-6734.712611255739
390,-6953.852689378091
391,-6807.000688308977
392,-5720.673420329302
393,-6143.30860520768
394,-5124.044034874019
395,-5191.928293310208
396,-5256.57033870871
397,-4884.2440003046095
398,-6454.2425288735085
399,-6029.467347886486
400,-5752.31170605046
401,-5470.656478543848
402,-5542.645903739854
403,-5349.227451161114
404,-5332.3289005311835
405,-5570.605485197439
406,-5906.299252744191
407,-3844.1078312815134
408,-4803.870093191343
409,-4063.969803633199
410,-3512.1744293470256
411,-3615.711920449464
412,-3791.005228432306
413,-3806.153666145082
414,-4157.480476103644
415,-3773.807639542534
416,-3454.284637317385
417,-4762.718576270288
418,-5239.3103613117855
419,-5450.887609395605
420,-4888.917961185336
421,-4684.105411056737
422,-4287.247265996582
423,-4422.472138397991
424,-3361.582245091486
425,-3156.482645468361
426,-4260.425816482828
427,-4247.932304476518
428,-4185.406791812339
429,-2879.6764013880734
430,-2770.951934500053
431,-2965.4462071285334
432,-3489.1926389918517
433,-2901.2732570705966
