Month,Switzerland,Germany,Italy,France,Austria
1,66.85839917400868,88.80037791731522,66.20675201179841,39.65510007019876,78.68580542380738
2,56.86033633580983,75.6450198181291,58.84548235415756,30.335105135329258,52.68334581754601
3,26.786308697248902,32.574959754760684,27.23900760464834,19.32188860360923,26.806433422637582
4,13.894733459913406,14.937755289898645,14.38863022220757,13.859893576067536,12.070134537892859
5,10.683544476350894,10.855761083142333,11.845465965694633,11.764019501755705,10.498487669608437
6,10.705608093812733,10.614313447500397,12.366843795091356,12.296351764081454,11.122086833114869
7,10.841327166483977,11.511167687983926,12.956374314691637,11.464831332778916,11.310936077026346
8,13.677482397144631,13.510399112949694,15.599724784078962,13.9124996215404,12.971155384476768
9,20.14014882568106,19.738615803580306,21.67111261689831,18.88493803326047,20.164353316193328
10,38.96970093896574,53.14496145074128,39.82785441507954,22.60490179853392,48.04844767017054
11,54.16306355894446,62.580941392717605,56.73725048043688,32.21460137304029,65.07068283099088
12,67.55245425754312,103.69588237574197,60.10693314059397,26.595766604203856,91.22247259898306
