Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623254145309634,0.5458737399572662,2.1899751307840223,2.189972328659946
DSM (Up),-0.7623254145309634,-0.5458737399572662,-2.1899751307840223,-2.1899723286599335
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931621434798168,0.18777900634082637,1.747061230169533e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.09348992358883665
Gas CC-Syn,0.0,0.0,0.0,0.00012885562369502308
Gas Other,8.745162506842454e-05,2.1313079058433285e-06,9.138251171580809e-07,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.334362750646407,1.9797327040996784,2.0795086713094304,1.89312813182405
HP Shift (Up),-1.0244905990389899,-1.6818192911811731,-1.8618396662161518,-1.731505231200072
Hydro Dam,18.06725517443481,18.071930543721137,17.644475082436486,17.9796948631695
Hydro RoR,17.28081191156651,17.959990436425187,19.25610520206451,19.41561874896582
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,3.735340398756993e-07,2.815509664197897e-07,1.3005063280144695e-07,8.433133496907121e-08
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.941208594100257,14.485720006273331,4.934771652978581,0.0
Oil,1.5686540210808388e-06,3.057200079309163e-07,1.7058050047324824e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7467687513662775,6.822863110745686,6.827910798492183
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598637778642433,19.209156917937445,29.44684255333602,31.94262012471626
Pump,2.969999891337909,4.800616735100009,7.150760145592601,7.856161676166848
Pump (Load),-0.0728875838424858,-1.584436392561346,-3.5456873883902467,-4.346131446236118
Waste,1.7269006033658902,0.4539548185613581,0.0676714137745831,0.9528592521953161
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.1876043350401829,3.0965471590296514,3.0899024484033655,3.0716910329010325
Exports,-46.68188601139351,-59.70495503915826,-61.371020160853405,-57.96737418743725
Imports,47.257688036157965,42.158278111288475,41.66677012759991,41.75265601141891
Imports (Net),0.5758020247644673,-17.546676927869772,-19.7042500332535,-16.214718176018334
Load (Net),58.65393706931739,37.12679158266663,26.02151669651493,25.898726304890527
Load (Total),61.440179183,62.17926441099999,65.381124809,67.740948261
