Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,994158540.3248174,610327104.0261407,374687898.1567973
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481798259.92440516,295782337.30046785
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,46984819.17934431
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946191484.0,488256219.23342824,169251666.38078266,78191764.18061775
Fixed Operation,0.0,540601496.5756991,457631846.4549789,250250887.47563305
Trading,-65924815.62620717,-492910342.4033538,-157480223.62615484,-47164203.73109277
