,0
0,-7194.250744955402
1,-7268.894641363356
2,-7201.946037599347
3,-7455.223346279268
4,-7630.840696374294
5,-7810.8174873391645
6,-7725.829557379716
7,-7780.0754029493655
8,-7485.014058420173
9,-6299.969996010303
10,-5694.636867309933
11,-5812.589350038045
12,-6027.696415013648
13,-5598.709822059038
14,-5875.243288385197
15,-7121.179506954904
16,-6809.425183362717
17,-6740.707378285836
18,-7099.539292668601
19,-7433.387204761589
20,-7630.899397765799
21,-7609.570964129031
22,-7050.134683435863
23,-7163.782187561192
24,-7260.252483317469
25,-7313.2310760637765
26,-7355.000775203493
27,-7536.562198745392
28,-7740.745614256062
29,-7775.297195967487
30,-7799.47097320133
31,-7991.850354272796
32,-7959.046398752186
33,-7972.665773733416
34,-6299.985209332711
35,-6299.998195112312
36,-7608.564895671052
37,-7878.214547763314
38,-7755.5617131838635
39,-7612.2213775958135
40,-7488.3528414079465
41,-7365.199225018611
42,-7628.613241039118
43,-7605.089997308041
44,-7704.192239365149
45,-7242.449302359603
46,-7240.212289909231
47,-7357.013186020097
48,-6733.760129130598
49,-6618.663507382307
50,-6795.039164601832
51,-6706.581962774468
52,-6702.034729396676
53,-6756.357558847379
54,-6704.6158150370275
55,-6618.904669928502
56,-6531.082408547635
57,-4333.402453512778
58,-4444.884446050209
59,-4469.677265335457
60,-4300.681331897641
61,-5968.615902843563
62,-6452.06454207038
63,-6579.358262917976
64,-7759.006336794771
65,-6832.584716638774
66,-6725.846742498903
67,-6668.333583560403
68,-6880.676534142874
69,-6860.078064826573
70,-7225.166739218081
71,-6837.054360125023
72,-6703.694786443879
73,-7140.310141139167
74,-7285.588184340915
75,-7245.982999001473
76,-7136.610485105232
77,-7184.272688057521
78,-7544.430587047874
79,-7110.778107805176
80,-5175.305525228857
81,-5060.076456735563
82,-5563.740864907463
83,-6837.676904216994
84,-6662.415041181263
85,-5768.237829049315
86,-6120.452636879328
87,-7142.6872568846875
88,-7531.662102081142
89,-7761.581347794383
90,-7719.92664294824
91,-7214.288862133801
92,-7366.549831764757
93,-7344.597833246324
94,-7432.219522053943
95,-7366.956275596103
96,-8500.843296001438
97,-7336.134399609975
98,-7509.422705611174
99,-7540.494166852516
100,-7681.014097148029
101,-7653.848342627771
102,-7616.254211636575
103,-7296.076840151825
104,-6923.159516016464
105,-6057.390803846017
106,-6257.401038168778
107,-6881.727774845071
108,-7436.311484104421
109,-6766.62863404238
110,-7136.7101663709855
111,-7461.625432110173
112,-7442.123307562559
113,-7460.798158834808
114,-7516.522322115408
115,-6957.7213488748375
116,-6790.423453209013
117,-6715.607234765472
118,-6973.02357020284
119,-7199.977253380305
120,-6871.4406971031185
121,-6501.792015731527
122,-6557.395658750723
123,-6709.522017980069
124,-6805.8960118537925
125,-6836.333499566029
126,-6830.8799993692755
127,-6444.027441653983
128,-6540.7049169025595
129,-6524.203098918471
130,-6285.845661087944
131,-6317.7929671819265
132,-6468.3247345432
133,-6565.387100804339
134,-6421.372448560663
135,-6534.286708357354
136,-6555.9245932417
137,-6552.753416949676
138,-6423.693503809545
139,-6253.028071586523
140,-6355.658364480634
141,-6412.176941478274
142,-6567.296619945773
143,-6621.528233383935
144,-6601.132365468375
145,-6636.754152993716
146,-6480.022230837576
147,-6612.789155006813
148,-6578.60324666465
149,-6661.314026380001
150,-6760.343534516903
151,-6229.589928818745
152,-6213.626812929252
153,-4228.674357155243
154,-4152.939335384837
155,-4359.489022624578
156,-4753.269353000714
157,-5316.182548775887
158,-4737.544172646671
159,-6556.4688564039125
160,-6561.074316470329
161,-7231.691975405866
162,-6967.951112117153
