Month,Switzerland,Germany,Italy,France,Austria
1,67.41907323708574,88.8156956523843,66.2050366297393,39.64736563976693,78.70948689143852
2,57.8416466796306,75.67751911146918,58.84908329199114,30.353229291391976,52.70184682423021
3,27.1313438171193,32.87030307519969,27.515212896933114,19.34729185375406,26.951316492766754
4,14.002487011767913,15.100691361605927,14.576235511230657,13.975537151100461,12.209967576498128
5,10.672331397974013,10.861117915231553,11.889339836806268,11.750073732458429,10.51509132482343
6,10.740649360902141,10.618883667235137,12.40983255473743,12.30773285139068,11.132962691703074
7,10.848768594143026,11.515683887087148,12.964769325781534,11.46480492484896,11.31581031641117
8,13.65741694984728,13.511852966026396,15.60357683849425,13.901076297876022,12.973124099794301
9,20.121542132219215,19.737966584256466,21.67564590017672,18.886462148623746,20.164831901795676
10,39.077709011423366,53.18421962125691,39.95527487230989,22.666805111612014,48.121096473739925
11,55.02528902753758,62.62915377286326,56.924352519486675,32.237789583740415,65.19811381218314
12,65.63828803418738,103.81233885181304,60.167854067390024,26.947000599258097,91.36054108185532
