Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7640740020585375,0.5458726617489146,2.189904368886704,2.1899240106971756
DSM (Up),-0.7640740020585377,-0.5458726617489127,-2.189904368886704,-2.1899240106971667
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930946093357204,0.1881672843654725,3.330457910672485e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.0
Gas CC-Syn,0.0,0.0,0.0,0.0
Gas Other,8.996186242063588e-05,4.627939126820621e-06,1.6899863267457624e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.067246170927834,18.072556020185726,17.66070034790728,17.979994781052753
Hydro RoR,17.28079928946121,17.958663908278815,19.2495499928978,19.413588657432868
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,6.887334051297068e-07,5.119340948753142e-07,1.496525546651559e-07,5.113453832423481e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.903307068352117,14.481329566246059,4.946301807728822,0.0
Oil,1.641439995315867e-06,6.652365896675865e-07,2.781934964161036e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.7416877869292864,6.803051739693378,6.812534799110128
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986345173157135,19.192016778825355,29.318713727635092,31.804508993286696
Pump,2.973680196923781,4.893617238030246,7.275464564880669,7.937155054781878
Pump (Load),-0.07726157872064235,-1.686481044630867,-3.6954460240109945,-4.443847358963775
Waste,1.7263542917137753,0.45446479996186306,0.0715718028435371,0.9580897876863409
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.1876020464866309,3.0964679585258055,3.0890232906634125,3.0722903273098274
Exports,-46.2700649197097,-59.38015905042661,-61.136062707985126,-57.880867879770655
Imports,47.19497716916045,42.166929498213435,41.79825119019806,42.08750209852577
Imports (Net),0.9249122494507548,-17.21322955221319,-19.33781151778707,-15.793365781244889
Load (Net),58.65394261919765,37.14909188671955,26.170336051008118,26.05161414129335
Load (Total),61.440179183,62.17926441099999,65.381124809,67.740948261
