Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04560015755199609,-0.0022122667677478896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.152796732434851,1.3211096769895405,0.0,0.0,0.0,5.964022784469897e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5858058002385926,-7.3419051891074995e-06,0.22698396308637533,0.0,0.7995195355832898,-7.1942507449554025,6.31343657362315,-0.880814171332252,7.449262464416711,8.248782
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026793547202162794,-0.03844272371894935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.151756749819152,1.321109486786139,0.0,0.0,0.0,5.961248568674589e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5495781022009902,-7.548754190199301e-06,0.22548407051806946,0.0,0.5781995532197604,-7.268894641363356,6.475943489607382,-0.7929511517559731,7.443320446780239,8.02152
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034219722726412083,-0.13793973448933594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.134157790766077,1.3211095016286332,0.0,0.0,0.0,5.8865054562285175e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51450379579237,-7.454954951548099e-06,0.223984724738242,0.0,0.9563095416901055,-7.201946037599347,6.122253986391906,-1.0796920512074413,6.979538458309895,7.935848
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002280912465569362,-0.019501710305472205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.080667795656524,1.3211095187408235,0.0,0.0,0.0,5.86587577578845e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5470871516367164,-7.4049901539283e-06,0.2238845555788102,0.0,0.6024793840016537,-7.4552233462792685,6.3012362309012095,-1.1539871153780588,7.001533615998345,7.604012999999999
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03365575093656398,-0.02280141264155949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000874436591992,1.321109513260416,0.0,0.0,0.0,5.852401029146296e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5429101058349721,-7.4111257434648e-06,0.22388463085655771,0.0,0.5297594927852799,-7.630840696374293,6.217755676680776,-1.413085019693518,6.68654050721472,7.2162999999999995
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16047023648795164,-0.0039026335081419478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.958512889600796,1.3211094953320777,0.0,0.0,0.0,5.8064929838953475e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5386955737235768,-7.4371951824760006e-06,0.22388470188443815,0.0,0.5557593899909279,-7.810817487339165,6.046464358094782,-1.764353129244383,6.434409610009072,6.990169
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001284717150291916,-0.07592293874596683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.918604105622806,1.3211094608284926,0.0,0.0,0.0,5.798376041400931e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5375876000549182,-7.5396906620494e-06,0.22388453168682104,0.0,0.6802894868528976,-7.725829557379716,5.947154220220797,-1.7786753371589183,6.147864513147103,6.8281540000000005
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05112350175617424,-0.03310157100556033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.921332038840768,1.3211094760871198,0.0,0.0,0.0,5.800026797750716e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5382697393196936,-7.5033897004744e-06,0.22388464763409419,0.0,0.5007395025296612,-7.780075402949365,6.102518657894164,-1.6775567450552007,6.345053497470338,6.845792999999999
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011793257239290616,-0.23660125110383878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.564400669028405,1.3211094997495345,0.0,0.0,0.0,5.7865206369301126e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4206789416213838,0.0,0.0,0.0,0.3217073960309785,1.264723923961319,-7.512235619847901e-06,0.22388457075716892,0.0,0.4053999159705597,-7.485014058420172,6.366016710088704,-1.118997348331468,6.019691746377078,7.167478
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12115384540672092,-0.18367288803861773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9514106434538645,1.3211087678547075,0.0,0.0,0.0,5.8180731945805804e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5397588197393288,0.0,0.0,0.0,1.7278132149846583,0.5537384668296993,-1.18004896928627e-05,0.22387749847063837,0.0,0.3594295602075727,-6.299969996010303,5.350841012022649,-0.9491289839876536,4.038475405068441,7.665477000000001
