Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,993976384.8955328,610215276.3938984,374619245.6912517
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481893956.83753616,295841086.9037619
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,46085211.395965554
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944926058.0,488683222.913449,170000260.1010233,77054886.92185313
Fixed Operation,0.0,540501490.1066973,457619326.9401368,249897951.9509092
Trading,-44363589.71934295,-477160542.1945981,-151661279.45252487,-40325907.01408937
