,0
0,-6689.833680759332
1,-6878.432010633109
2,-6986.492175961265
3,-7143.304079375229
4,-7320.006804749758
5,-7483.110588894142
6,-7686.075627435669
7,-7918.951758345295
8,-7703.230258078818
9,-6299.9924608515075
10,-5730.655291427513
11,-5871.948022790595
12,-6128.1947188009835
13,-5371.108430817165
14,-5594.94736562556
15,-7405.377091526672
16,-7188.39341358823
17,-7105.3750983411965
18,-7299.777874443979
19,-7787.4719908435045
20,-7999.779071323643
21,-7999.902331231809
22,-7277.17269603397
23,-7404.168018335733
24,-7349.48117834493
25,-7383.389413921826
26,-7389.219692731262
27,-7516.966506044395
28,-7689.283697995925
29,-7755.936370786957
30,-7886.555523261843
31,-7964.492229235482
32,-7616.814078500147
33,-7543.14942315106
34,-6170.452963872087
35,-6299.99959812631
36,-7497.358143442547
37,-7682.7157983387715
38,-7606.117373101344
39,-7682.25796743554
40,-7740.919429522327
41,-7842.997552325363
42,-7999.864820399628
43,-7999.959102125973
44,-7999.976619171159
45,-7673.038012840144
46,-7645.773813182457
47,-7692.573014038909
48,-6925.972532294337
49,-6481.599005102088
50,-6654.433712323921
51,-6556.027607430987
52,-6562.570342683404
53,-6624.477419707961
54,-6672.18448381515
55,-6821.866416387033
56,-6653.787233688948
57,-4252.655588695992
58,-4646.179287968228
59,-4437.31263094451
60,-4210.030669872607
61,-4658.189739379731
62,-6334.274631999888
63,-6455.444372425961
64,-7999.997881514551
65,-7257.004974177906
66,-7391.725961235981
67,-7381.116238505876
68,-7498.860039900321
69,-7542.066263755512
70,-7458.596593786591
71,-6563.785422651492
72,-6467.372542150226
73,-6676.737689711739
74,-6891.328769603466
75,-6820.544415192335
76,-7217.333954434038
77,-7215.153004121259
78,-7262.480160059857
79,-6898.1334717469335
80,-5197.60542957555
81,-5151.197885383232
82,-5261.728048845937
83,-6799.369275589136
84,-6519.36971072716
85,-5343.727996078367
86,-4905.890794829489
87,-6872.770789148014
88,-7999.968960469449
89,-7999.983418104839
90,-7999.984133735564
91,-7661.655035194766
92,-7936.654367108838
93,-8039.189569947967
94,-8118.982835610152
95,-7762.737907191139
96,-8618.224572659996
97,-7125.23907274361
98,-7221.7707023360845
99,-7236.468890806616
100,-7308.892519212894
101,-7249.011819089107
102,-7674.059462463976
103,-7915.760109333281
104,-6994.603998628312
105,-6210.900580222304
106,-6192.803922166226
107,-5968.39348593977
108,-6463.973399032293
109,-5913.611149593908
110,-6884.461508404262
111,-7629.81700556621
112,-7652.451136528138
113,-7711.331537172491
114,-7826.204063395717
115,-7477.796202814554
116,-6873.256387927201
117,-6982.096145328615
118,-7108.131035288352
119,-7208.243469290563
120,-7029.760213970785
121,-6653.262249360378
122,-6723.539127094521
123,-6896.0847988310325
124,-7003.4349055627745
125,-7030.830498348201
126,-7017.994250087717
127,-6326.215381076539
128,-6413.777541250272
129,-6416.887888788122
130,-6194.801134249454
131,-6226.396963182166
132,-6418.4119944597405
133,-6476.658703313091
134,-6308.26132228729
135,-6395.2140682515965
136,-6424.143116389591
137,-6426.644172450217
138,-6276.930384131229
139,-6185.398354352149
140,-6382.850658486106
141,-6461.646914609342
142,-6656.717225836466
143,-6743.938402561371
144,-6787.881156950532
145,-6784.834910224854
146,-6499.132999788559
147,-6520.651987217645
148,-6470.0786539779065
149,-6575.2600345755745
150,-6648.844996496876
151,-6168.332619393368
152,-6187.99969344925
153,-4090.8505739859975
154,-4072.323013071569
155,-4358.529079043322
156,-4577.969431855837
157,-4469.408040852791
158,-4477.122571787946
159,-6580.79662730626
160,-6687.90949777815
161,-7884.63494718199
162,-7335.498395277221
163,-7946.014990445319
164,-7999.757921085546
165,-7999.993241476702
166,-7999.994451834345
167,-7095.0428204953205
168,-6807.91330426264
169,-6905.2728099688275
170,-6438.828214997331
171,-6299.646006333915
172,-6952.352006060158
173,-7848.018926789614
174,-7922.491233336521
175,-7865.692004257987
176,-7865.054279657157
