Month,Switzerland,Germany,Italy,France,Austria
1,67.13315384881022,88.80793930836356,66.23418801494623,39.71683136760084,78.7098218788003
2,57.22097298115066,75.71150466639527,59.036164204900786,30.486850922679622,52.772302578354065
3,27.54947050168349,33.359848339838635,28.07394597897719,19.505702440807674,27.527613248048254
4,14.183088006376742,15.16284996721094,14.642670148587152,14.02796830314724,12.265031222428153
5,10.75473787506388,10.872802509499923,11.867994314960612,11.775458059380332,10.516966234377065
6,10.72282892268436,10.616962946234345,12.379850488932497,12.30127778505346,11.126724517698133
7,10.858424820960417,11.514357030280047,12.961675238117218,11.465349441816182,11.314699525302517
8,13.704202455530316,13.51563561025827,15.6049133815116,13.915639981892317,12.976143058612966
9,20.165842930221505,19.757061874523206,21.684178919638306,18.893797450827968,20.180906090260958
10,39.321681967706205,53.29974514294224,40.26515498137775,22.64930466129012,48.316699379145376
11,55.07126318724778,63.05587047404135,57.528703347578315,32.64319362535078,65.60057818162915
12,66.62248415451602,103.97481573295673,60.40665479429429,27.228345014019304,91.6593355606419
