Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7623626989140087,0.5456752256094245,2.189974265336919,2.189971972541975
DSM (Up),-0.7623626989140087,-0.5456752256094244,-2.189974265336919,-2.1899719725419753
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8931681321429276,0.18929043765764694,1.7091109158880867e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.19145964216610722
Gas CC-Syn,0.0,0.0,0.0,0.0020503693676052247
Gas Other,7.636082097140675e-05,3.0582246172418385e-06,8.709130135302222e-07,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,1.3353030996451591,2.22562058576726,2.7104868219779776,2.758375815351674
HP Shift (Up),-1.0254298275430591,-1.8876905471636514,-2.4186729543803995,-2.5111687376371705
Hydro Dam,18.0672729261202,18.071888089316705,17.649241354303193,17.98048111523585
Hydro RoR,17.280828528898972,17.960347273874103,19.260136422062956,19.42106773021958
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,2.8665581370200487e-07,3.645967965851183e-07,7.667553135157657e-08,7.777701774438418e-08
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.941318766895648,14.491172730575594,4.977371956651627,0.0
Oil,1.3539353608645439e-06,4.320294662415156e-07,1.4273802118659722e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.746058872854746,6.823206438298854,6.829922280051454
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.598641239572884,19.211980649538393,29.491957851520542,32.022294177876454
Pump,2.96999928703378,4.7845453462567695,7.107286555571849,7.812493543205223
Pump (Load),-0.07287841971836582,-1.5646505450465025,-3.489731876981785,-4.28909489070695
Waste,1.726930553113765,0.45612472735136234,0.071549904563728,0.9583026484988737
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.18760503414359603,3.096559508813679,3.090012288534231,3.0746579951807926
Exports,-46.68450614940298,-59.348921273787724,-60.85377236543374,-57.38939164531933
Imports,47.26012735897529,42.40212241128802,42.17261220666122,42.491561817591666
Imports (Net),0.5756212095723087,-16.94679886249971,-18.68116015877252,-14.897829827727659
Load (Net),58.653935189283516,37.77984949979319,27.186510050646376,27.426137227891303
Load (Total),61.440181463,62.834448531,66.591686629,69.353011681
