Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,994102159.82083,610292491.2875015,374666648.93780535
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481926533.50612205,295861086.152363
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,48665085.68214488
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,946195707.0,488508567.04846966,169894575.76735193,79640223.79821776
Fixed Operation,0.0,540579829.1213286,457668624.08449656,250912518.92552027
Trading,-65941161.471915066,-471018405.6499295,-143262463.54995695,-33509096.552994117
