,0
0,-7043.307017216984
1,-7168.187517635361
2,-7200.344039102814
3,-7353.629581771843
4,-7222.075449020516
5,-7301.502377405556
6,-7613.279895384674
7,-7681.983041131722
8,-7601.825758568838
9,-5962.9947364364525
10,-5761.07049001083
11,-5860.597475622712
12,-6028.288252125913
13,-5506.840217550467
14,-5727.48323228945
15,-7256.930563410111
16,-6696.740630438791
17,-6585.762846422473
18,-6863.357041658692
19,-7312.645533180906
20,-7560.962067655173
21,-7526.190309823411
22,-6910.453381571941
23,-7027.583780435415
24,-7109.160006103404
25,-7172.126104180016
26,-7212.959509949775
27,-7403.957718817062
28,-7614.886543545422
29,-7751.222307822001
30,-7856.030297530694
31,-7911.980978164895
32,-7854.703162556996
33,-7767.820801061086
34,-6254.6413240853
35,-6299.9983964416115
36,-7608.575178366256
37,-7823.061084158488
38,-7720.01926595739
39,-7545.810552955725
40,-7416.919177779305
41,-7298.211388928042
42,-7559.764945803223
43,-7545.2707055441115
44,-7643.503832959891
45,-7020.466170875043
46,-7021.676031724506
47,-7092.311272108896
48,-6653.543060106853
49,-6580.439637578209
50,-6756.530305600075
51,-6665.716264436451
52,-6663.140460422915
53,-6717.234952441605
54,-6671.720333735838
55,-6580.505712539789
56,-6487.548031242743
57,-4296.868396618298
58,-4527.32855254658
59,-4449.410858355698
60,-4240.105990997617
61,-5147.441142205139
62,-6423.723955937194
63,-6536.954353866612
64,-7682.853966321276
65,-6735.597811120798
66,-6665.891686101452
67,-6592.769382862758
68,-6773.801528748851
69,-6925.175983532045
70,-6836.126361443951
71,-6738.356470754733
72,-6531.12742444942
73,-6730.8279616313175
74,-7130.27379933042
75,-7264.122973245278
76,-7279.874996860759
77,-7278.251827994848
78,-7328.549763127799
79,-6998.733718558267
80,-4724.9683490992165
81,-4963.846662100148
82,-5449.1040733570735
83,-6955.993648015215
84,-6673.076309726051
85,-5550.256791599385
86,-6039.516768221851
87,-7069.116282245225
88,-7389.170878655972
89,-7499.547669134733
90,-7506.644048026406
91,-7224.656024459682
92,-7393.501802792807
93,-7205.66215710578
94,-7467.411178618199
95,-7388.810319117456
96,-8431.946678939636
97,-7251.10888524711
98,-7402.9343541149665
99,-7411.058159966113
100,-7541.29887396788
101,-7515.9483298368905
102,-7540.917015915437
103,-7487.792541640848
104,-6795.564776517312
105,-5965.247236837735
106,-6238.498662112996
107,-6403.393141252586
108,-6945.105881635727
109,-6175.583263597493
110,-7051.88806912035
111,-7389.129057614406
112,-7400.861511013875
113,-7486.402951500271
114,-7514.369833060746
115,-7033.6644667236105
116,-6789.007873618542
117,-6629.21599100241
118,-6891.459254905583
119,-7109.489752695308
120,-6846.710161411531
121,-6465.909395351072
122,-6516.844741966696
123,-6678.039485852845
124,-6776.202049928797
125,-6781.357324163233
126,-6766.3394740671165
127,-6403.065021438348
128,-6511.3020662902945
129,-6465.517736386235
130,-6243.1223288559495
131,-6276.976481346755
132,-6434.3839887472295
133,-6527.137524364452
134,-6350.235054138757
135,-6504.943590189239
136,-6540.635289803463
137,-6513.725094327432
138,-6374.430411584394
139,-6210.121871256741
140,-6311.199607543742
141,-6364.5192812157
142,-6510.514907546338
143,-6569.157316797837
144,-6568.152218155612
145,-6584.9872080841515
146,-6446.702634682448
147,-6574.864305148004
148,-6529.828358499766
149,-6619.762189447705
150,-6708.350128245795
151,-6198.5445940536365
152,-6190.737431127388
153,-4200.205829658118
154,-4204.153053819932
155,-4372.992797104553
156,-4467.587733515627
157,-4459.998264016674
158,-4664.751590755209
159,-6529.446305037309
160,-6528.046182071921
161,-7128.962164437599
162,-6880.144203212464
163,-6874.015698582547
164,-7052.572873442731
165,-7650.139996410723
166,-7806.891248296902
167,-6950.335495355289
168,-6608.3969429487315
169,-6717.268896099321
170,-6678.352283884965
171,-6409.073143475728
172,-7432.700743789599
173,-7805.9142105011915
174,-7646.202691132294
175,-7412.073976573549
176,-7277.0965144072225
177,-6299.973220419098
178,-4438.654439460248
179,-4175.721693403153
180,-4196.029272664923
181,-5700.011168505726
182,-6608.065215876372
183,-6434.1678487711215
184,-7011.399597768429
185,-7033.479552974925
186,-7018.021743535566
187,-7070.593628109067
188,-7428.168255691555
189,-7727.420064499534
190,-7763.562643901994
191,-7678.3638951242965
192,-7399.3715825561485
193,-7441.697827937325
194,-7483.234229153251
195,-7596.212220633863
196,-7609.679598578702
197,-7581.66722802699
198,-7572.010707912403
199,-7562.27231215151
200,-6090.010249634433
201,-4598.476538800597
202,-4443.838355693182
203,-4211.282268119201
204,-4406.460647292586
205,-4694.1160767817055
206,-5567.835218816871
207,-6279.769821834782
208,-7222.61315235285
209,-7069.97941133178
210,-7315.533836021882
211,-7566.266927260017
212,-7132.60832669157
213,-7349.394481816807
214,-7471.430651336072
215,-7702.42445301412
216,-7621.6770002334
217,-7524.119176542403
218,-7550.505591079121
219,-7998.927067142327
220,-7999.9298206718
221,-7999.964513308902
222,-7999.986317166318
223,-7433.466783309819
224,-7102.711227086411
225,-6208.995689020267
226,-4510.0506909156065
227,-4432.707011526605
228,-4414.82266390546
229,-4351.21707090222
230,-4444.210111456947
231,-7042.695752177389
232,-6959.526471474798
233,-6789.410161116936
234,-6523.411807025764
235,-6398.612920989441
236,-6308.194453000224
237,-6944.16572050544
238,-7063.1869505281065
239,-7064.219001983622
240,-4343.798440603159
241,-4391.861305044386
242,-4419.180711330074
243,-4441.451860549796
244,-4569.377567836623
245,-4562.116680221901
246,-5209.626744282495
247,-6119.7616944991205
248,-3831.3023222869133
249,-3931.9788980430912
250,-4717.477273356401
251,-5294.469925473873
252,-5380.933004638814
253,-5209.545465126894
254,-5685.3716445721275
255,-4040.8130471613053
256,-3809.146907228126
257,-3798.4705155473057
258,-3684.7513327908337
259,-3585.422082259219
260,-3699.2245943175735
261,-3983.49575486655
262,-4154.342593010668
263,-4273.384118854237
264,-3251.727591611121
265,-3232.8250268999323
266,-3257.7213987212435
267,-3286.998077732858
268,-3304.454433041423
269,-3706.800334195994
