Month,Switzerland,Germany,Italy,France,Austria
1,67.79325290815673,88.84466400937164,66.22602231984906,39.744173645372165,78.79395805230216
2,58.594413937229675,75.78622232143812,59.06548692858015,30.593224688574463,52.820733273128766
3,27.976454361374646,33.83596859712355,28.45935421097142,19.509101906899712,27.74403407250281
4,14.249097774110929,15.227319534119564,14.85978577040013,14.078692364173154,12.354534111537403
5,10.742256694085006,10.888823283848698,11.948140350532599,11.76775164033588,10.551354045765581
6,10.767824216526,10.625216400082726,12.447801222517809,12.31881537355877,11.146403877902893
7,10.862812999601935,11.523107277436754,12.974282628917907,11.467506892170219,11.327893753765851
8,13.669344192908127,13.520085318654012,15.611286416246024,13.916498508883262,12.979033088666839
9,20.136960699929872,19.759853941124618,21.69222941918133,18.897655948639724,20.182807284816263
10,39.5675536519318,53.41498201857125,40.5276788996156,22.92378969059329,48.54127877458971
11,56.1413566100384,63.164948399045535,57.81920986962239,32.70628371955028,65.91385680323917
12,67.34986646501581,104.31727992545666,60.53378001424231,27.312779602467323,92.05965430688568
