Row,2020,2030,2040,2050
Battery,0.0,0.0,0.0,0.0
Battery (Load),0.0,0.0,0.0,0.0
Biogas,0.0,0.0,0.0,0.0
Biomass,0.0,0.0,0.0,0.0
CAES,0.0,0.0,0.0,0.0
CAES (Load),0.0,0.0,0.0,0.0
CSP,0.0,0.0,0.0,0.0
Coal,0.0,0.0,0.0,0.0
DAC (Load),0.0,0.0,0.0,0.0
DSM,0.7639848760900927,0.5457041277020546,2.1899086603076143,2.189943007545561
DSM (Up),-0.7639848760900927,-0.545704127702054,-2.1899086603076143,-2.189943007545539
EMob Shift,0.0,0.0,0.0,0.0
EMob Shift (Up),0.0,0.0,0.0,0.0
Gas CC,0.8930978596608657,0.18851702184502878,5.077740743584404e-06,0.0
Gas CC-CCS,0.0,0.0,0.0,0.057309639966345624
Gas CC-Syn,0.0,0.0,0.0,0.0
Gas Other,9.5405017018905e-05,7.44955294482084e-06,2.6511507793092598e-06,0.0
Geothermal,0.0,0.0,0.0,0.0
Geothermal-Advanced,0.0,0.0,0.0,0.0
HP Shift,0.0,0.0,0.0,0.0
HP Shift (Up),0.0,0.0,0.0,0.0
Hydro Dam,18.06725008253828,18.072582002373707,17.671774399751573,17.98270397089626
Hydro RoR,17.280805506857764,17.95886853427008,19.25179828163713,19.41574018008751
LAES,0.0,0.0,0.0,0.0
LAES (Load),0.0,0.0,0.0,0.0
Lignite,0.0,0.0,0.0,0.0
Load Shed,8.768910343708196e-07,9.122136024798849e-07,2.8619749343286086e-07,3.8074786826755443e-07
Load Shed Ind,0.0,0.0,0.0,0.0
Marine,0.0,0.0,0.0,0.0
Methanation (Load),0.0,0.0,0.0,0.0
Nuclear,19.903283934571014,14.48683537988266,4.987247536940983,0.0
Oil,1.5788801740398579e-06,1.092985035464735e-06,4.805002364737794e-07,0.0
Other NonRES,0.0,0.0,0.0,0.0
Other RES,0.0,0.0,0.0,0.0
P2G2P,0.0,0.0,0.0,0.0
P2G2P (Load),0.0,0.0,0.0,0.0
PV Agri,0.0,0.0,0.0,0.0
PV Alpine,0.0,2.740354501656474,6.795860656058948,6.805542180560271
PV Facade,0.0,0.0,0.0,0.0
PV Highway,0.0,0.0,0.0,0.0
PV OpenField,0.0,0.0,0.0,0.0
PV Roof,2.5986353388769157,19.194313398941148,29.34199257172365,31.8315187979615
Pump,2.973700980898259,4.892544787729404,7.256388652612681,7.929027170356329
Pump (Load),-0.07728914879342172,-1.6840661031670405,-3.6744070855717914,-4.430789288896093
Waste,1.7263612742862793,0.45521564795471814,0.07899149065650703,0.9651439536635764
Wind Offshore,0.0,0.0,0.0,0.0
Wind Onshore,0.1876014247469797,3.0964760219880914,3.08910676652609,3.0702655308980904
Exports,-46.27785937370362,-58.98583078153342,-60.59989425978123,-57.351811664556784
Imports,47.20278116638551,42.41863256541438,42.39282005138031,43.07836245040515
Imports (Net),0.924921792681894,-16.56719821611904,-18.20707420840092,-14.273449214151627
Load (Net),58.653944699376105,37.80330460841429,27.364726634691312,27.645685171580144
Load (Total),61.440181463,62.834448531,66.591686629,69.353011681
