Hour,Battery,Battery (Load),Biogas,Biomass,CAES,CAES (Load),CSP,Coal,DAC (Load),DSM,DSM (Up),EMob Shift,EMob Shift (Up),Gas CC,Gas CC-CCS,Gas CC-Syn,Gas Other,Geothermal,Geothermal-Advanced,HP Shift,HP Shift (Up),Hydro Dam,Hydro RoR,LAES,LAES (Load),Lignite,Load Shed,Load Shed Ind,Marine,Methanation (Load),Nuclear,Oil,Other NonRES,Other RES,P2G2P,P2G2P (Load),PV Agri,PV Alpine,PV Facade,PV Highway,PV OpenField,PV Roof,Pump,Pump (Load),Waste,Wind Offshore,Wind Onshore,Exports,Imports,Imports (Net),Load (Net),Load (Total)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059883649106129325,-0.028138409691456322,0.0,0.0,0.0,0.007919839131040352,0.0,0.0,0.0,0.0,0.0,0.0,5.2364765780265605,1.3211114907956127,0.0,0.0,0.0,4.4371863085456374e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553191908590869,-5.542745306036899e-06,0.2269902358252382,0.0,0.7995196309647571,-7.043307017216984,6.462619748904491,-0.5806872683124921,7.796742369035243,8.596262000000001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08086059863260156,-0.011605723137387164,0.0,0.0,0.0,0.01583947190196087,0.0,0.0,0.0,0.0,0.0,0.0,5.193574187922096,1.3211114863382454,0.0,0.0,0.0,4.515686489994272e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5572332950399448,-5.7586374175182e-06,0.2254906217888617,0.0,0.578199656744402,-7.168187517635361,6.57672979076099,-0.5914577268743706,7.791040343255598,8.36924
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0900020778932603,-0.0007531539857924771,0.0,0.0,0.0,0.01999968030738044,0.0,0.0,0.0,0.0,0.0,0.0,5.150457224754143,1.3211114976559308,0.0,0.0,0.0,4.4682576151468e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5543671953423068,-5.6286536317803994e-06,0.2239911237703244,0.0,0.9563096430778352,-7.200344039102815,6.168642490199545,-1.0317015489032693,7.327468356922165,8.283778
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02816707280905436,-0.005815986486268566,0.0,0.0,0.0,0.01999968766780407,0.0,0.0,0.0,0.0,0.0,0.0,5.149862942541107,1.3211114832238036,0.0,0.0,0.0,4.438397475196903e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.553652948334617,-5.63368447542e-06,0.22389096464846384,0.0,0.6024795375982602,-7.353629581771843,6.413489676927173,-0.9401399048446692,7.350723462401739,7.9532029999999985
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009946596471259689,-0.16625712086544156,0.0,0.0,0.0,0.01999968390481878,0.0,0.0,0.0,0.0,0.0,0.0,4.906850111651517,1.3211114657760015,0.0,0.0,0.0,4.420274145781459e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444610041896036,-5.6684845475004e-06,0.22389093051046718,0.0,0.5297596108682506,-7.222075449020516,6.507331845851844,-0.714743603168672,7.036450389131749,7.56621
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009750976825731992,-0.18463754809464153,0.0,0.0,0.0,0.01999968254989084,0.0,0.0,0.0,0.0,0.0,0.0,4.982219081782805,1.3211114545161198,0.0,0.0,0.0,4.3867754080489644e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.306702236241438,-5.6936476868186e-06,0.22389094532275325,0.0,0.5557595437520542,-7.301502377405556,6.416096688512783,-0.8854056888927726,6.784849456247946,7.340609000000001
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019980613720841467,-0.05113518405969913,0.0,0.0,0.0,0.019999682386359647,0.0,0.0,0.0,0.0,0.0,0.0,4.9895421988718045,1.3211114587362653,0.0,0.0,0.0,4.38287894957164e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5436719617809853,-5.6776353175618e-06,0.223890998985588,0.0,0.6802896116009054,-7.613279895384674,6.063320894104105,-1.5499590012805693,6.499114388399096,7.179404000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0961711025642159,-0.02361312741143085,0.0,0.0,0.0,0.01999968250689424,0.0,0.0,0.0,0.0,0.0,0.0,4.987816186957304,1.3211114606195165,0.0,0.0,0.0,4.386111259744682e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544322689455699,-5.6837834991142004e-06,0.223891055552381,0.0,0.5007396244711345,-7.681983041131722,6.2099931604999545,-1.4719898806317668,6.697703375528864,7.198442999999998
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010159411120236762,-0.13603756259787858,0.0,0.0,0.0,0.01999968324996609,0.0,0.0,0.0,0.0,0.0,0.0,4.879970396999106,1.3211114919669424,0.0,0.0,0.0,4.343728881377737e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42016958851993047,0.0,0.0,0.0,0.32173573266105454,1.3284032466748577,-5.5453025117516e-06,0.22389101869495948,0.0,0.40539975111766224,-7.601825758568838,6.336680175855697,-1.2651455827131404,6.373202927701353,7.520508
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014517136107493061,-0.26428318613134477,0.0,0.0,0.0,0.019999713807902872,0.0,0.0,0.0,0.0,0.0,0.0,2.6032545854845686,1.3211110151409606,0.0,0.0,0.0,4.351346936306717e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5381491838124648,0.0,0.0,0.0,1.7254968482289526,0.4465574506300554,-8.1482387050596e-06,0.22388739224324236,0.0,0.3594297536609104,-5.962994736436452,5.988700165698063,0.025705429261610332,4.390741214297673,8.013817
