Row,2020,2030,2040,2050
Investments 2020,0.0,0.0,0.0,0.0
Transmission 2020,0.0,0.0,0.0,0.0
Investments 2030,0.0,993965543.2488666,610208620.5633198,374615159.5886462
Transmission 2030,0.0,0.0,0.0,0.0
Investments 2040,0.0,0.0,481861380.1689504,295821087.6551609
Transmission 2040,0.0,0.0,0.0,0.0
Investments 2050,0.0,0.0,0.0,46536753.74211541
Transmission 2050,0.0,0.0,0.0,0.0
Variable Operation,944926278.0,488859380.4102465,170884969.34245095,77952099.94863829
Fixed Operation,0.0,540504824.2695773,457606612.19654256,250062846.791733
Trading,-44363975.073902726,-452478131.8179291,-135146674.56399179,-24108649.910192106
