,0
0,-6256.803593291833
1,-6601.732107338281
2,-6656.438407655845
3,-6894.180593007168
4,-7099.67770340547
5,-7202.754275227133
6,-7299.163115066589
7,-7539.619929018
8,-7813.8250307107355
9,-6283.774364585382
10,-5724.463028876307
11,-5926.419023153165
12,-6229.2153939117115
13,-5517.493164089295
14,-5693.621502152781
15,-7399.642641235693
16,-7159.547417631743
17,-7091.902000636515
18,-7331.402034693041
19,-7731.683456136036
20,-7991.3282384796985
21,-7999.934343569403
22,-7242.152323050286
23,-7364.710135975901
24,-7207.488484137221
25,-7238.235985620535
26,-7243.749369007234
27,-7358.168097685062
28,-7463.967415432035
29,-7543.05753056977
30,-7793.905478588322
31,-7998.180891325058
32,-7655.645630046688
33,-7415.182382917339
34,-6006.180862795069
35,-6299.999630914486
36,-7333.842785750747
37,-7564.010928703733
38,-7481.424560077578
39,-7799.331014376037
40,-7771.914884351017
41,-7795.844083864142
42,-7999.952703509693
43,-7999.969914468802
44,-7999.987203103884
45,-7698.365562721856
46,-7671.432393909301
47,-7693.5056069139
48,-6997.9900025299385
49,-6389.365003078088
50,-6566.337729166189
51,-6468.604828433268
52,-6475.259153794694
53,-6544.403720164151
54,-6652.132363902221
55,-6861.573328700723
56,-6651.4220715537085
57,-4148.12559094656
58,-4520.924787899715
59,-4336.647298303471
60,-4108.983578465306
61,-4603.861251031057
62,-6229.515680327724
63,-6358.40402764847
64,-7999.9990124044825
65,-7292.868870220051
66,-7263.121979517479
67,-7425.046545002695
68,-7578.841017731669
69,-7569.550751689586
70,-7706.662412170712
71,-6504.563403851518
72,-6213.458247664394
73,-6284.312833218819
74,-6529.969448126341
75,-6647.247012124755
76,-6787.11742148297
77,-7026.315244324882
78,-7101.063339885067
79,-6750.581366679844
80,-5066.24091942086
81,-5291.427247113236
82,-4902.323569304709
83,-6445.9384805011105
84,-6056.375173833692
85,-5354.029607601464
86,-4799.930501831793
87,-6756.07901991366
88,-7999.999016370462
89,-7999.999077549545
90,-7999.99901347851
91,-7999.998681501203
92,-8033.292915283805
93,-8357.021038554021
94,-8225.916298516733
95,-7999.9989379958115
96,-8573.774639237861
97,-6980.019060555378
98,-7043.2069655844625
99,-7049.277928516991
100,-7316.426829655051
101,-7327.582595261037
102,-7298.692308479711
103,-7821.4832778799
104,-6825.97208703897
105,-6056.6372930240705
106,-6106.369643235533
107,-5524.000545070747
108,-5653.930992818906
109,-5755.387430412033
110,-6772.473997849533
111,-7713.322262711889
112,-7883.068611468627
113,-7996.671608896658
114,-7999.088671715349
115,-7489.367195306791
116,-6945.142126005662
117,-6977.150536542972
118,-6972.584008648573
119,-7115.959594829467
120,-7084.565436671412
121,-6676.784610223923
122,-6758.227174703961
123,-6928.456312019682
124,-7034.173464791078
125,-7088.115630870787
126,-7074.773737340577
127,-6429.220050072932
128,-6416.854021320645
129,-6374.84341917553
130,-6046.1616550530325
131,-6118.779931394607
132,-6306.20220218627
133,-6417.668623499151
134,-6245.910458187682
135,-6283.202777796762
136,-6288.143876556836
137,-6321.51976916973
138,-6180.125883833551
139,-6171.45545205168
140,-6294.06691367514
141,-6282.412598695562
142,-6631.178281170474
143,-6742.2331642971285
144,-6774.163612663796
145,-6776.561451788475
146,-6466.537297176816
147,-6414.124766198412
148,-6359.817522636191
149,-6474.68551290083
150,-6541.640612365623
151,-6216.543265698227
152,-6254.112739463532
153,-4128.952285670014
